name,slug,type,email,phone,banner,aboutDesc,socialLinks,digitalCardOrderLink,physicalCardOrderLink,communityLink,businessLink,marketingImgs,marketingVids,physicalImg,digitalImg,physicalBulkImg,digitalBulkImg,color,createdAt,updatedAt
Fraser Coast,fraser-coast,consumer,enquiry@frasercoast.qld.gov.au,,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%201.png?updatedAt=1770689297836,"Brought to you by the Fraser Coast Regional Council and operated by shop local experts Why Leave Town, the Fraser Coast Gift Card is aimed at encouraging people to shop local. Each card that is purchased can only be spent in local participating businesses...meaning all the money stays local!","{
  ""facebook"": ""https://www.facebook.com/FraserCoastCouncil/"",
  ""instagram"": ""https://www.instagram.com/frasercoastregionalcouncil/?hl=en"",
  ""website"": ""https://www.frasercoast.qld.gov.au/""
}
",https://www.whyleavetown.com/product/fraser-coast-digital-gift-card/,https://www.whyleavetown.com/product/fraser-coast-gift-card/,https://www.whyleavetown.com/community/fraser-coast/,https://wkf.ms/42YISkp,[],[],https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%204.png?updatedAt=1770689297842,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%206.png?updatedAt=1770689297840,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%202.png?updatedAt=1770689297885,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%207.png?updatedAt=1770689297948,teal,NOW(),NOW()
Fraser Coast - Business,fraser-coast-business,business,enquiry@frasercoast.qld.gov.au,,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%201.png?updatedAt=1770689297836,"Brought to you by the Fraser Coast Regional Council and operated by shop local experts Why Leave Town, the Fraser Coast Gift Card is aimed at encouraging people to shop local. Each card that is purchased can only be spent in local participating businesses...meaning all the money stays local!","{
  ""facebook"": ""https://www.facebook.com/FraserCoastCouncil/"",
  ""instagram"": ""https://www.instagram.com/frasercoastregionalcouncil/?hl=en"",
  ""website"": ""https://www.frasercoast.qld.gov.au/""
}",https://www.whyleavetown.com/product/fraser-coast-digital-gift-card/,https://www.whyleavetown.com/product/fraser-coast-gift-card/,https://www.whyleavetown.com/community/fraser-coast/,,"{
  ""brandAssets"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Redemption%20Store%201.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Redemption%20Store%204.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%2011.png""
    ],
    ""campaignsAndPromos"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%2013.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%203.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Redemption%20Store%202.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%2014.png""
    ],
    ""socialContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%206.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%207.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%208.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%2012.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%209.png""
    ],
    ""participationContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%205.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%2015.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%201.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Social%20Post%2016.png"",
      ""https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Redemption%20Store%205.png""
    ]
 }",[],https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%204.png?updatedAt=1770689297842,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%206.png?updatedAt=1770689297840,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%202.png?updatedAt=1770689297885,https://ik.imagekit.io/wlt/microsites-assets/Fraser%20Coast%20Design%20Element%207.png?updatedAt=1770689297948,teal,NOW(),NOW()
Armidale,armidale,consumer,council@armidale.nsw.gov.au,,https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%201.png?updatedAt=1770859360736,"Brought to you by the Armidale Regional Council and operated by shop local experts Why Leave Town, the Armidale Regional Council Gift Card is aimed at encouraging people to shop local. Each card that is purchased can only be spent in local participating businesses...meaning all the money stays local!","{
  ""facebook"": ""https://www.facebook.com/arc2350/"",
  ""instagram"": ""https://www.instagram.com/armidaleregionalcouncil/"",
  ""website"": ""https://www.armidale.nsw.gov.au/Home""
}",,https://www.whyleavetown.com/product/armidale-gift-card/,https://www.whyleavetown.com/community/armidale/,https://forms.monday.com/forms/8faeb023d2f75ca6fe710995e61849da,"{
  ""brandAssets"": [
      ""-"",
      ""-"",
      ""-""
    ],
    ""campaignsAndPromos"": [
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""socialContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""participationContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ]
 }",,https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%204.png?updatedAt=1770859358194,,https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%202.png?updatedAt=1770859359428,,orange,NOW(),NOW()
Armidale - Business,armidale-business,business,council@armidale.nsw.gov.au,,https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%201.png?updatedAt=1770859360736,Welcome to the Armidale Gift Card Business Hub. This dedicated platform is designed to provide participating businesses with all the essential information and resources you need to successfully promote and utilize the Armidale Gift Card.,"{
  ""facebook"": ""https://www.facebook.com/arc2350/"",
  ""instagram"": ""https://www.instagram.com/armidaleregionalcouncil/"",
  ""website"": ""https://www.armidale.nsw.gov.au/Home""
}",,https://www.whyleavetown.com/product/armidale-gift-card/,https://www.whyleavetown.com/community/armidale/,https://forms.monday.com/forms/8faeb023d2f75ca6fe710995e61849da,"{
  ""brandAssets"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%201.png?updatedAt=1770859360736"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%202.png?updatedAt=1770859359428"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%204.png?updatedAt=1770859358194"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%203.png?updatedAt=1770859357671""
    ],
    ""campaignsAndPromos"": [""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Valentine's%20Day%20Post%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Valentine's%20Day%20Post%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Father's%20Day%20Post%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Father's%20Day%20Post%202.png""
    ],
    ""socialContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%206.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%204.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%205.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%206.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Social%20Post%206.png""
    ],
    ""participationContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Redemption%20Store%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Load%20Up%20Store%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Load%20Up%20Store%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Redemption%20Store%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Redemption%20Store%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Load%20Up%20Store%202.png""
    ]
 }",,https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%204.png?updatedAt=1770859358194,,https://ik.imagekit.io/wlt/microsites-assets/Armidale%20Design%20Element%202.png?updatedAt=1770859359428,,orange,NOW(),NOW()
Bombala  ,bombala,consumer,info@bombalachamber.com,,https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Design%20Element%201.png?updatedAt=1771480546774,"Brought to you by Bombala & District Chamber of Commerce and operated by shop local experts Why Leave Town, Bombala & District Chamber Gift Card is aimed at encouraging people to shop local. Each card that is purchased can only be spent in local participating businesses...meaning all the money stays local!","{
  ""facebook"": ""https://www.facebook.com/bombalachamber/"",
  ""instagram"": ""https://www.instagram.com/visitbombala/"",
  ""website"": ""https://www.bombalachamber.com/""
}",,https://www.whyleavetown.com/product/bombala-district-gift-card/,https://www.whyleavetown.com/community/bombala-district/,https://forms.monday.com/forms/7627b6f08070298d2dd8d3d0938658de,"{
  ""brandAssets"": [
      ""-"",
      ""-"",
      ""-""
    ],
    ""campaignsAndPromos"": [
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""socialContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""participationContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ]
 }",,,,,,blue,NOW(),NOW()
Bombala - Business,bombala-business,business,,,https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Design%20Element%201.png?updatedAt=1771480546774,Welcome to the Bombala Gift Card Business Hub. This dedicated platform is designed to provide participating businesses with all the essential information and resources you need to successfully promote and utilize the Bombala Gift Card.,"{
  ""facebook"": ""https://www.facebook.com/bombalachamber/"",
  ""instagram"": ""https://www.instagram.com/visitbombala/"",
  ""website"": ""https://www.bombalachamber.com/""
}",,https://www.whyleavetown.com/product/bombala-district-gift-card/,https://www.whyleavetown.com/community/bombala-district/,https://forms.monday.com/forms/7627b6f08070298d2dd8d3d0938658de,"{
  ""brandAssets"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Design%20Element%201.png?updatedAt=1771480546774"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Design%20Element%201.png?updatedAt=1771480546774"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Design%20Element%203.png?updatedAt=1771480548636"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Design%20Element%204.png?updatedAt=1771480551290""
    ],
    ""campaignsAndPromos"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Father's%20Day%20Post%201.png?updatedAt=1771480684931"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Father's%20Day%20Post%202.png?updatedAt=1771480685930"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Valentine's%20Day%20Post%201.png?updatedAt=1771480684241"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Valentine's%20Day%20Post%202.png?updatedAt=1771480686181""
    ],
    ""socialContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%203.png?updatedAt=1771480887101"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%204.png?updatedAt=1771480888975"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%205.png?updatedAt=1771480892362"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%206.png?updatedAt=1771480890837"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Social%20Post%207.png?updatedAt=1771480887429""
    ],
    ""participationContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Load-Up%20Store%201.png?updatedAt=1771481507879"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Load-Up%20Store%202.png?updatedAt=1771481511780"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Load-Up%20Store%203.png?updatedAt=1771481509732"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Redemption%20Store%201.png?updatedAt=1771481508165"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Redemption%20Store%202.png?updatedAt=1771481511028"",""https://ik.imagekit.io/wlt/microsites-assets/Bombala%20Redemption%20Store%203.png?updatedAt=1771481506475""
    ]
 }",,,,,,blue,NOW(),NOW()
Campbelltown  ,campbelltown,consumer,mail@campbelltown.sa.gov.au,,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%201.png?updatedAt=1770859438658,"Brought to you by the Campbelltown City Council and operated by shop local experts Why Leave Town, the Campbelltown Gift Card is aimed at encouraging people to shop local. Each card that is purchased can only be spent in local participating businesses...meaning all the money stays local!","{
  ""facebook"": ""https://www.facebook.com/CampbelltownSA/"",
  ""instagram"": ""https://www.instagram.com/campbelltownsa/"",
  ""website"": ""https://www.campbelltown.sa.gov.au/""
}",https://www.whyleavetown.com/product/campbelltown-digital-gift-card/,https://www.whyleavetown.com/product/campbelltown-sa-gift-card/,https://www.whyleavetown.com/community/campbelltown-sa/,https://forms.monday.com/forms/ca2bb96e5de55c795ccda04e44029d42?r=use1,"{
  ""brandAssets"": [
      ""-"",
      ""-"",
      ""-""
    ],
    ""campaignsAndPromos"": [
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""socialContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""participationContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ]
 }",,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%205.png?updatedAt=1770859436093,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%206.png?updatedAt=1770859436585,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%202.png?updatedAt=1770859432957,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%207.png?updatedAt=1770859434036,orange,NOW(),NOW()
Campbelltown - Business,campbelltown-business,business,mail@campbelltown.sa.gov.au,,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%201.png?updatedAt=1770859438658,Welcome to the Campbelltown Gift Card Business Hub. This dedicated platform is designed to provide participating businesses with all the essential information and resources you need to successfully promote and utilize the Campbelltown Gift Card.,"{
  ""facebook"": ""https://www.facebook.com/CampbelltownSA/"",
  ""instagram"": ""https://www.instagram.com/campbelltownsa/"",
  ""website"": ""https://www.campbelltown.sa.gov.au/""
}",https://www.whyleavetown.com/product/campbelltown-digital-gift-card/,https://www.whyleavetown.com/product/campbelltown-sa-gift-card/,https://www.whyleavetown.com/community/campbelltown-sa/,https://forms.monday.com/forms/ca2bb96e5de55c795ccda04e44029d42?r=use1,"{
  ""brandAssets"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%201.png?updatedAt=1771481752747"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%202.png?updatedAt=1771481747034"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%203.png?updatedAt=1771481751755"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%204.png?updatedAt=1771481747573"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%205.png?updatedAt=1771481747887"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%206.png?updatedAt=1771481748484"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%207.png?updatedAt=1771481748817""
    ],
    ""campaignsAndPromos"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Birthday%20Post%201.png?updatedAt=1771482138893"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Birthday%20Post%202.png?updatedAt=1771482140482"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Congratulations.png?updatedAt=1771482147222"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Easter%20Post%201.png?updatedAt=1771482139925"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Easter%20Post%202.png?updatedAt=1771482146416"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Easter%20Post%203.png?updatedAt=1771482142076"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Easter%20Post%204.png?updatedAt=1771482148119"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Mother's%20Day%20Post%201.png?updatedAt=1771482147437"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Mother's%20Day%20Post%202.png?updatedAt=1771482148903"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Mother's%20Day%20Post%203.png?updatedAt=1771482140608"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Thank%20You.png?updatedAt=1771482143497"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Valentine's%20Day%20Post%201.png?updatedAt=1771482141386"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Valentine's%20Day%20Post%202.png?updatedAt=1771482153782"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Valentine's%20Day%20Post%203.png?updatedAt=1771482157132""
    ],
    ""socialContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%201.png?updatedAt=1771482581088"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%202.png?updatedAt=1771482584417"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%203.png?updatedAt=1771482585291"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%204.png?updatedAt=1771482584820"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%205.png?updatedAt=1771482590377"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%206.png?updatedAt=1771482592499"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%207.png?updatedAt=1771482588022"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%208.png?updatedAt=1771482586309"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%209.png?updatedAt=1771482591308"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%2010.png?updatedAt=1771482590010"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%2011.png?updatedAt=1771482592430"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%2012.png?updatedAt=1771482581640"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%2013.png?updatedAt=1771482582034"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Social%20Post%2014.png?updatedAt=1771482579879""
    ],
    ""participationContent"": [
     ""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Load%20Up%20Store%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Load%20Up%20Store%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Load%20Up%20Store%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Redemption%20Store%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Redemption%20Store%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Redemption%20Store%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Poster.png"",""https://ik.imagekit.io/wlt/microsites-assets/Digital%20-%20Eftpos%20Business%20-%20Campbelltown.png"",""https://ik.imagekit.io/wlt/microsites-assets/Digital%20-%20Eftpos%20Business%20-%20Campbelltown.png"",""https://ik.imagekit.io/wlt/microsites-assets/Digital%20-%20New%20Business%20-%20Campbelltown.png""
    ]
 }",,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%205.png?updatedAt=1770859436093,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%206.png?updatedAt=1770859436585,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%202.png?updatedAt=1770859432957,https://ik.imagekit.io/wlt/microsites-assets/Campbelltown%20Design%20Element%207.png?updatedAt=1770859434036,orange,NOW(),NOW()
Circular Head,circular-head,consumer,chgiftcardgroup@gmail.com,,https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%201.png?updatedAt=1770859481516,"Brought to you by the Circular Head Gift Card Group and operated by shop local experts Why Leave Town, Circular Head Gift Card is aimed at encouraging people to shop local. Each card that is purchased can only be spent in local participating businesses...meaning all the money stays local!","{
  ""facebook"": ""https://www.facebook.com/circularheadgiftcard/"",
  ""instagram"": ""https://www.instagram.com/circularheadcouncil/"",
  ""website"": ""https://www.circularhead.tas.gov.au/""
}",,https://www.whyleavetown.com/product/circular-head-gift-card/,https://www.whyleavetown.com/community/circular-head/,https://forms.monday.com/forms/93c5dd0320ad77ba7b864332f837cff5,"{
  ""brandAssets"": [
      ""-"",
      ""-"",
      ""-""
    ],
    ""campaignsAndPromos"": [
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""socialContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ],
    ""participationContent"": [
      ""-"",
      ""-"",
      ""-"",
      ""-"",
      ""-""
    ]
 }",,https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%204.png?updatedAt=1770859479520,,https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%202.png?updatedAt=1770859480782,,green,NOW(),NOW()
Circular Head - Business,circular-head-business,business,chgiftcardgroup@gmail.com,,https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%201.png?updatedAt=1770859481516,Welcome to the Circular Head Gift Card Business Hub. This dedicated platform is designed to provide participating businesses with all the essential information and resources you need to successfully promote and utilize the Circular Head Gift Card.,"{
  ""facebook"": ""https://www.facebook.com/circularheadgiftcard/"",
  ""instagram"": ""https://www.instagram.com/circularheadcouncil/"",
  ""website"": ""https://www.circularhead.tas.gov.au/""
}",,https://www.whyleavetown.com/product/circular-head-gift-card/,https://www.whyleavetown.com/community/circular-head/,https://forms.monday.com/forms/93c5dd0320ad77ba7b864332f837cff5,"{
  ""brandAssets"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%204.png""
    ],
    ""campaignsAndPromos"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Father's%20Day%20Post%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Valentine's%20Day%20Post%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Valentine's%20Day%20Post%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Father's%20Day%20Post%202.png""
    ],
    ""socialContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%204.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%205.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%206.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Social%20Post%207.png""
    ],
    ""participationContent"": [
      ""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Load%20Up%20Store%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Load%20Up%20Store%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Load%20Up%20Store%203.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Redemption%20Store%201.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Redemption%20Store%202.png"",""https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Redemption%20Store%203.png""
    ]
 }",,https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%204.png?updatedAt=1770859479520,,https://ik.imagekit.io/wlt/microsites-assets/Circular%20Head%20Design%20Element%202.png?updatedAt=1770859480782,,green,NOW(),NOW()
