name,latitude,longitude,micrositeSlug
"The Shop",-30.4869234,151.6458116,armidale
"New England Hatters",-30.5129649,151.6651993,armidale
"Move Better for Life",-30.5127813,151.6583038,armidale
"Carr's newsXpress Armidale",-30.5131355,151.6662862,armidale
"New England Regional Art Museum",-30.525271,151.6648014,armidale
"Armidale Bicycle Centre",-30.5125396,151.6620738,armidale
"New England Locksmiths",-30.5126879,151.6621151,armidale
"Westside Espresso",-30.5034807,151.6510507,armidale
"Renee Maree",-30.5133217,151.6663305,armidale
"HustLe Co Cafe",-30.5119306,151.6627543,armidale
"Botanica Beauty Studio",-30.5128886,151.6663949,armidale
"Bicycle Central on Marsh",-30.5143447,151.6686236,armidale
"Alpha Furnishers",-30.5147871,151.6671463,armidale
"MyCar Sound & Communications",-30.5048045,151.6735058,armidale
"New England HoneyBees Photography & Design**",-30.5137139,151.6659719,armidale
"Armidale Pet Shop",-30.5139814,151.6688833,armidale
"Graham Betts Motors",-30.5156406,151.669942,armidale
"Le Salon",-30.5140653,151.6676512,armidale
"Reader's Companion",-30.5143115,151.6682108,armidale
"Armidale Visitor Information Centre",-30.511849,151.6693816,armidale
"Skin & Tonic Armidale",-30.5138446,151.6616813,armidale
"Barbeques Galore Armidale",-30.5138576,151.6637667,armidale
"Armidale Coffee House",-30.5122478,151.6646534,armidale
"Concepts of Armidale",-30.5133217,151.6663305,armidale
"Boobooks",-30.5137139,151.6659719,armidale
"Daily Ritual",-30.5129649,151.6651993,armidale
"Brennan & Smith Optometrists",-30.5137082,151.6658156,armidale
"Specsavers Armidale",-30.512426,151.6634449,armidale
"Rosemerin Florist",-30.5126827,151.6565019,armidale
"Armidale Framing & Art Supplies - Gallery 126",-30.5143706,151.6627623,armidale
"Armidale Golf Club",-30.5109061,151.6363609,armidale
"Face to Face Beauty Salon",-30.52255599999999,151.6642307,armidale
"Sportspower Armidale",-30.5139641,151.6649003,armidale
"Richardsons Hardware and Agriculture",-30.5171017,151.6463289,armidale
"JJ's Newsagency Plus",-30.512823,151.664886,armidale
"Era Espresso",-30.5130105,151.6636753,armidale
"Royal Hotel Armidale",-30.5140483,151.6693433,armidale
"Royal Hotel Guyra",-30.2188405,151.6714984,armidale
