name,latitude,longitude,micrositeSlug
"Alin's Kitchen Onslow",-21.6490055,115.1194756,ashburton
"Ashburton Anglers",-21.6671744,115.105188,ashburton
"Beadon Bay Hotel",-21.6362601,115.1127766,ashburton
"Betta Home Living Tom Price",-22.693757,117.7970671,ashburton
"Blackwoods Onslow",-21.6487733,115.1228259,ashburton
"Cheela Plains Station Stay",-22.9658814,116.9836413,ashburton
"Dice Solutions",-21.6366289,115.1131489,ashburton
"From Dust Creative Arts",-22.6865181,117.7888492,ashburton
"Karijini Eco Retreat",-22.3870097,118.2635069,ashburton
"KHB Mobile Mechanical Pty Ltd",-21.6475915,115.1229163,ashburton
"Mackerel Islands",-21.4601773,115.0222393,ashburton
"Michelle McKoy Photography",-21.6465566,115.11336,ashburton
"Oasis Beauty & Wellness",-21.6465566,115.11336,ashburton
"Onslow Aquatic Centre",-21.6671744,115.105188,ashburton
"Onslow Beach Resort",-21.637677,115.1131792,ashburton
"Onslow Chamber of Commerce and Industry",-21.6402343,115.1148283,ashburton
"Onslow Freight and Logistics",-21.6475108,115.127086,ashburton
"Onslow General Store and Hardware",-21.6376057,115.1128765,ashburton
"Onslow P&C",-21.6431025,115.1078449,ashburton
"Onslow Pharmacy",-21.6369866,115.11332,ashburton
"Onslow Sports Club",-21.6401901,115.1121716,ashburton
"Onslow Tyre service",-21.6475969,115.1234354,ashburton
"Paraburdoo Swimming Pool",-22.6966808,117.795299,ashburton
"Pilbara Mitre 10",-22.694654,117.796979,ashburton
"Shire of Ashburton",-22.6966808,117.795299,ashburton
"Teds Rubs",-21.6469113,115.1171062,ashburton
"Thalanyji Food and Fuel",-21.6366016,115.1121104,ashburton
"The Collective 6764",-23.2007308,117.6695641,ashburton
"Total First Aid Solutions (online only)",-21.6387074,115.109657,ashburton
"Vic Hayton Memorial Swimming Pool",-22.6966808,117.795299,ashburton
"Courts Beauty Room",-22.6972015,117.7980594,ashburton
"Mean Bean Coffee Shop",-22.6937253,117.7955164,ashburton
