name,latitude,longitude,micrositeSlug
"Alpha Administration Office",-23.6511661,146.6343338,barcaldine
"Alpha Golf Club",-23.6507024,146.6304524,barcaldine
"Alpha Jericho Pharmacy",-23.6487272,146.6407552,barcaldine
"Alpha Merchandise",-23.6499969,146.6327661,barcaldine
"Alpha Post Office",-23.6499619,146.640273,barcaldine
"Aramac Administration Office",-22.9721602,145.2447818,barcaldine
"Aramac Cut Price Store",-22.9711936,145.2417172,barcaldine
"Aramac Motors",-22.9718651,145.2426236,barcaldine
"Aramac Post Office",-22.9715014,145.2448482,barcaldine
"Barcaldine Administration Office",-23.5541882,145.2889657,barcaldine
"Barcaldine Bakery",-23.5525222,145.2876194,barcaldine
"Barcaldine Country Motor Inn",-23.5527492,145.2843302,barcaldine
"Barcaldine News",-23.5526454,145.2883897,barcaldine
"Barcaldine Post Office",-23.5538128,145.2882818,barcaldine
"Barcaldine Tyre and Auto",-23.5591439,145.2840083,barcaldine
"Barcaldine Visitor Information Centre",-23.5524281,145.2865759,barcaldine
"Barcaldine Welding Works",-23.5519262,145.2928242,barcaldine
"Capricorn Plumbing and Building Supplies",-23.5527444,145.2903764,barcaldine
"Cornetts IGA Barcaldine",-23.55249,145.2850644,barcaldine
"Elders Aramac",-22.9711428,145.2427315,barcaldine
"Elders Rural Services",-23.5528169,145.2836393,barcaldine
"Exchange Hotel Muttaburra",-22.5927164,144.5476691,barcaldine
"GBA Consulting Engineers",-23.5550752,145.2887426,barcaldine
"Homestead Caravan Park",-23.5552327,145.2834234,barcaldine
"Ironbark Inn",-23.5621407,145.2830347,barcaldine
"Jericho Post Office",-23.6022504,146.1245783,barcaldine
"Jordan Valley Hotel",-23.6023125,146.1256745,barcaldine
"Landsborough Lodge",-23.5612984,145.2837457,barcaldine
"Leading Appliances",-23.5525615,145.286144,barcaldine
"Meraki Hair",-23.5521081,145.290035,barcaldine
"Mobil Barcaldine",-23.6461032,145.3214815,barcaldine
"Muttaburra Administration Office and Library",-22.5926051,144.5468302,barcaldine
"Muttaburra Motel",-22.5928878,144.5472832,barcaldine
"Muttaburra Post Office",-22.595034,144.5472991,barcaldine
"Muttaburra Shop & Fuel",-22.5926471,144.5481715,barcaldine
"O’Donnell’s Friendly Grocer",-23.555878,145.2903548,barcaldine
"Pearce’s Garage",-23.6030192,146.1277825,barcaldine
"Peter Gerard",-23.6488358,146.6427277,barcaldine
"Railway Hotel Barcaldine",-23.5526939,145.2898581,barcaldine
"Red Heeler",-23.5533258,145.2887756,barcaldine
"Seventynine West",-23.5526444,145.2888648,barcaldine
"Silver Thimble",-23.5527214,145.2879816,barcaldine
"SPAR Express Groceries Alpha",-23.6487314,146.6418729,barcaldine
"St Vincent de Paul",-23.5525625,145.2875044,barcaldine
"Tilston's Garage",-23.6490838,146.6399443,barcaldine
"Walsh Accounting",-23.5534125,145.2895774,barcaldine
"Western Produce and Rural Supplies",-23.5536488,145.2993036,barcaldine
"Whitebull Roadhouse",-22.9742711,145.2451272,barcaldine
