name,latitude,longitude,micrositeSlug
3 Fish Cafe,-35.7046952,150.1765045,batemans-bay
Air Advantage,-35.7221098,150.1668781,batemans-bay
Alpha Computing,-35.7070244,150.1773933,batemans-bay
Amanda’s of Mogo,-35.782936,150.1420203,batemans-bay
Ambers cafe,-35.709186,150.1776333,batemans-bay
Anna's Cut Above,-35.7347306,150.2058062,batemans-bay
Anytime Fitness Batemans Bay,-35.7073463,150.175802,batemans-bay
Area#61 Crossfit & MMA,-35.7220758,150.167166,batemans-bay
Argyle Terrace Motor Inn,-35.7121494,150.1840316,batemans-bay
Autohaus Select Cars,-35.709141,150.1776699,batemans-bay
Bakers Delight,-35.7059889,150.1755827,batemans-bay
Batehaven Newsagency,-35.7322113,150.1992486,batemans-bay
Batemans Bay Automotive Repairs,-35.7218971,150.1685028,batemans-bay
Batemans Bay Bakehouse,-35.7094141,150.1774397,batemans-bay
Batemans Bay Betta Home Living,-35.7161727,150.1752142,batemans-bay
Batemans Bay Cool-It,-35.7206056,150.1731017,batemans-bay
Batemans Bay Cycles,-35.711473,150.174482,batemans-bay
Batemans Bay Flooring Xtra,-35.7201194,150.1714161,batemans-bay
Batemans Bay Ice Creamery,-35.7050294,150.1772263,batemans-bay
Batemans Bay Locksmiths,-35.7050294,150.1772263,batemans-bay
Batemans Bay Manor - Bed And Breakfast,-35.6787488,150.2070984,batemans-bay
Batemans Bay Mobile Mechanical,-35.7170652,150.1744907,batemans-bay
Batemans Bay Nut Roasting Company**,-35.7069064,150.177469,batemans-bay
Batemans Bay Soldiers Club,-35.7094784,150.1790805,batemans-bay
Batemans Bay Trophies & Gifts,-35.7070244,150.1773933,batemans-bay
Bay Bargain Shoes,-35.7060993,150.1776559,batemans-bay
Bay Breeze Boutique Accommodation,-35.7084846,150.179245,batemans-bay
Bay Office Supplies,-35.7060657,150.1783327,batemans-bay
Bayside Meats,-35.7061498,150.1771406,batemans-bay
Big4 Nelligen Holiday Park,-35.6461905,150.1362623,batemans-bay
Big4 South Durras Holiday Park,-35.6552306,150.2925767,batemans-bay
Bliss Wellness Spa & Float,-35.7351154,150.2060776,batemans-bay
Boho Chic In Mogo**,-35.784258,150.1419442,batemans-bay
Bridge Plaza Pharmacy,-35.7044997,150.1770678,batemans-bay
Brookee's Place,-35.7066684,150.1775387,batemans-bay
Broulee Beach Pharmacy,-35.8488608,150.1759519,batemans-bay
Broulee Supermarket And Cellars,-35.853911,150.1760261,batemans-bay
Broulee Surf School,-35.8487426,150.1758759,batemans-bay
Camerons H Hardware,-35.7190055,150.1766357,batemans-bay
Cartridge World Batemans Bay,-35.7070196,150.1773629,batemans-bay
Casey's Beach Holiday House**,-35.7349617,150.2068012,batemans-bay
Casey's Beach Holiday Unit**,-35.7365585,150.2075248,batemans-bay
Catalina Restaurant,-35.7198966,150.1896389,batemans-bay
Chews on Hughes,-35.720188,150.1773031,batemans-bay
Choices Flooring Batemans Bay,-35.7186663,150.1766611,batemans-bay
Clyde Auto,-35.7220032,150.1754855,batemans-bay
Clyde River Pet Lodge,-35.6815048,150.1772837,batemans-bay
Coachhouse Marina Resort,-35.7178348,150.1908135,batemans-bay
Coastal Auto Group Pty Ltd,-35.7170117,150.1711448,batemans-bay
Corrigans Cove Resort,-35.729627,150.1961056,batemans-bay
Crumb Cafe,-35.732765,150.200066,batemans-bay
Deli on Perry,-35.7061498,150.1771406,batemans-bay
Detect A Den,-35.7081529,150.1779061,batemans-bay
Doc Ford Bosch Car Service,-35.7199936,150.1746921,batemans-bay
Dollar Curtains & Blinds,-35.7113886,150.1743972,batemans-bay
Dominoes Batemans Bay,-35.707545,150.1779611,batemans-bay
Edgewater Gardens Holiday Units,-35.7370175,150.2076466,batemans-bay
Elite Supps Batemans Bay,-35.7089708,150.1772066,batemans-bay
Euro Car Wash,-35.7110498,150.174672,batemans-bay
Eurobodalla Home Improvements,-35.7058395,150.1768072,batemans-bay
Framefast Art Heaven,-35.7061268,150.1771252,batemans-bay
Funnell's Meats & Wholesalers,-35.7912969,150.2290352,batemans-bay
Garin Services,-35.7172258,150.1729185,batemans-bay
Georgies Fine Jewellery,-35.7073463,150.175802,batemans-bay
Go Vita Batemans Bay,-35.7060788,150.1772941,batemans-bay
Gold Po Loy Catering,-35.7087406,150.1768202,batemans-bay
Hidden Treasures Mogo,-35.7823438,150.1434971,batemans-bay
Hip Pocket Workwear and Safety,-35.7199598,150.1765054,batemans-bay
Hunts Marine,-35.7196303,150.1729082,batemans-bay
IGA Surf Beach,-35.7575275,150.2096957,batemans-bay
In & Out at Mogo,-35.7835495,150.1424817,batemans-bay
Innes Family Boatshed,-35.7056498,150.1775066,batemans-bay
Inspirations Paint Batemans Bay,-35.7229786,150.1683936,batemans-bay
JJ’s at the Marina,-35.7133048,150.1874159,batemans-bay
JJJ Oriental Supermarket,-35.7066531,150.1774397,batemans-bay
Joalah Holiday Park,-35.6372909,150.3020629,batemans-bay
Joycies Flowers,-35.706856,150.177603,batemans-bay
Juela Mogo,-35.7822785,150.1425947,batemans-bay
Just Cuts Batemans Bay,-35.7073463,150.175802,batemans-bay
Kohlis Waterfront Indian Restaurant,-35.7066071,150.1783794,batemans-bay
LaDusk Hair & Beauty,-35.7094141,150.1774397,batemans-bay
Liberty Cullendulla,-35.6700934,150.2200079,batemans-bay
Mogo Fudge,-35.7829799,150.142459,batemans-bay
Mogo Ice Cream at Mogo Fudge,-35.7829799,150.142459,batemans-bay
Mogo Pies,-35.7831955,150.1425747,batemans-bay
Mogo Village Framers,-35.7831955,150.1425747,batemans-bay
Mogo Wildlife Park,-35.7947896,150.1591527,batemans-bay
Mossy On Gardens,-35.751764,150.164046,batemans-bay
Mossy On Train,-35.8446147,150.1701501,batemans-bay
Naieve,-35.706796,150.1778926,batemans-bay
Naomi Crowther Artist,-35.7481923,150.2076218,batemans-bay
Onelife Gym,-35.7091525,150.1771693,batemans-bay
OPSM Batemans Bay,-35.7094141,150.1774397,batemans-bay
Orient Street Motors,-35.7195503,150.1713257,batemans-bay
Pacific Furniture & Bedding,-35.7197189,150.173645,batemans-bay
Patchwork On The Bay And Bay Discount Fabrics,-35.706176,150.177473,batemans-bay
Project Lighting Batemans Bay,-35.7202018,150.1780176,batemans-bay
Pure Choice Skin,-35.732934,150.200211,batemans-bay
Region X,-35.7009106,150.1955855,batemans-bay
Rubenesque Lingerie,-35.7050294,150.1772263,batemans-bay
Rug world,-35.7109024,150.1768711,batemans-bay
Sansoms Furniture One Batemans Bay,-35.7109024,150.1768711,batemans-bay
Schumacher Automotive,-35.7189804,150.1738803,batemans-bay
Scully's Iga Batehaven,-35.7328694,150.1994521,batemans-bay
Se7en Cafe,-35.7029778,150.175689,batemans-bay
Sei Bella Batemans Bay (formerly Ella Bache),-35.706001,150.177446,batemans-bay
Shelley's Bay Styles,-35.7092668,150.179148,batemans-bay
Skin Deep Beauty Batemans Bay,-35.7070196,150.1773629,batemans-bay
Sleepdoctor Batemans Bay,-35.719645,150.1788315,batemans-bay
Smokey Dans,-35.78278,150.2325374,batemans-bay
Soul Tribe Studio**,-35.7242131,150.1940027,batemans-bay
South Coast Catering,-35.7198966,150.1896389,batemans-bay
South Coast Electrical Solutions**,-35.7162174,150.1794566,batemans-bay
South Coast Window Furnishings**,-35.7167856,150.1743676,batemans-bay
South Coast Windscreens,-35.7199746,150.1744703,batemans-bay
Spaces2536,-35.7051728,150.1771811,batemans-bay
Sportspower Batemans Bay,-35.7069875,150.1780901,batemans-bay
Stingrays Ocean & Grill,-35.7055705,150.1777152,batemans-bay
Stitches Batemans Bay,-35.7056458,150.1767742,batemans-bay
Super Natural Hair And Beauty,-35.7812304,150.2321642,batemans-bay
Surf Beach Pharmacy,-35.7572842,150.2096818,batemans-bay
Thana Spa On South Coast Pty Ltd,-35.7108906,150.1768736,batemans-bay
The Boat Shed,-35.8385853,150.1835497,batemans-bay
The Courtyard Café at Mogo Fudge,-35.7829799,150.142459,batemans-bay
The Hair Collective,-35.7069875,150.1780901,batemans-bay
The Kite Bus,-35.7040697,150.1769738,batemans-bay
The Lodge Broulee,-35.8557306,150.172716,batemans-bay
The Middle of Mogo,-35.7829799,150.142459,batemans-bay
The Mossy Cafe,-35.8369703,150.179668,batemans-bay
The Reject Shop,-35.7046952,150.1765045,batemans-bay
Three66 Espresso Bar,-35.7812304,150.2321642,batemans-bay
Totally Equipped 4WD,-35.7192559,150.1753951,batemans-bay
Travel Team Batemans Bay,-35.7068241,150.1778365,batemans-bay
Tyre Torque Batemans Bay,-35.7184329,150.1766611,batemans-bay
Uncle Joe's Cafe,-35.7162174,150.1794566,batemans-bay
Waters Service Centre,-35.7188214,150.1769995,batemans-bay
Willow Earth,-35.7837625,150.1426507,batemans-bay
Willow Earth (Batemans Bay),-35.7061268,150.1771252,batemans-bay
Catalina Club,-35.7198966,150.1896389,batemans-bay
Harvey Norman Batemans Bay,-35.7091696,150.1781619,batemans-bay
Willow Earth (Mogo),-35.7837367,150.142271,batemans-bay
PETstock Batemans Bay,-35.6779354,150.1836624,batemans-bay
Grumpy & Sweethearts Cafe,-35.7813394,150.1435061,batemans-bay
Starfish,-35.7056498,150.1775066,batemans-bay
Tomakin Sports & Social Club,-35.8254175,150.1870387,batemans-bay
Sams Pizza,-35.7066071,150.1783794,batemans-bay
A Classy Touch Florist,-35.7094141,150.1774397,batemans-bay
Ampol Batehaven,-35.7324763,150.1997235,batemans-bay
Ardor Hair Studio,-35.7064758,150.1774882,batemans-bay
Bassein,-35.7476003,150.2136724,batemans-bay
Bayview Hotel,-35.7073684,150.1776625,batemans-bay
Coastal Barber Co,-35.7046619,150.1766611,batemans-bay
Flight Centre,-35.7073463,150.175802,batemans-bay
Blank Canvas,-35.707094,150.178453,batemans-bay
Charlies Tackle World,-35.7103361,150.1769886,batemans-bay
Create Fair Trade,-35.7073463,150.175802,batemans-bay
Cresnar Landscaping Supplies & Nursery,-35.7173808,150.1720378,batemans-bay
Davis Bikeworx,-35.7195093,150.1706022,batemans-bay
East Coast Carts,-35.7193049,150.1738577,batemans-bay
GJ's Bay Cafe And Grill,-35.7060665,150.1783682,batemans-bay
Grants Alternative Fashion,-35.7044997,150.1770678,batemans-bay
Isle Boutique,-35.7046579,150.176791,batemans-bay
Nourish On North Cafe,-35.7060788,150.1772941,batemans-bay
Pan Coffeehouse and Restaurant**,-35.7064269,150.1782889,batemans-bay
Pearly Oyster Bar,-35.7055711,150.1765707,batemans-bay
Pick A Present,-35.732934,150.200211,batemans-bay
Seaspray Cafe,-35.7573913,150.2096719,batemans-bay
Sofas At The Bay,-35.7169055,150.1730438,batemans-bay
Specsavers,-35.7082514,150.177914,batemans-bay
the FIX coffee van,-35.8244428,150.1891715,batemans-bay
The Phone Surgery,-35.7073463,150.175802,batemans-bay
The Venetian Cafe,-35.7109147,150.1768684,batemans-bay
Southern Powersports,-35.7202018,150.1780176,batemans-bay
Archie Jade Baby,-35.7809587,150.1423482,batemans-bay
