name,latitude,longitude,micrositeSlug
SOS Phone Repairs Bathurst,-33.4175344,149.5810973,bathurst
Abercrombie House,-33.3927632,149.5188753,bathurst
AgriWest Bathurst,-33.4196403,149.5798721,bathurst
Autoparts Central,-33.4307459,149.5796532,bathurst
B Town BBQ,-33.4214139,149.5763901,bathurst
Bathurst Auto Parts,-33.4357196,149.5800137,bathurst
Bathurst Automotive Group,-33.4135649,149.5438042,bathurst
Bathurst Chiropractic,-33.4199868,149.5735944,bathurst
Bathurst Drive Thru Dry Cleaning,-33.4111857,149.578693,bathurst
Bathurst Golf Centre,-33.414862,149.551717,bathurst
Bathurst Golf Club,-33.4150829,149.5511848,bathurst
Bathurst Golf Driving Range,-33.3949771,149.5590384,bathurst
Bathurst Health foods,-33.4156021,149.5808545,bathurst
Bathurst Laser Skin Care & Electrolosis Centre,-33.4163495,149.5788346,bathurst
Bathurst Memorial Entertainment Centre,-33.4188676,149.5787308,bathurst
Bathurst Rail Museum,-33.4259137,149.5816873,bathurst
Bathurst Regional Art Gallery,-33.4230093,149.57941,bathurst
Bathurst Visitor Information Centre,-33.4185086,149.5869688,bathurst
Bathurst Wholefood Co-operative,-33.4165681,149.5823545,bathurst
Bishops Court Estate Boutique Hotel,-33.4294177,149.5728565,bathurst
Blooms the Chemist- Armada Shopping Centre,-33.4182896,149.5827465,bathurst
Blooms the Chemist- Bathurst Chase,-33.4165011,149.5825052,bathurst
Blowes Clothing,-33.4175144,149.582107,bathurst
Bourkes Horse Rugs,-33.4288993,149.5787869,bathurst
Brabhams Outdoor Power Centre,-33.413093,149.5803342,bathurst
Capital Chemist Bathurst (formerly John Matthews Chemist),-33.4158141,149.5790459,bathurst
Central Commercial Printers,-33.4223826,149.5807042,bathurst
Central West Flying School,-33.4191882,149.6553827,bathurst
Central West Foot and Ankle Clinic,-33.4206615,149.5779096,bathurst
Chateau Belle Beauty Salon,-33.415941,149.5803843,bathurst
Claytons Country Western & Hunting,-33.51791,149.500666,bathurst
Cobb and Co Cellars,-33.421276,149.5766151,bathurst
Country Brewer,-33.4163159,149.5776487,bathurst
Country Coffee Bathurst,-33.4166979,149.5779611,bathurst
Country Golf Tours,-33.414862,149.551717,bathurst
Crowe Horwarth,-33.4210974,149.5722984,bathurst
Discount Dave's,-33.4140122,149.5801713,bathurst
Dudley Hotel,-33.4178584,149.569668,bathurst
Enid's Emporium,-33.4224475,149.580734,bathurst
Eve's Creations,-33.4178348,149.5814542,bathurst
Forbutt's Keppel St Pharmacy,-33.4220343,149.5801148,bathurst
Gazza's Takeaway,-33.4221023,149.5791368,bathurst
Harris Farm,-33.4140122,149.5801713,bathurst
Harvest Cafe & Store,-33.4185086,149.5869688,bathurst
Inside Outside Bathurst,-33.4277969,149.5796536,bathurst
Kelso Truck Tyres and Mechanical,-33.4207848,149.6043917,bathurst
La Mode Ladieswear,-33.4166067,149.5822685,bathurst
Laurie Claire Boutique,-33.4184711,149.5819719,bathurst
Leading Edge Computers Bathurst,-33.4154082,149.5799986,bathurst
Leanne Hamilton Couture,-33.4221402,149.5802848,bathurst
Lewy's Pizza House,-33.4163641,149.5782131,bathurst
Maaloufs Restaurant,-33.415006,149.581481,bathurst
Miles & Son Jewellery,-33.4156024,149.5805313,bathurst
National Motor Racing Museum,-33.4393074,149.5579335,bathurst
Nikkis Café on William,-33.4177545,149.581488,bathurst
Notnats Butchery,-33.4129113,149.5639654,bathurst
Panorama Business & Financial,-33.4175387,149.5756474,bathurst
Panorama Cruise & Travel,-33.417877,149.5824442,bathurst
Peartree Wholefoods,-33.4175144,149.582107,bathurst
Piccolo’s on William,-33.4179322,149.5832064,bathurst
Pressed Tin Panels,-33.4183815,149.5430759,bathurst
Just A Girl,-33.4186189,149.5806223,bathurst
Renshaw's Pedal Project,-33.413895,149.5809929,bathurst
Riverside Nursery,-33.4046497,149.5763226,bathurst
RSAJ Secretarial Services,-33.4222248,149.582816,bathurst
Sassy My Style,-33.4182896,149.5827465,bathurst
Simply Beautiful,-33.4237372,149.5728565,bathurst
Smith and Co Locksmiths,-33.4195484,149.5809334,bathurst
Sportsco,-33.4184711,149.5819719,bathurst
Stacey's Paper Studio,-33.4165681,149.5823545,bathurst
"Surf, Skate N Street",-33.4162831,149.5810041,bathurst
Tablelands Artists Co-operative Gallery Limited,-33.4165365,149.5792935,bathurst
The 4WD Zone,-33.4178499,149.5685446,bathurst
The Church Block Cafe,-33.3782048,149.5398271,bathurst
The Grind,-33.4151318,149.5776955,bathurst
The Jane Stephens Physiotherapy Centre,-33.4225517,149.5786183,bathurst
The Leadlight Window,-33.4115026,149.577718,bathurst
Total Image Cosmetic Clinic,-33.4200386,149.5812291,bathurst
Town & Country Rural Supplies,-33.4373223,149.5792291,bathurst
Town & Country Water Shop,-33.4283986,149.5788659,bathurst
Trinity Heights IGA,-33.4052556,149.6002946,bathurst
Vale Creek Wines,-33.5526613,149.5199883,bathurst
Vale Creek Wines,-33.5526613,149.5199883,bathurst
Venue Café,-33.4184711,149.5819719,bathurst
Westend Electronics,-33.4118515,149.5797099,bathurst
Westpoint Centre Pharmacy,-33.404005,149.5445139,bathurst
Westpoint IGA,-33.4049298,149.5460993,bathurst
Knickerbocker Bottleshop,-33.4191775,149.5803709,bathurst
Domino's Pizza,-33.4191341,149.602028,bathurst
The Victoria Bathurst,-33.424628,149.5825571,bathurst
Carah's Cakes & Pies,-33.4221805,149.5800194,bathurst
Bathurst Health Foods/Go Vita,-33.4158073,149.5795984,bathurst
The Brew Drive Thru,-33.4165355,149.5853256,bathurst
Bathurst Flower Farm,-33.4029852,149.6037389,bathurst
Churches Garden Centre,-33.4250984,149.577898,bathurst
Flirt Adult Store,-33.416189,149.5777855,bathurst
"Bake, Table and Tea",-33.4164617,149.5793887,bathurst
Garden Starters Nursery,-33.4477879,149.5688894,bathurst
Gorgeousness Home,-33.4191001,149.5795186,bathurst
Australian Fossil and Mineral Museum,-33.416991,149.5807565,bathurst
Al Dente,-33.4219761,149.5793405,bathurst
Pigments and Palettes,-33.415958,149.5773907,bathurst
Price Attack Bathurst,-33.4211263,149.6045466,bathurst
