name,latitude,longitude,micrositeSlug
Benalla Golf Club,-36.5708898,145.9585562,benalla
Little Cedar,-36.4942038,146.1174338,benalla
Blossom & Pollen,-36.5501038,145.9830223,benalla
Ambilite Candle Co.,-36.5587968,145.9671167,benalla
Purdeys Jewellers,-36.5515122,145.9845917,benalla
Lavish skin therapy clinic,-36.5474895,145.9848528,benalla
Benalla Newsagency,-36.5513164,145.9843892,benalla
Piccadilly Laneway Vintage and Collectables,-36.5488794,145.9854044,benalla
Stolz Furnishers,-36.5508781,145.9826244,benalla
Aggys furniture and gifts,-36.5511797,145.9868606,benalla
Miller's Benalla,-36.5515122,145.9845917,benalla
Maltrim Upholstery,-36.5496556,145.9910163,benalla
Rambling Rose,-36.5515122,145.9845917,benalla
Benalla Bowls Club,-36.5516807,145.9761519,benalla
The Early Bird,-36.5514284,145.983494,benalla
Room at the Table Inc,-36.5539717,145.9980699,benalla
Samaria Rose Farm,-36.7622652,146.0527213,benalla
Benalla Veterinary Clinic,-36.550212,145.982143,benalla
Sportspower Benalla,-36.5515598,145.9843691,benalla
Jenny Milner Marsha Watson Pharmacy,-36.5512386,145.984651,benalla
Munro & Sargeant Cafe,-36.5522255,145.9795267,benalla
J Milner-M Watson Pharmacy,-36.5515122,145.9845917,benalla
North East Life Benalla,-36.5495309,145.9828112,benalla
