name,latitude,longitude,micrositeSlug
919 Wines,-34.2663589,140.5668695,berri-barmera
"Australian Motors Riverland (Berri Hyundai, Berri Mitsubishi, Riverland Mazda, Riverland 4x4 and Outdoor)",-34.2675139,140.6114074,berri-barmera
Banrock Station Wine and Wetland Centre,-34.1978664,140.3305206,berri-barmera
Barmera Newsagency,-34.2514875,140.4633523,berri-barmera
Berri Newsagency,-34.2856834,140.6025491,berri-barmera
Berri North Meat Store,-34.2784689,140.5974852,berri-barmera
Berri Pharmacy,-34.2860736,140.6027305,berri-barmera
Berri Riverside Holiday Park,-34.2864366,140.6099693,berri-barmera
Berri Visitor Information Centre,-34.2876139,140.6029632,berri-barmera
Body Essentials by Cilla,-34.2864512,140.60049,berri-barmera
Clover and Rose,-34.2778397,140.5907046,berri-barmera
Flowers by Jodie Lee,-34.2859865,140.6009264,berri-barmera
Guys & Girls Surf n Street,-34.2854834,140.6009061,berri-barmera
Monash Club Inc.,-34.2354323,140.5574705,berri-barmera
Munchies Cafe,-34.2509666,140.4642866,berri-barmera
My Stylist,-34.2852607,140.6046916,berri-barmera
Overland Corner Hotel,-34.1520296,140.3401484,berri-barmera
Pepperz,-34.2868919,140.6015456,berri-barmera
Plaza Quality Meats,-34.2802244,140.6088504,berri-barmera
Priority Physiotherapy Clinic,-34.2852178,140.6040033,berri-barmera
Riverland Health Foods,-34.285989,140.6006797,berri-barmera
Riverland Premier Sports Centre,-34.2873638,140.6029922,berri-barmera
Riverland Tyre Centre,-34.2556963,140.4617104,berri-barmera
Rosie Clark Dance Studio,-34.284479,140.598384,berri-barmera
Spot-On Outdoors Berri,-34.2873917,140.6009061,berri-barmera
The Jewellery Doctor,-34.2519017,140.463869,berri-barmera
Toyworld Berri,-34.287137,140.6013919,berri-barmera
Sprouts Cafe,-34.2858437,140.6011288,berri-barmera
Barmera Golf Club Inc,-34.2474784,140.4709014,berri-barmera
Berri Plaza Newsagent & Photographics,-34.2807063,140.6090138,berri-barmera
Riverland Steel Supplies,-34.2666664,140.6123046,berri-barmera
Riverland Health Foods,-34.285989,140.6006797,berri-barmera
Berri Nail and Beauty,-34.2855712,140.6025382,berri-barmera
Rollbusch Quality Meats,-34.2514765,140.4645179,berri-barmera
Fun Sips Co.,-34.2431766,140.5417815,berri-barmera
Calm,-34.2868718,140.6016801,berri-barmera
Bassham Wines Cellar Door,-34.2675007,140.4949811,berri-barmera
