name,latitude,longitude,micrositeSlug
"Broadway Shoes",-33.9236874,147.2057281,bland-shire
"Davies Automotive & Industrial",-33.9229208,147.2086321,bland-shire
"Davies Motorcycles",-33.9230787,147.2092734,bland-shire
"House of Fashion",-33.9228895,147.2044551,bland-shire
"Shell Westend Service Station",-33.9226301,147.2014685,bland-shire
"West Wyalong S. & C. Club Ltd.",-33.9218249,147.2069789,bland-shire
"Top Town Tavern",-33.9261426,147.2411745,bland-shire
"761 Beauty",-33.9228943,147.2045295,bland-shire
"761 Hair and Body",-33.9228943,147.2045295,bland-shire
"Ada House",-34.1441266,147.3862679,bland-shire
"All Occasions",-33.9226595,147.203891,bland-shire
"Armstrong Toyota",-33.922639,147.2022081,bland-shire
"Bland Shire Council",-33.9244462,147.2036693,bland-shire
"Charlie's Hardware",-33.9238617,147.2104176,bland-shire
"Discount Dollar",-33.92357,147.206777,bland-shire
"Donaldson Industries",-33.927276,147.1993645,bland-shire
"Duncan's Chainsaw and Mower Centre",-33.9221825,147.2032947,bland-shire
"Furniture One West Wyalong",-33.9231158,147.2056166,bland-shire
"IGA West Wyalong",-33.9223568,147.2026202,bland-shire
"Jade Teahouse Restaurant",-33.9218249,147.2069789,bland-shire
"JJ & DF Pilon General Engineering",-33.923268,147.2104295,bland-shire
"Kelly's Plumbing Supplies",-33.9225896,147.2039175,bland-shire
"Malleetek Mining & Mechanical",-33.927276,147.1993645,bland-shire
"Murrays Maxi Taxi",-33.926828,147.2012701,bland-shire
"NewsXpress West Wyalong",-33.9229953,147.2047028,bland-shire
"Panache Lifestlye and Living",-33.9235736,147.2063626,bland-shire
"Paragon Cafe",-33.9235894,147.2059018,bland-shire
"Pilons Press Juice and Health Products",-33.9235894,147.2059018,bland-shire
"Pink Velvet",-33.9230561,147.2058945,bland-shire
"Presto Restoration & Refinishing",-33.925413,147.2419636,bland-shire
"Quick Fix Cafe",-33.9236931,147.2059761,bland-shire
"Splatter Gallery and Art Studio",-33.9228455,147.2032979,bland-shire
"The Hitching Post",-34.1440643,147.3863192,bland-shire
"The Little Shed",-33.9229779,147.2069864,bland-shire
"The Old Gum Tree Garden Centre",-33.9250602,147.2385809,bland-shire
"The Postmans Pantry",-34.1440643,147.3863192,bland-shire
"Tivoli West Wyalong",-33.9248062,147.2062859,bland-shire
"Tony Lord Optometrist",-33.9235841,147.204369,bland-shire
"Wendy's Embroidery Service",-33.9235625,147.2071994,bland-shire
"West Wyalong Butchery",-33.9236931,147.2059761,bland-shire
"West Wyalong Caravan Park",-33.923843,147.2100194,bland-shire
"West Wyalong Chemist",-33.9229612,147.2062572,bland-shire
"West Wyalong Jewellers",-33.9223568,147.2026202,bland-shire
"West Wyalong Landfill",-33.9065426,147.2065449,bland-shire
"West Wyalong Sew and Save",-33.923686,147.205793,bland-shire
"What’s Cookin",-33.9231069,147.2065428,bland-shire
"Exclusive Hot Glass",-33.9262777,147.2425837,bland-shire
"Hair Off Main",-33.9226538,147.2059236,bland-shire
"Bernardi's Marketplace",-33.9218841,147.2037164,bland-shire
"Barmedman General Store",-34.1440643,147.3863192,bland-shire
"Royal Hotel West Wyalong",-33.9227982,147.2043118,bland-shire
"The Metropolitan Hotel",-33.923756,147.2046293,bland-shire
"Terry White Chemist",-33.9230687,147.2065347,bland-shire
"Sarbys Take Away",-33.9234346,147.2107169,bland-shire
"Rise and Grind Coffee Shop",-33.9231308,147.2037781,bland-shire
"White Tank Hotel",-33.9222472,147.202791,bland-shire
"Body, Health & Bowen",-33.9229984,147.2060822,bland-shire
