name,latitude,longitude,micrositeSlug
Thargomindah Post Office,-27.9939826,143.8259696,bulloo-shire
Turnouts Mechanical Services,-27.9937081,143.8227417,bulloo-shire
Thargomindah Foodworks,-27.9960983,143.8234351,bulloo-shire
Explorers Rest,-27.9942882,143.8229135,bulloo-shire
Bulloo River Hotel,-27.9963804,143.8225909,bulloo-shire
Ago Vires,-27.9860812,143.8204743,bulloo-shire
Hungerford Royal Mail Hotel,-28.9976345,144.4090954,bulloo-shire
Noccundra Hotel,-27.8174784,142.5890294,bulloo-shire
Oasis Motel Restaurant,-27.9970146,143.8225736,bulloo-shire
Get Rooted Garden and Gifts,-27.9965402,143.8248037,bulloo-shire
BKR Town Maintenance Services,-27.996316,143.8213601,bulloo-shire
Tait Motors,-27.9968315,143.8228355,bulloo-shire
Cross Country Fusion,-27.9968782,143.8219847,bulloo-shire
Bulloo Shire Council,-27.9968362,143.8219062,bulloo-shire
Outback Tech Pioneers,-27.9923415,143.8245988,bulloo-shire
