name,latitude,longitude,micrositeSlug
"A Perfect Blend",-26.8050495,153.1322022,caloundra
"Acqua Restaurant & Bar",-26.8046984,153.1303943,caloundra
"Amazen Puzzles & Games**",-26.804789,153.1304846,caloundra
"Athletes Foot",-26.8049444,153.1329384,caloundra
"Beach Beat",-26.8041983,153.1277158,caloundra
"Beauty at Jessica’s",-26.8044333,153.1338484,caloundra
"Bill’s Boat Hire & Bike Hire",-26.809713,153.1225392,caloundra
"Boost Juice Caloundra",-26.804518,153.131182,caloundra
"Bryce's Computer Services",-26.8041629,153.1267555,caloundra
"Caloundra Cafe",-26.8047222,153.1302778,caloundra
"Caloundra Collectables",-26.8045115,153.1316499,caloundra
"Caloundra Holiday Centre",-26.8048818,153.1305456,caloundra
"Caloundra Newsagency",-26.8047587,153.1312038,caloundra
"Candy Tree",-26.8045116,153.13165,caloundra
"Centrepoint Apartments",-26.8055267,153.1322482,caloundra
"Chaps Menswear",-26.8045263,153.1328694,caloundra
"Charly Angelz Hair & Beauty",-26.8050105,153.1327537,caloundra
"Cherylrose Homewares & Gifts",-26.805199,153.132382,caloundra
"City Cave Caloundra",-26.8055267,153.1322482,caloundra
"Cooee Home Decor",-26.8050564,153.1338975,caloundra
"Cosmetic Art Of Tattooing & Beauty",-26.8048598,153.1281728,caloundra
"Cozie Boutique Caloundra",-26.8043999,153.1254643,caloundra
"Crystal Living",-26.8055982,153.1292389,caloundra
"Daikichi Sushi",-26.8048129,153.1307542,caloundra
"Drift Bar & Dining",-26.8064359,153.1317535,caloundra
"Escape Room Oz",-26.8046536,153.134641,caloundra
"Flamingo Nails",-26.8048598,153.1281728,caloundra
"Frangipani Cutting Crew",-26.8041581,153.1279388,caloundra
"Ginger Lilli Boutique",-26.8047363,153.1335978,caloundra
"GoFly Aviation",-26.7997433,153.1076899,caloundra
"Greedy Gringo",-26.8064359,153.1317535,caloundra
"Grounded Emporium",-26.8047087,153.1277158,caloundra
"Guitar Den",-26.8050564,153.1338975,caloundra
"Hair 4551",-26.8047209,153.1290871,caloundra
"Helloworld Caloundra",-26.8046077,153.1323071,caloundra
"Hot Hair Works",-26.8052312,153.1323632,caloundra
"iExpert Mobile",-26.8047554,153.1281711,caloundra
"Indiyum",-26.8063088,153.1322252,caloundra
"Joanne Apartments",-26.8040286,153.134717,caloundra
"K Smith & Son Jewellers",-26.8050858,153.1332145,caloundra
"Kitchen Bar and More",-26.8034505,153.1343864,caloundra
"La Promenade",-26.8054754,153.1286175,caloundra
"Let Loose Fashion and Bling",-26.8041023,153.1271406,caloundra
"Love Bonnie",-26.8045285,153.1312568,caloundra
"Mannequin Lane",-26.8041496,153.1339796,caloundra
"Milano Gelateria",-26.8047513,153.1307603,caloundra
"Mint Espresso Bar",-26.8045485,153.1327102,caloundra
"Neon Blonde",-26.8045116,153.13165,caloundra
"One Third  French Cafe",-26.804253,153.1322177,caloundra
"Pablo's Tex-Mex Caloundra",-26.804238,153.1291888,caloundra
"Pacific News and Casket",-26.8051911,153.135558,caloundra
"Penang Chinese Cuisine",-26.8050674,153.1344799,caloundra
"RACQ Caloundra",-26.8047301,153.1292802,caloundra
"Rayanna",-26.8046077,153.1323071,caloundra
"Renaissance Hair",-26.8045859,153.1323311,caloundra
"Rumba Beach Resort",-26.8064359,153.1317535,caloundra
"Selig Jewellers",-26.8050495,153.1322022,caloundra
"Shannons Shoes",-26.804977,153.133663,caloundra
"Sokuri",-26.804208,153.128461,caloundra
"Strand Cinema Caloundra",-26.8046536,153.134641,caloundra
"Surfware Australia",-26.8051673,153.13565,caloundra
"Sweet Charlotte Studio",-26.8050329,153.1335957,caloundra
"Tech Aid",-26.7927177,153.1318226,caloundra
"Thai-riffic Massage",-26.8050495,153.1322022,caloundra
"The Book Bucket",-26.8047993,153.1351472,caloundra
"The BookShop at Caloundra",-26.8050472,153.1344731,caloundra
"The Frogs Kitchen",-26.805292,153.1296153,caloundra
"The Guillotine Hair Artistry",-26.8047024,153.1281805,caloundra
"The Happy Turtle Cafe",-26.8071839,153.1342489,caloundra
"The Source Bulk Foods Caloundra",-26.8050773,153.1341045,caloundra
"The Waterford Apartments",-26.8056183,153.1315156,caloundra
"Three Restaurant Bar and Grill",-26.8043162,153.1280874,caloundra
"Tides Waterfront Dining",-26.806701,153.1322712,caloundra
"Tirzart Boutique",-26.8047301,153.1292802,caloundra
"Totally Adult",-26.8051296,153.1354614,caloundra
"Vanda Hair",-26.8050495,153.1322022,caloundra
"Venice Gourmet Pizza, Pasta & Ribs",-26.8047304,153.1285198,caloundra
"Whitepepper Home",-26.8050564,153.1338975,caloundra
"Wung Name Thai Water Palace",-26.8054806,153.1298324,caloundra
"Your Hair by Me",-26.8047024,153.1281805,caloundra
