name,latitude,longitude,micrositeSlug,,,,,,,,,,,,,,,,,,,,,,
Club Lake Cathie,-31.5448569,152.8577845,camden-haven,,,,,,,,,,,,,,,,,,,,,,
13 Cabs Laurieton,-31.6502095,152.7967216,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Beach - Town Surf,-31.6398462,152.8170033,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Beachbreak Café,-31.6340454,152.8332229,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Big A + Tile Power Laurieton,-31.6423062,152.7970178,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Blue Buffalo Café,-31.6513383,152.7963257,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Bonny Hills Garden Centre,-31.5833559,152.8314768,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Bonny Hills Nursery Café,-31.5879159,152.8332402,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Bonny Hills Pharmacy,-31.5952708,152.8402993,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Bonny View Store,-31.5906845,152.8392654,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Brew Haven Café,-31.6395814,152.8206101,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Bruce Dunlop Computers,-31.6507044,152.7971282,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Camden Haven Marine,-31.6420946,152.8107016,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Camden Haven Travel,-31.6491453,152.7970178,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Camden Haven Tyre and Brake Centre,-31.6437716,152.79778,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Camvet,-31.6437124,152.7987333,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Caramels at Cathie,-31.5529544,152.8538319,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Club North Haven,-31.6388302,152.8197601,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Deliziosos,-31.6493159,152.7971326,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Dollar Savers Building Supplies,-31.6435351,152.7973287,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Dunbogan Boatshed and Marina,-31.6482974,152.8094338,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Dunbogan Takeaway & Bottleshop,-31.6471664,152.8132587,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Eggins Newsagency Laurieton,-31.6508161,152.7964894,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Elixer of Beauty,-31.6339549,152.7248851,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Forgiving Foods,-31.650669,152.7967327,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Glasshouse Port Macquarie,-31.4290793,152.9096979,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Grounded Café,-31.6504734,152.7978677,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Hastings Co-op Department Store,-31.6502095,152.7967216,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Hastings Co-op Kew Rural Store,-31.6336117,152.724214,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Haven Pizza,-31.6489593,152.7971466,camden-haven,,,,,,,,,,,,,,,,,,,,,,
iKew,-31.6349304,152.7224645,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Ingenia Communities,-31.4457073,152.8759376,camden-haven,,,,,,,,,,,,,,,,,,,,,,
JA Fashions,-31.6502095,152.7967216,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kendall Craft Cooperative,-31.6354246,152.7064213,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kendall Post Office,-31.6323223,152.7046276,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kendall Services Club,-31.632102,152.7064414,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kew Corner Store,-31.6333076,152.7237865,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kew Country Club,-31.6326082,152.7226751,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kew Motel,-31.6345965,152.7237084,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kew Service Station,-31.6359178,152.7218374,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kew Tyres and Auto Centre,-31.6359178,152.7218374,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Kylie's Art Studio and Supplies,-31.6511742,152.7964605,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Lake Cathie Medical Centre Pharmacy,-31.5629022,152.8448025,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Laurieton Auto Parts,-31.6476429,152.7963057,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Laurieton Cellars,-31.6504234,152.7972015,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Laurieton Hardware,-31.6496656,152.7970407,camden-haven,,,,,,,,,,,,,,,,,,,,,,
Laurieton Hotel,-31.6499136,152.7962368,camden-haven,,,,,,,,,,,,,,,,,,,,,,
