name ,latitude,longitude,micrositeSlug
"tax accounting adelaide",-34.8767781,138.6868789,"campbelltown"
"Altaira Allied Health",-34.8771049,138.6637591,"campbelltown"
"Campbelltown Public Library",-34.8880016,138.678452,"campbelltown"
"Glynde Mitre 10",-34.9066222,138.6579017,"campbelltown"
"Indian Club SA",-34.9127765,138.6754514,"campbelltown"
"Indigo Espresso Cafe",-34.8711387,138.7014984,"campbelltown"
"Mercato",-34.8774055,138.6635648,"campbelltown"
"Okami Japanese Restaurant",-34.8866125,138.6899348,"campbelltown"
"Paradise Mazda",-34.8700018,138.6752732,"campbelltown"
"The Family Cook",-34.8967756,138.6682539,"campbelltown"
"Tony & Mark's (Jan St)",-34.8768019,138.6737891,"campbelltown"
"Tony & Mark's (Montacute Rd)",-34.8859988,138.6904444,"campbelltown"
"Fine Food Cucina",-34.8806443,138.6829852,"campbelltown"
"The ARC Campbelltown",-34.8845733,138.6573549,"campbelltown"
"REZZ Hotel",-34.8759423,138.6906403,"campbelltown"
