name,latitude,longitude,micrositeSlug
"Carrathool Shire Council - Goolgowi Office",-33.9815563,145.7091354,"carrathool"
"B & D Brettschneider General Store",-33.4865893,145.530018,"carrathool"
"Black Stump Hotel",-33.8167925,145.6228049,"carrathool"
"Carrathool Family Hotel",-34.4071335,145.4342141,"carrathool"
"Carrathool Shire Council - Hillston Office",-33.4841461,145.5333095,"carrathool"
"Clubhouse Hotel",-33.4844429,145.5330025,"carrathool"
"Corynnia Station",-34.4072094,145.4306996,"carrathool"
"Daisy Plains Giftware",-33.4855293,145.532192,"carrathool"
"Elders Hillston",-33.4842576,145.5344726,"carrathool"
"Goolgowi Ex-Servicemens Club",-33.9808976,145.7081573,"carrathool"
"Goolgowi General Store-Donna's Diner",-33.9811613,145.7092032,"carrathool"
"Goolgowi Metro",-33.9804321,145.7114587,"carrathool"
"Gypsy Rose Cottage**",-33.4847956,145.5332744,"carrathool"
"Harvey’s Service Centre",-33.4830608,145.5347607,"carrathool"
"Hillston Breadbasket",-33.4850897,145.5317009,"carrathool"
"Hillston Cafe",-33.4852236,145.532786,"carrathool"
"Hillston Creative Arts Council Inc",-33.4849466,145.5317289,"carrathool"
"Hillston Ex-Servicemens & Citizens Club",-33.4867798,145.5292588,"carrathool"
"Hillston Golf Club**",-33.4756108,145.5311826,"carrathool"
"Hillston Hardware",-33.4848002,145.5312461,"carrathool"
"Hillston Newsagency",-33.4851111,145.5327186,"carrathool"
"Hillston Pharmacy",-33.4855293,145.532192,"carrathool"
"Hillston Tyre Service Pty Ltd",-33.4915164,145.5356143,"carrathool"
"IGA Hillston",-33.4843838,145.5338435,"carrathool"
"Janice’s Massage and Robyn’s Healing**",-33.8164749,145.6230745,"carrathool"
"Kelly’s Hair Studio**",-33.4897708,145.5302793,"carrathool"
"Local Community Care**",-33.4857235,145.5318925,"carrathool"
"Mullins Health",-33.484332,145.534396,"carrathool"
"Northern Riverina Electrical**",-33.4855373,145.5314081,"carrathool"
"Nutrien Ag Solutions",-33.4896446,145.5369393,"carrathool"
"O’Sullivans Store**",-33.4848099,145.531975,"carrathool"
"Old School Caravan Park, Merriwagga**",-33.8136898,145.6273311,"carrathool"
"Tatts Hotel",-33.4858514,145.5304233,"carrathool"
"The Shed",-33.4825405,145.5338998,"carrathool"
