name,latitude,longitude,micrositeSlug
It's All Good Health & Gift,-40.840836,145.1257836,circular-head
Smithton Club Inc,-40.8424993,145.1244577,circular-head
IGA Everyday Smithton,-40.8405739,145.1258876,circular-head
Tall Timbers Tasmania,-40.8601158,145.1253963,circular-head
Noun A Place for More Things,-40.8414388,145.1262668,circular-head
Stanley Hotel,-40.7615535,145.2958962,circular-head
{noun} a place for things,-40.8413241,145.126389,circular-head
Armour Timber & Hardware,-40.8574158,145.1351909,circular-head
Bridge Hotel,-40.8390236,145.1192858,circular-head
Clarkson Sports & Cycles,-40.8395024,145.1255106,circular-head
Smithton Showcase Jewellers,-40.8403926,145.1257204,circular-head
Lizzy's This N That,-40.8420097,145.1276397,circular-head
Treena's Garden Supplies,-40.8630485,145.1185269,circular-head
Perry's Quality Meats,-40.8414879,145.1240592,circular-head
Detention River Store,-40.8794334,145.4479516,circular-head
"DL Poke Menswear / Saltwater City",-40.8404727,145.1258643,"circular-head"
"Time Out on Emmett",-40.84102,145.1263668,"circular-head"
"Circular Head Office Supplies",-40.8420542,145.1249957,"circular-head"
"Jayde & Co",-40.8402762,145.1259423,"circular-head"
"Jenski Restaurant & Café",-40.8424993,145.1244577,"circular-head"
"Frankie Street",-40.8416614,145.1233708,"circular-head"
"Spuds & More",-40.8403231,145.1264666,"circular-head"
"Hungry Years Pizza",-40.8417038,145.1236825,"circular-head"
"Smithton Hair Care Studio",-40.8419573,145.1234529,"circular-head"
"Inn World",-40.840307,145.12577,"circular-head"
"Boots N All",-40.8417009,145.1236202,"circular-head"
"Smithton Betta Home Living",-40.8406275,145.1264751,"circular-head"
