name,latitude,longitude,micrositeSlug
"Yamba Iluka Real Estate",-29.4358274,153.3601184,"clarence-valley"
"Ada and Flynn Pharmacy",-29.6904019,152.9342538,"clarence-valley"
"Aloha Sushi",-29.4284038,153.3278512,"clarence-valley"
"AMMO Hair & Beauty",-29.4558211,153.1967379,"clarence-valley"
"Belinda’s Store",-29.43639829999999,153.359842,"clarence-valley"
"Bike Shop Yamba",-29.437646,153.35956,"clarence-valley"
"Bimbimbi Riverside Caravan Park",-29.3586333,153.2769101,"clarence-valley"
"Birdscage Boutique Grafton",-29.6901741,152.9336244,"clarence-valley"
"Birdscage Boutique Maclean",-29.4563691,153.1972088,"clarence-valley"
"Birdscage Boutique Yamba",-29.4362847,153.3604869,"clarence-valley"
"Blue Dolphin Holiday Resort",-29.4337219,153.3411878,"clarence-valley"
"Blueberries Smoothies and Health Bar",-29.4567452,153.1971207,"clarence-valley"
"Bowlo Sports and Leisure Yamba",-29.4381737,153.3578383,"clarence-valley"
"BP Marina Hooks Bait and Tackle",-29.7019664,152.9350266,"clarence-valley"
"Bundjalung Surf Rock Café",-29.4132666,153.3560226,"clarence-valley"
"C’est la vie Francaise",-29.4563043,153.1971528,"clarence-valley"
"Café Alchemy",-29.7026118,152.9358804,"clarence-valley"
"Caperberry Cafe",-29.4368226,153.3609447,"clarence-valley"
"Clarence Courtyard Nursery",-29.4552261,153.19684,"clarence-valley"
"Clarence Kitchen Collective",-29.7027383,152.9345864,"clarence-valley"
"Clovelly Fashions",-29.4569868,153.1964526,"clarence-valley"
"Club Iluka",-29.4085975,153.3544688,"clarence-valley"
"Coutts Crossing General Store",-29.8281408,152.8914264,"clarence-valley"
"CycleSport Grafton",-29.6879147,152.9357863,"clarence-valley"
"Deosa Wholefoods",-29.6898704,152.9340037,"clarence-valley"
"Dunes Café",-29.4282715,153.3269333,"clarence-valley"
"Early Birds Chicken",-29.7019664,152.9350266,"clarence-valley"
"Espresso Botero",-29.4606251,153.1976455,"clarence-valley"
"Events Delivered",-30.5859663,152.9968455,"clarence-valley"
