name,latitude,longitude,micrositeSlug
"Affordable Furniture",-33.0884693,147.1473483,condobolin
"Central West Tyres",-33.0884693,147.1473483,condobolin
"Condo Quality Meats",-33.088911,147.1478487,condobolin
"Condobolin Newsagents",-33.0893713,147.1488478,condobolin
"Don Lark Motorcycles",-33.0880808,147.1465347,condobolin
"Equipment & Service Co",-33.0889241,147.1454301,condobolin
"Foodworks",-33.0866474,147.1522422,condobolin
"Gallery 104 (formerly RJs Hairdressing)",-33.0884693,147.1473483,condobolin
"Red Cattle Dog Condobolin",-33.0882364,147.1469529,condobolin
"Royal Hotel Condobolin",-33.0881963,147.1484512,condobolin
"Shortis and Timmins Pharmacy",-33.0882288,147.1481705,condobolin
"The Hall",-33.0881508,147.1455793,condobolin
"The Royal Laundry",-33.0881849,147.1479618,condobolin
"Wradjuri Condobolin",-33.0805752,147.1511672,condobolin
"Railway Hotel",-33.0852916,147.1530776,condobolin
"Condobolin Sports Club Limited",-33.0847554,147.1413811,condobolin
"Chamens IGA",-33.0892918,147.1499052,condobolin
