name,latitude,longitude,micrositeSlug
"Altruistic Alternative Therapies",-35.9848768,145.675546,coobram-barooga
"Ambience Bakery Cafe",-35.9191406,145.6489269,coobram-barooga
"Big Mumma's Kitchen",-35.9200931,145.6506504,coobram-barooga
"Blush Beauty 3644",-35.919713,145.6498549,coobram-barooga
"Byramine Homestead & Brewery",-35.9943069,145.8588905,coobram-barooga
"Cactus Country",-35.9249647,145.4988833,coobram-barooga
"Cobram  Bedding and Furniture",-35.9164271,145.6461946,coobram-barooga
"Cobram Bakery Cafe",-35.9205157,145.6494331,coobram-barooga
"Cobram Barooga Golf Club",-35.9064534,145.6867492,coobram-barooga
"Cobram Barooga Ruraltech",-35.9196171,145.6490416,coobram-barooga
"Cobram Colonial Motor Inn",-35.9273142,145.6509969,coobram-barooga
"Cobram Discount Drug Store",-35.9202383,145.6477389,coobram-barooga
"Cobram Hotel",-35.9213048,145.6462557,coobram-barooga
"Cobram Newsagency",-35.9200435,145.6484103,coobram-barooga
"Cobram Outdoors",-35.9197125,145.6500007,coobram-barooga
"Cobram Pharmacy (formerly Paul Ukich Amcal Pharmacy)",-35.91933119999999,145.6487484,coobram-barooga
"Cobram Photos & Trophy Centre",-35.9200312,145.6501294,coobram-barooga
"Cobram Shoex",-35.9212209,145.6480851,coobram-barooga
"D'Vine Ideas",-35.920628,145.649095,coobram-barooga
"Essentials and Gifts",-35.9206314,145.6477129,coobram-barooga
"Helloworld Travel Cobram",-35.9197719,145.6486958,coobram-barooga
"Hens Teeth Trading",-35.9164784,145.6461689,coobram-barooga
"Monchino Wines",-35.9707656,145.460351,coobram-barooga
"Noonans Showcase Jewellers",-35.9205751,145.6468903,coobram-barooga
"Ritchies IGA",-35.9201939,145.6482299,coobram-barooga
"Scent In A Box",-35.9206463,145.646795,coobram-barooga
"Barooga Food & Fuel",-35.9123494,145.6903989,coobram-barooga
"Intune Automotive Centre",-35.9187866,145.6404414,coobram-barooga
"Barooga Sports Club",-35.9064534,145.6867492,coobram-barooga
"Barooga Hotel",-35.9128196,145.688242,coobram-barooga
"Intersport Wingates",-35.9202125,145.6487502,coobram-barooga
"The Big Strawberry",-35.8892448,145.5744393,coobram-barooga
"Mentha's Surf & Street Supply",-35.92004319999999,145.6485475,coobram-barooga
