name,latitude,longitude,micrositeSlug
"Leighs Auto Centre",-31.7845656,149.7487272,coolah
"Coolah Auto Smash & Mechanical",-31.8226595,149.7209008,coolah
"Lea's Hair and Beauty",-31.823366,149.719613,coolah
"Coolah Stitch & Repair**",-31.82358289999999,149.7208422,coolah
"Bonds Metal Works",-31.8253326,149.720928,coolah
"Coolah Garden Café & Pantry",-31.8228537,149.7204617,coolah
"Piper Real Estate**",-31.8245204,149.7201139,coolah
"Coolah Pharmacy",-31.823599,149.7198123,coolah
"Haynes Farm & Hardware",-31.8235812,149.7199873,coolah
"Coolah Bakery",-31.8243907,149.7199059,coolah
"Country Elegance Giftware",-31.8237781,149.7207443,coolah
"Pursehouse Rural",-31.8251435,149.72101,coolah
"Black Stump Butchery",-31.823178,149.7199544,coolah
"Black Stump Service Station",-31.8274783,149.71567,coolah
"Coolah's Top Servo",-31.82184749999999,149.7244069,coolah
"Coolah IGA Supermarket",-31.8235812,149.7199873,coolah
