name,latitude,longitude,micrositeSlug
"Agri West (Cooma Rural)",-36.2345692,149.1287981,cooma
"Altair Motel",-36.2369889,149.12258,cooma
"Balance Massage & Beauty",-36.2345567,149.1270444,cooma
"Balance Massage and Beauty",-36.2349024,149.1268694,cooma
"Betta Home Living",-36.2329341,149.1294525,cooma
"Birdsnest",-36.2383846,149.1172712,cooma
"Bonafide Restaurant (The Cooma Hotel)",-36.2341097,149.1242231,cooma
"Bush Basics",-36.2348811,149.1253013,cooma
"Coles Supermarket",-36.2366095,149.1195811,cooma
"Cooma Ex Services Club",-36.2370012,149.1260172,cooma
"Cooma Flower Shop",-36.2358117,149.1236288,cooma
"Cooma Furnishing Company Pty Ltd",-36.2341341,149.1288878,cooma
"Cooma Golf Club",-36.22931130000001,149.0652902,cooma
"Cooma H Hardware",-36.2265174,149.146996,cooma
"Cooma Hotel",-36.2341097,149.1242231,cooma
"Cooma Pet Shop",-36.23388509999999,149.1278992,cooma
"Cooma School of Music",-36.2347566,149.1255343,cooma
"Cooma Visitor Information Centre",-36.2344677,149.1255462,cooma
"Earth Song Wellness Centre",-36.2360334,149.1261155,cooma
"High Country Massage",-36.23151259999999,149.1325687,cooma
"Hippocket Workwear & Safety Cooma",-36.2350439,149.1240661,cooma
"Jaggez Hair Studio",-36.234386,149.1278086,cooma
"LNH Physiotherapy",-36.2358648,149.1234202,cooma
"Macks Auto & Tyreplus Cooma",-36.2346464,149.1273852,cooma
"Mainstreet Clothing",-36.2349024,149.1268694,cooma
"Mitre 10 Cooma",-36.2346855,149.1244249,cooma
"Monaro Chemist",-36.2359137,149.1252323,cooma
"Monaro Meats",-36.2358353,149.1252454,cooma
"Murphy's Cafe",-36.2352851,149.1248205,cooma
"Nebula Motel",-36.2359513,149.128529,cooma
"NewsXpress",-36.2356476,149.1250719,cooma
"Office Play",-36.2345567,149.1270444,cooma
"Pacific Furniture & Bedding Cooma",-36.2350915,149.1269983,cooma
"Pha's Thai Kitchen",-36.2359792,149.1231633,cooma
"Raglan Gallery",-36.2333314,149.1147052,cooma
"Roses Family Restaurant",-36.233951,149.124869,cooma
"Schoos Studio",-36.2352021,149.1271461,cooma
"Shell Region Service Station",-36.2323912,149.1308498,cooma
"Snowy Hydro Discovery Centre",-36.2207722,149.1322519,cooma
"Snowy Mountains Vet Group",-36.211395,149.1529292,cooma
"South East Printing",-36.2359692,149.1272377,cooma
"Sportspower Cooma",-36.2351329,149.1264657,cooma
"Stables Hair & Beauty",-36.2348257,149.1268021,cooma
"Subway Cooma",-36.2345567,149.1270444,cooma
"The Alpine Hotel",-36.2363234,149.1243801,cooma
"The Fabric Salon",-36.2359137,149.1252323,cooma
"The Lott Foodstore and Café",-36.2359792,149.1231633,cooma
"Woolworths Cooma",-36.2333675,149.1241782,cooma
"Your House",-36.2341454,149.1273426,cooma
"Your Outdoor Store",-36.2352375,149.1264852,cooma
"South East Embroidery & Your Workwear",-36.2358852,149.1282567,cooma
"Hooks Pharmacy",-36.2354738,149.1253018,cooma
