name,latitude,longitude,micrositeSlug
"Albion Hotel",-34.63833,148.0242257,cootamundra-gundagai
"Baileyana Embroidery",-34.6366867,148.0263617,cootamundra-gundagai
"Blackies Power Equipment",-34.6303537,148.0403799,cootamundra-gundagai
"Braybrooks Pharmacy",-34.6371383,148.0260506,cootamundra-gundagai
"Camera Art Photo & Imaging  Centre",-34.6385476,148.0245956,cootamundra-gundagai
"Central Hotel Cootamundra",-34.6380598,148.0252797,cootamundra-gundagai
"Cootamundra Chiropractics",-34.6365177,148.0267171,cootamundra-gundagai
"Criterion Hotel",-35.0646136,148.104829,cootamundra-gundagai
"Daisy’s Decor",-35.0656902,148.1064527,cootamundra-gundagai
"Dusty Road Coffee Roasters",-34.6388442,148.0247014,cootamundra-gundagai
"E'Claire's Coffee Shop",-34.6359876,148.027228,cootamundra-gundagai
"Inner Glo Haus (previously Eccentric Beauty)",-35.0657682,148.106588,cootamundra-gundagai
"Elders Cootamundra",-34.63576949999999,148.027551,cootamundra-gundagai
"Elizabeth Anne Florist",-34.6370707,148.0260997,cootamundra-gundagai
"Lotts Family Hotel",-35.0639278,148.1040842,cootamundra-gundagai
"Fig and Co",-35.0640889,148.1035563,cootamundra-gundagai
"Foodworks Gundagai & Local Liquor",-35.0652507,148.1056194,cootamundra-gundagai
"Gundagai Bakery",-35.0646255,148.1045067,cootamundra-gundagai
"Gundagai District Services Club",-35.0631651,148.101232,cootamundra-gundagai
"Gundagai Visitor Information Centre",-35.062879,148.101894,cootamundra-gundagai
"Helloworld Travel Cootamundra",-34.6376162,148.0256535,cootamundra-gundagai
"Jak + Jill",-34.6376557,148.0258285,cootamundra-gundagai
"Junque and Disorderly",-35.0642433,148.1049656,cootamundra-gundagai
"Kevin Deeps Clothing & Footwear",-34.6360388,148.0263394,cootamundra-gundagai
"Mitre 10 Cootamundra",-34.649568,148.0218966,cootamundra-gundagai
"Mitre 10 Gundagai",-35.0652588,148.1051847,cootamundra-gundagai
"Moeys Gundagai",-35.0650696,148.1055355,cootamundra-gundagai
"Patchwork on Parker",-34.6381737,148.0241801,cootamundra-gundagai
"Pazzaz Hair Studio",-34.6362196,148.0259618,cootamundra-gundagai
"Riss & Co. Hair",-35.0648732,148.1055182,cootamundra-gundagai
"SG Chambers Pty Ltd",-34.640917,148.0270281,cootamundra-gundagai
"Smarts Butchery",-35.065405,148.1067742,cootamundra-gundagai
"Terry White Chemmart Gundagai",-35.0648801,148.1053403,cootamundra-gundagai
"The Bush Chemist Cootamundra- Beddies",-34.6384785,148.0245938,cootamundra-gundagai
"The Coffee Pedaler Gundagai",-35.0652104,148.106274,cootamundra-gundagai
"Vinnies Cootamundra",-34.6367764,148.0265393,cootamundra-gundagai
"Wattle Butchery",-34.6375461,148.0246475,cootamundra-gundagai
"WI-SKY - NSW",-35.065431,148.1058754,cootamundra-gundagai
"Wren Store & Styling",-35.0652624,148.1064518,cootamundra-gundagai
"Your Weigh Mobile Vehicle Weighing",-35.14386,147.9930534,cootamundra-gundagai
"Marshall’s Mercantile",-35.0640285,148.1044481,cootamundra-gundagai
"The Coota District Co-Op Ltd",-34.6362806,148.0259166,cootamundra-gundagai
"KJ's Club Cafe",-35.0631651,148.101232,cootamundra-gundagai
"Hair Design and Beauty",-34.6386855,148.0240849,cootamundra-gundagai
