name,latitude,longitude,micrositeSlug
"Absolute Beauty",-33.8346839,148.6911799,cowra-cash
"Beds R Us and Furniture House",-33.82338730000001,148.6857989,cowra-cash
"Bryants Glass & Windscreens",-33.8241057,148.6839531,cowra-cash
"Bushmans Boots and All",-33.8340656,148.6896472,cowra-cash
"Café Ruze",-33.8349112,148.6899882,cowra-cash
"Calare for Hair",-33.8348529,148.6924287,cowra-cash
"Cellarbrations",-33.8369073,148.6975129,cowra-cash
"Central Veterinary Services",-33.8357469,148.6933072,cowra-cash
"Cowboy Guns & Gear",-33.8341033,148.6897812,cowra-cash
"Cowra Auto Electrical & Air Conditioning",-33.8491532,148.6673267,cowra-cash
"Cowra Bowling Club",-33.8377649,148.6916197,cowra-cash
"Cowra Carpet Court",-33.8270039,148.6840814,cowra-cash
"Cowra Civic Centre",-33.8338867,148.6936246,cowra-cash
"Cowra Concrete Products Pty Ltd",-33.8441095,148.6723111,cowra-cash
"Cowra Glass Service",-33.8354009,148.693066,cowra-cash
"Cowra Golf Club",-33.8416018,148.678339,cowra-cash
"Cowra Guardian",-33.8358579,148.6932224,cowra-cash
"Cowra Japanese Garden & Cultural Centre",-33.7346053,148.7409128,cowra-cash
"Cowra Motor Inn",-33.8346839,148.6911799,cowra-cash
"Cowra Physiotherapy & Health Supplies",-33.8328718,148.691904,cowra-cash
"Cowra Pro Shop",-33.8442618,148.6787545,cowra-cash
"Cowra Services Club",-33.8340785,148.6917657,cowra-cash
"Cowra Tourism",-33.8320248,148.6125271,cowra-cash
"Cowra Toyota",-33.8423195,148.6748014,cowra-cash
"Cowra/Grenfell Meals on Wheels",-33.8365883,148.6913454,cowra-cash
"Crafted By Nature Australia",-33.833856,148.6885739,cowra-cash
"Datavoice Communications Cowra",-33.8349899,148.6891022,cowra-cash
"Dream Skin and Body Clinic",-33.8349432,148.6903331,cowra-cash
"French's Store",-33.8276265,148.6837662,cowra-cash
"Furphy's Brasserie",-33.8346768,148.6869383,cowra-cash
"Geoff Day Optometrist",-33.8347681,148.6876295,cowra-cash
"Helloworld Cowra",-33.8349112,148.6899882,cowra-cash
"Hong Kong Chinese Restaurant",-33.8348109,148.6946987,cowra-cash
"Imperial Hotel",-33.8335207,148.6880397,cowra-cash
"Jeffs Joinery & Building Centre (previously Jamiesons Joinery)",-33.8363802,148.6901164,cowra-cash
"Kendal Street Café",-33.8351747,148.6922616,cowra-cash
"Kendall Street Newsagency",-33.8346717,148.6893902,cowra-cash
"Kilby's Heating & Cooling",-33.8292587,148.6828652,cowra-cash
"Lachlan Engineering Services",-33.8392341,148.6778815,cowra-cash
"Mr Embroidery",-33.835005,148.6916856,cowra-cash
"Nangar Gems",-33.8346823,148.6896025,cowra-cash
"Paws N Tails",-33.8289192,148.6828153,cowra-cash
"Peacock River",-33.8153468,148.6905633,cowra-cash
"Power Tools Plus",-33.8355976,148.6788103,cowra-cash
"Railway Hotel Cowra",-33.835157,148.6959039,cowra-cash
"Re'Lish Home & Living",-33.8343975,148.6867089,cowra-cash
"Round The House Cowra",-33.8354009,148.693066,cowra-cash
"Shoes 4 You",-33.8342512,148.6894834,cowra-cash
"Skin & Beauty Emporium",-33.8339338,148.6886193,cowra-cash
"Skinners Premium Quality Meats",-33.8344622,148.6888795,cowra-cash
"Sovereign Inn",-33.8346768,148.6869383,cowra-cash
"Sportspower Cowra",-33.83471540000001,148.6897008,cowra-cash
"Spot On Cowra",-33.8439057,148.6710074,cowra-cash
"Studio 36a Collective",-33.8339232,148.6891731,cowra-cash
"Superb Jewellery",-33.8349432,148.6903331,cowra-cash
"The Salon Collective",-33.8346839,148.6911799,cowra-cash
"Townhouse Motel",-33.8346768,148.6869383,cowra-cash
"Webster Optometrists",-33.8346687,148.6931916,cowra-cash
"Yellow House Cowra",-33.8346839,148.6911799,cowra-cash
"Kous Clothing",-33.8348583,148.6903802,cowra-cash
"Innovators Hair & Head Spa Cowra",-33.8370245,148.6689446,cowra-cash
