name,latitude,longitude,micrositeSlug
"BAMBOO PANTRY PTY LTD",-27.2624958,152.0561597,"crows-nest"
"Baileys Key Hardware",-27.2603787,152.0556585,"crows-nest"
"Bamboo Pantry Crows Nest",-27.2624651,152.0553255,"crows-nest"
"Crows Nest Fuel Supplies",-27.2623611,152.0552272,"crows-nest"
"Crows Nest News and LPO",-27.262187,152.0559942,"crows-nest"
"Crows Nest Soft Drinks",-27.2612332,152.0565876,"crows-nest"
"Crows Nest Tyre Service",-27.2609057,152.0566333,"crows-nest"
"Curly Carrot",-27.2727763,152.0549638,"crows-nest"
"Feelin Saucy Pizza n Gelato",-27.2616358,152.0566538,"crows-nest"
"Hampton Visitor Information Centre",-27.3590139,152.0699607,"crows-nest"
"Holland Wines",-27.2468568,152.0536244,"crows-nest"
"IGA Crows Nest",-27.2620606,152.0562465,"crows-nest"
"Littletons Leather/ Littletons Mowers & Machinery",-27.2623941,152.0544666,"crows-nest"
"Meats and More Crows Nest",-27.2609173,152.0561986,"crows-nest"
"Nightingale Crafts",-27.2602953,152.0555034,"crows-nest"
"Peadon Rural",-27.2783867,152.0532812,"crows-nest"
"Pechey Distilling Co",-27.2997955,152.057869,"crows-nest"
"Property Management Products",-27.279422,152.0517817,"crows-nest"
"The Nest Cafe",-27.2616741,152.0565939,"crows-nest"
"Grand Old Crow Hotel",-27.2607481,152.0547508,"crows-nest"
"Chic Shoe Store",-27.2624651,152.0553255,"crows-nest"
