name,latitude,longitude,micrositeSlug
"Andersens Dalby",-27.18856,151.2677089,"dalby"
"The Beauty & Brow Bar",-27.182006,151.2620588,"dalby"
"Dalby Newspower",-27.1821492,151.2658963,"dalby"
"Warrego Office Choice",-27.1822154,151.2658446,"dalby"
"Creative Embroidery",-27.1804816,151.2647689,"dalby"
"Foodworks Dalby",-27.1814448,151.2633,"dalby"
"Eyecare Eyewear",-27.1811829,151.2674378,"dalby"
"Ashton's Butchery",-27.1811829,151.2674378,"dalby"
"MacNellies Workplace Safety",-27.1789409,151.2662835,"dalby"
"Golding Air Conditioning and Heating",-27.1767011,151.2660891,"dalby"
"Dalby Mower Supplies",-27.1788093,151.2593828,"dalby"
"Russell Pastoral Company",-26.9612788,151.2353353,"dalby"
"Diesel Care Australia",-27.1845968,151.237157,"dalby"
"BMO Business Centre",-27.1958084,151.2744599,"dalby"
"Criterion Hotel Bottlemart",-27.1806016,151.2570057,"dalby"
"Dalby General Steel",-27.1810971,151.2405943,"dalby"
"Criterion Hotel Dalby",-27.186103,151.266124,"dalby"
"Hedges Sports Store",-27.1806716,151.2669499,"dalby"
"Nikki J",-27.1799848,151.2676727,"dalby"
"Goodyear Autocare",-27.1790172,151.265213,"dalby"
"Gallery107@Dalby",-27.1887123,151.2692172,"dalby"
"Carrick Aland",-27.1800743,151.2669439,"dalby"
"Dalby Gravels Soils & Garden Centre",-27.1982041,151.2798921,"dalby"
"Dalby Golf Club",-27.1912006,151.257305,"dalby"
"Dalby Engine Rebuilders",-27.1858553,151.2458101,"dalby"
"Total Care Vets",-27.1789699,151.2597018,"dalby"
"Dalby Birite Pty Ltd",-27.1716174,151.2746701,"dalby"
"The Dalby & District Friendly Society Dispensary Ltd",-27.1808498,151.2663746,"dalby"
"Dalby Wholelife Pharmacy and Healthfoods",-27.1857662,151.2606006,"dalby"
"THE BUN HOTEL",-27.0612562,151.4342908,"dalby"
"Pest Worx QLD",-27.1792629,151.2680644,"dalby"
"The Beauty Witch",-27.1916027,151.2609542,"dalby"
"Anthony's",-27.1818854,151.2651275,"dalby"
"The look hair studio",-27.1806159,151.2658775,"dalby"
"Harvey Norman Dalby",-27.1808637,151.2659945,"dalby"
"Dalby & District Veterinary Services",-27.1789699,151.2597018,"dalby"
"Southside Quality Meats",-27.1898008,151.2688604,"dalby"
"Dalby Rural Supplies",-27.1780022,151.2521733,"dalby"
"Dalby Leagues Club Inc",-27.182006,151.2620588,"dalby"
"Kobbers Motor Inn",-27.1801138,151.2575153,"dalby"
"Bottle Tree Vets",-27.1807089,151.2636782,"dalby"
"Renner Dental",-27.182006,151.2620588,"dalby"
"Golders Dalby",-27.1813964,151.2657939,"dalby"
"Dalby hardware and plumbing pty ltd",-27.177832,151.2670208,"dalby"
"Jess’s Barnyard",-27.1808151,151.2651034,"dalby"
"Dalby Health Foods",-27.182652,151.265206,"dalby"
"Hobby shack",-27.182387,151.264254,"dalby"
"Bacons Engraving & Phone Repairs",-27.1801961,151.2674905,"dalby"
"Camping World and Compleat Angler Dalby",-27.1785242,151.2664946,"dalby"
"Price Busters Variety",-27.1827472,151.264956,"dalby"
"Caltex Dalby",-27.1928015,151.2717951,"dalby"
"Stellarossa Dalby",-27.1824536,151.2654912,"dalby"
"Holistic Skin + Body",-27.1865189,151.265558,"dalby"
"Dalby Driving School**",-27.1944226,151.2659802,"dalby"
"Hay's Jewellers of Dalby",-27.1811829,151.2674378,"dalby"
"Hedge's Sports Store",-27.1806995,151.2668301,"dalby"
"Amcal + Dalby",-27.180614,151.2678433,"dalby"
"Price Busters Dalby",-27.1827711,151.2648259,"dalby"
