name,latitude,longitude,micrositeSlug
"Big4 Deniliquin Holiday Park",-35.513432,144.928907,"deniliquin"
"Cherrywood Emporium",-35.5286912,144.9635504,"deniliquin"
"Coach House Hotel Motel",-35.53389180000001,144.9667335,"deniliquin"
"Coles Deniliquin",-35.5362563,144.9499724,"deniliquin"
"Deniliquin Travel Centre",-35.5282098,144.9617059,"deniliquin"
"Deni Car Care (Pedders)",-35.5344366,144.9673901,"deniliquin"
"Deni Clothing Co",-35.5278385,144.9632056,"deniliquin"
"Deni Golf Resort",-35.5368362,144.9738866,"deniliquin"
"Deni Tyre Service",-35.53846250000001,144.9416355,"deniliquin"
"Deni Workwear & Uniforms",-35.5271268,144.9843575,"deniliquin"
"Deniliquin Aluminium Windows",-35.53010769999999,144.9469447,"deniliquin"
"Deniliquin Autoglass and Tint",-35.535751,144.9521982,"deniliquin"
"Deniliquin Automotive Electrical",-35.528566,144.962001,"deniliquin"
"Deniliquin Bowling Club",-35.537449,144.9657074,"deniliquin"
"Deniliquin Business Chamber",-35.5336246,144.9657009,"deniliquin"
"Deniliquin Dry Cleaners",-35.5288973,144.9643027,"deniliquin"
"Deniliquin Eyecare",-35.53247959999999,144.965873,"deniliquin"
"Deniliquin Golf Club",-35.5366322,144.9738026,"deniliquin"
"Deniliquin Info Tech Solutions",-35.5289845,144.96351,"deniliquin"
"Deniliquin Newsagency & Bookstore",-35.5298048,144.9643088,"deniliquin"
"Deniliquin Party Hire",-35.5284125,144.9584925,"deniliquin"
"Deniliquin Pioneer Tourist Park",-35.5098713,144.9707456,"deniliquin"
"Deniliquin Riverside Caravan Park",-35.5288374,144.9676714,"deniliquin"
"Deniliquin Showcase Jewellers",-35.5293369,144.9635782,"deniliquin"
"Deniliquin Veterinary Clinic",-35.5288268,144.9597854,"deniliquin"
"Deniliquin Visitors Information Centre",-35.5281628,144.9644102,"deniliquin"
"Edith Elsie",-35.5292241,144.9637416,"deniliquin"
"Eric Sim Infinity Pharmacy",-35.5284782,144.9640007,"deniliquin"
"Harvey Norman",-35.5306305,144.9570704,"deniliquin"
"Intersport Deniliquin",-35.528782,144.9622868,"deniliquin"
"Josh's Bakehouse",-35.5277584,144.9636829,"deniliquin"
"LuLu on Napier",-35.5281779,144.9630389,"deniliquin"
"McDonalds Deniliquin",-35.526373,144.963431,"deniliquin"
"Mokanger Butchery",-35.5297505,144.9641966,"deniliquin"
"My Shop",-35.528713,144.9634707,"deniliquin"
"Naponda Community Store & Hospital Auxiliary",-35.5308418,144.9641601,"deniliquin"
"North Junction Service Centre",-35.5227882,144.9807821,"deniliquin"
"Nourish Deniliquin",-35.5287342,144.9635532,"deniliquin"
"Ritchies Central Liquor",-35.5275359,144.964213,"deniliquin"
"Ritchies IGA",-35.5247583,144.9608764,"deniliquin"
"Smart Brain Health Centre",-35.5274602,144.961018,"deniliquin"
"The Crossing Café",-35.5281628,144.9644102,"deniliquin"
"The Depot Deniliquin",-35.5333873,144.9518484,"deniliquin"
"The Holistic Healing House",-35.5289872,144.9642069,"deniliquin"
"Total Bliss",-35.5283549,144.9618279,"deniliquin"
"WIRED Entertainment",-35.5269046,144.9624161,"deniliquin"
"Deniliquin RSL",-35.5357142,144.9672818,"deniliquin"
"Dahlsens Deniliquin MItre 10",-35.5310687,144.9564083,"deniliquin"
"Liquorland Deniliquin",-35.5311333,144.9559809,"deniliquin"
"Cruizin Diner/Cobb Highway Roadhouse",-35.534128,144.9515903,"deniliquin"
"Soul Pattinson Chemist Deniliquin",-35.5291055,144.9635713,"deniliquin"
"Betta Home & Living Superstore",-35.5278385,144.9632056,"deniliquin"
"Brick Kiln Cafe",-35.5238817,144.9789477,"deniliquin"
"Curly'z Cafe",-35.5286564,144.9636557,"deniliquin"
"Deniliquin Bakery",-35.5269842,144.9730368,"deniliquin"
"Evolve Fitness and Wellbeing",-35.5267121,144.9619355,"deniliquin"
"Intersport Bennetts",-35.5287952,144.9622807,"deniliquin"
"Kazmar Shoes",-35.5281779,144.9630389,"deniliquin"
"Leaves & Vines Nursery",-35.5311194,144.9643761,"deniliquin"
"N8 Health",-35.5288014,144.96425,"deniliquin"
"Premix King Deniliquin",-35.52767490000001,144.9622591,"deniliquin"
"Red Rose Diner",-35.5282399,144.9626033,"deniliquin"
"Small Trading Co",-35.5260963,144.9762261,"deniliquin"
"Coffee Oasis",-35.5291428,144.9637224,"deniliquin"
