name,latitude,longitude,micrositeSlug
"CREO Cafe",-32.249559,148.6100591,"dubbo"
"Harriet + Kay Luxury Gifts & Clothing",-32.2559568,148.6054373,"dubbo"
"Pasta Express 2820",-32.555275,148.9427044,"dubbo"
"The Little Big Dairy Co",-32.1721633,148.4452938,"dubbo"
"Flowers by Jennifer",-32.2514942,148.6020207,"dubbo"
"Cafe Delissio",-32.2565668,148.6192988,"dubbo"
"Kan Sushi n Poke Dubbo",-32.2508676,148.6016276,"dubbo"
"Monkey on the Wire",-32.5542489,148.9429977,"dubbo"
"Lavish Coffee & Cuisine",-32.2456884,148.6008859,"dubbo"
"PCCG Diamond Arts",-32.2443908,148.614418,"dubbo"
"The Mallee Hens Nest",-32.5459542,148.9423223,"dubbo"
"271",-32.2558203,148.6048696,"dubbo"
"alicemarydesigns",-32.5516487,148.9422032,"dubbo"
"Assurance Training & Sales",-32.2445782,148.6020643,"dubbo"
"Athletes Foot",-32.2484758,148.6014178,"dubbo"
"Ballimore Transfer Station",-32.2267206,148.835344,"dubbo"
"Battery World Dubbo",-32.2453866,148.5895936,"dubbo"
"Ben Furney Flour Mills",-32.2442161,148.6039856,"dubbo"
"Ben's Tyres",-32.5452352,148.9444988,"dubbo"
"Blowes Clothing",-32.2631358,148.6022194,"dubbo"
"Blue Illusion",-32.2478548,148.6009378,"dubbo"
"Bridge Motel",-32.5446502,148.9418533,"dubbo"
"Butchers on Macquarie",-32.2455804,148.6007822,"dubbo"
"Castlereagh Hotel",-32.2454607,148.6037866,"dubbo"
"CBM Computers",-32.2454287,148.6049142,"dubbo"
"Central Butchery",-32.5500082,148.9407585,"dubbo"
"Colour Copy Shop",-32.2521071,148.6007703,"dubbo"
"CSC Dubbo",-32.2471232,148.6017717,"dubbo"
"Cusacks Butchery",-32.5482267,148.9415487,"dubbo"
"Daily Scoop at Majo's",-32.2464058,148.6012169,"dubbo"
"Darkeye Photography",-32.245667,148.605314,"dubbo"
"Darrell Wheeler Cycles",-32.2446603,148.602603,"dubbo"
"Delroy Terry White Chemmart",-32.2539477,148.577872,"dubbo"
"DMC Meat & Seafood",-32.2455929,148.6308388,"dubbo"
"Down the Lane",-32.2518743,148.6001786,"dubbo"
"Dowtos Family Meats",-32.5515893,148.9414077,"dubbo"
"Dubbo Escape Room",-32.245397,148.6012787,"dubbo"
"Dubbo French Hot Bread Café",-32.2455804,148.6007822,"dubbo"
"Dubbo Mowers & Chainsaws",-32.2432578,148.615865,"dubbo"
"Dubbo Regional Council (Reception)",-32.2471199,148.6056365,"dubbo"
