name,latitude,longitude,micrositeSlug
"7 Day Spares & Accessories",-31.9540627,141.4650703,far-west
"ACJK Broken Hill",-31.9551846,141.4674782,far-west
"Addie Meryls Cafe",-31.9598347,141.4638041,far-west
"Adkin's Hardware",-31.9548431,141.4664889,far-west
"Albert Hotel",-29.73765329999999,141.8832294,far-west
"Alma Public School",-31.9822763,141.4624847,far-west
"Amcal (formerly Priceline Pharmacy)",-31.963106,141.4492271,far-west
"Aura Clinic and Spa",-31.9564794,141.4687786,far-west
"Australia Post",-31.9581067,141.4654289,far-west
"Australia Post Broken Hill North (emails managed by Australia Post)",-31.9410401,141.4700068,far-west
"Australia Post Broken Hill South",-31.97933279999999,141.461398,far-west
"Barrier Social Democratic Club",-31.9595362,141.4628245,far-west
"Barrier Stationers",-31.9582878,141.4663456,far-west
"Barrier Timber Supplies",-31.9724858,141.4423069,far-west
"Bells Milk Bar",-31.9792326,141.4614328,far-west
"Ben’s Fish Shop",-31.97899,141.4617741,far-west
"Bizup",-31.963106,141.4492271,far-west
"Black Lion Inn",-31.9597203,141.4614178,far-west
"Blue Frog Optics",-31.9573978,141.4678081,far-west
"Bridgestone Broken Hill",-31.9607365,141.4477349,far-west
"Broken Hill Chiropractic Clinic",-31.9590139,141.4651465,far-west
"Broken Hill Foodland",-31.956118,141.46587,far-west
"Broken Hill Gourmet Meat",-31.9568653,141.4682252,far-west
"Broken Hill Hobbies & Electronics",-31.960179,141.46324,far-west
"Broken Hill Regional Aquatic Centre",-31.9377092,141.469087,far-west
"Broken Hill Sturt Club",-31.9572233,141.4656025,far-west
"Broken Hill Tourist Lodge",-31.96083329999999,141.4608333,far-west
"Broken Hill Tourist Park",-31.9616874,141.4357774,far-west
"Broken Hill Toyota & Mazda",-31.9559187,141.4645688,far-west
"Broken Hill YMCA",-31.9574843,141.4685724,far-west
"BWS (Westside Plaza)",-31.963106,141.4492271,far-west
"BWS Broken Hill (Drive)",-31.9537424,141.464721,far-west
"C.P. Peoples Chemist",-31.9582012,141.4660814,far-west
"Camilles Hair and Beauty",-31.9572514,141.4682766,far-west
"Central Darling Shire Council",-31.5589892,143.378448,far-west
"Charlottes at the Grand",-31.95842,141.4659418,far-west
"Chik Bliss",-31.9576293,141.46587,far-west
"Coombe's Transport",-32.3924111,142.4180033,far-west
"Darling River Supermarket",-32.394259,142.4174863,far-west
"Discount Tyres & 4WD Supacentre",-31.9628167,141.4507502,far-west
"Eclectic",-31.9576455,141.4671832,far-west
"Ela-Mar Broken Hill",-31.9531768,141.425066,far-west
"Eyerys I Care",-31.963106,141.4492271,far-west
"Family Hotel",-29.4304556,142.0109136,far-west
"Far West Auto",-31.9606,141.4636799,far-west
"Globe Mitre 10",-31.9611476,141.4488836,far-west
"Gloria Jeans Broken Hill",-31.9601985,141.4607102,far-west
"Golf Broken Hill Inc.",-31.9124274,141.4780511,far-west
"Good Price Pharmacy Warehouse",-31.9654313,141.4567659,far-west
"Hair & Flo",-31.9567721,141.4672811,far-west
"Harvey Norman Broken Hill",-31.9652028,141.4534742,far-west
"Helloworld Travel",-31.9568858,141.4672222,far-west
"Hockos Bike Shop",-31.9569875,141.468472,far-west
"Hungry Jacks",-31.9573559,141.4664072,far-west
"Ibis Styles Broken Hill",-31.9604656,141.4609665,far-west
"IGA Fresh Broken Hill",-31.9384971,141.4740776,far-west
"IGA Wilcannia",-31.5582872,143.3780186,far-west
"Impact Gym",-31.9559725,141.4674704,far-west
"J&K Store",-31.9464143,141.4585456,far-west
"Kings Aquariums and Gift Shop",-31.973897,141.4391819,far-west
"Kolinac's Paint Store",-31.9601053,141.463338,far-west
"Lavender Linen",-31.9594998,141.4373156,far-west
"Leading Edge Electronics",-31.9564759,141.4657981,far-west
"Lindsay's Aluminium & Glass",-31.9646027,141.4534907,far-west
"Lindsay's Auto & Essentials",-31.9646027,141.4534907,far-west
"Macs Oven Foods",-31.9569446,141.4685435,far-west
"McCarthur's",-31.95877519999999,141.4655443,far-west
"Menindee Auto Repairs",-32.3910336,142.4204009,far-west
"Menindee Post Office",-32.3938287,142.4171763,far-west
"Menindee Rural Transaction Centre",-32.3949099,142.4167039,far-west
"Metro Hilside",-31.9500285,141.4754422,far-west
"Metro Petroleum II",-31.96785,141.4452154,far-west
"Mianis Deli & Reddys Pizza",-31.940715,141.469938,far-west
"MJG Engineering Pty Ltd",-31.9619721,141.4602201,far-west
"Netting Chemist",-31.9411749,141.4698824,far-west
"Newsextra Broken Hill Village",-31.9517534,141.4452797,far-west
"North Broken Hill Football Club",-31.9487248,141.4745701,far-west
"NVU Hair & Beauty",-31.9494957,141.4610042,far-west
"Old McLeod's Bakery",-31.9472785,141.4661812,far-west
"Old Wharf Cafe Pooncarie",-33.3862173,142.5694049,far-west
"OPSM Broken Hill",-31.9592034,141.4645503,far-west
"Outback Whips & Leather",-31.9572391,141.4665993,far-west
"Packsaddle Roadhouse",-30.6101889,141.9678693,far-west
"Pepe's Milk Bar",-31.9797095,141.4611313,far-west
"Pets Tucker",-31.9651486,141.4430761,far-west
"Picton Plants",-31.9594998,141.4373156,far-west
"Picton Pure Water",-31.9594741,141.437355,far-west
"Pinned Up Hairdressing",-31.967155,141.4454581,far-west
"Pooncarie Hotel",-33.3878138,142.571374,far-west
"Port Pitstop",-33.3865799,142.5708646,far-west
"Pots n Plants",-31.9365343,141.4783665,far-west
"Premier Tyres",-31.9497051,141.4620949,far-west
"Price Attack Broken Hill",-31.9583174,141.4665266,far-west
"Raven Treasure",-31.9575464,141.4675648,far-west
"RDA Far West NSW",-31.9562931,141.4666515,far-west
"Red Earth Opal",-30.83737459999999,143.0982595,far-west
"Red Lush Wine Bar & Cocktail Lounge (inside Astra)",-31.9572123,141.4676701,far-west
"Redsands Takeaway",-32.3920116,142.4172657,far-west
"RFDS - Tourist Centre",-31.9595859,141.4608138,far-west
"Riverside Traders",-31.9595859,141.4608138,far-west
"Royal Exchange Hotel",-31.9577972,141.4657059,far-west
"S-Que",-31.9604656,141.4609665,far-west
"Sampsons Shoes",-31.9570363,141.466933,far-west
"Shannon Electrics",-31.9614119,141.449622,far-west
"Shutterbug",-31.9573015,141.4664985,far-west
"Silhouette Beauty Salon",-31.9576118,141.4675115,far-west
"Silver City Cinema",-31.9565978,141.466897,far-west
"Silverlea Air Cooler Pads",-31.9594741,141.437355,far-west
"Silverlea Services",-31.9594998,141.4373156,far-west
"Silverton Hotel",-31.8852222,141.2221163,far-west
"Sitting Bull",-31.95762969999999,141.4674233,far-west
"Soull Cafe & Espresso Bar (inside Astra)",-31.9572123,141.4676701,far-west
"South Broken Hill Football Club",-31.9827729,141.4601253,far-west
"Southern Cross Opal",-30.8635486,143.0917215,far-west
"Spargo’s Kitchen (inside Astra)",-31.9572563,141.4675907,far-west
"Spicer’s Office Choice",-31.96007699999999,141.4619923,far-west
"St Abraam Menindee Pharmacy",-32.3935925,142.4156998,far-west
"St Abraam Wilcannia Pharmacy",-31.9595859,141.4608138,far-west
"Still Memories Custom Frame & Laser",-31.94924649999999,141.4638504,far-west
"Stone's on Argent (see A Stone's Throw Catering)",-31.96113519999999,141.4605151,far-west
"Stubbie House (see Southern Cross Opal)",-30.8635486,143.0917215,far-west
"Sturt Motel Broken Hill",-31.962279,141.4384846,far-west
"Sufi Bakery",-31.9601844,141.4617442,far-west
"Sufi Books of Broken Hill",-31.9601844,141.4617442,far-west
"Sussan",-31.9573782,141.466383,far-west
"Temptations Café & Dessert Bar (inside Astra)",-31.957398,141.4678083,far-west
"The Argent Motel",-31.9608936,141.4616491,far-west
"The Astra",-31.9572123,141.4676701,far-west
"The Broken Hill Musicians Club",-31.9594775,141.4655215,far-west
"The Broken Hill Pub",-31.9566762,141.4678427,far-west
"The Hair Strand",-31.9791565,141.4616442,far-west
"The Lollipop Tree",-31.9571334,141.4667727,far-west
"Thom, Dick & Harry's",-31.9572391,141.4665993,far-west
"Tibooburra Food & Fuel",-29.4299175,142.0115102,far-west
"Tibooburra Hotel",-29.430633,142.0116532,far-west
"TJ's Roadhouse",-29.4356712,142.0100811,far-west
"Tonic Hair Spa",-31.9595859,141.4608138,far-west
"Top End Meat",-31.9612945,141.4611716,far-west
"Torpys",-31.9575945,141.4674859,far-west
"Turley's Removals & Storage",-31.9628167,141.4507502,far-west
"Tydvil Hotel & Bistro",-31.9457314,141.4589867,far-west
"Vine's Furniture One",-31.9554585,141.4669891,far-west
"Warrawong on the Darling",-31.5589892,143.378448,far-west
"Westside Auto Maintenance",-31.9672003,141.4461731,far-west
"White Cliffs Hotel",-30.8523679,143.0890939,far-west
"White Cliffs Outback Store",-30.8523679,143.0890939,far-west
"White Cliffs Underground Motel",-30.8649062,143.0911816,far-west
"Wilcannia Motel",-31.7093962,143.6112164,far-west
"Wilcannia Post Office (see Central Darling Shire Council)",-31.5592748,143.3784403,far-west
"Wild Bunch Florist",-31.9573559,141.4664072,far-west
"Willyama High School Canteen",-31.9404564,141.4734492,far-west
"Woolworths Broken Hill",-31.9595859,141.4608138,far-west
"Lawrence Industrial",-31.960057,141.4620949,far-west
"Sunbeam Deli",-31.9571474,141.4402383,far-west
"The Broken Hill Bookshop",-31.9577254,141.4672704,far-west
"Kmart Broken Hill",-31.9654,141.45574,far-west
"McDonalds Broken Hill",-31.9624821,141.4498682,far-west
"Natural Revolution Group - N.R.G",-31.9557117,141.4662892,far-west
"Tembys Day & Night Pharmacy",-31.9485806,141.4557767,far-west
"Fast Print Studio",-31.9669368,141.445376,far-west
"Mulga Hill Tavern",-31.94798519999999,141.4609498,far-west
"RetraVision Broken Hill",-31.9573666,141.4685067,far-west
"Far West Rural Supplies",-31.9643096,141.4344921,far-west
"Inspired Home Living",-31.9572697,141.4691758,far-west
"Doyle Kingston and Swift Solicitors",-31.959449,141.4643462,far-west
"Westside Camping and Outdoors",-31.9626107,141.4523913,far-west
"Lifeline Retail",-31.9613376,141.461028,far-west
"Lifeline Tip Shop",-31.9766932,141.4210541,far-west
"Southstate Industrial Supplies",-31.9567832,141.4660163,far-west
"Silvery City Butchery",-31.9631675,141.4492778,far-west
"Totally Workwear",-31.9629075,141.4364952,far-west
"Jagged Edge",-31.957657,141.467381,far-west
"Palace Hotel Broken Hill",-31.9469081,141.4843767,far-west
"Schinella's Friendly Grocer",-31.961267,141.46143,far-west
