name,latitude,longitude,micrositeSlug
"Hozpots Garden Centre",-33.3688467,148.0203374,forbes
"Undercover Sleepwear and Lingerie",-33.3858375,148.0051266,forbes
"Turners Furniture One",-33.3838586,148.0067924,forbes
"The Book Dispensary",-33.3841448,148.0071127,forbes
"Terry Bros Carpet Court",-33.3830722,148.0100796,forbes
"Steele Technology",-33.3857408,148.0073921,forbes
"Shell Service Station",-33.3867438,148.0097909,forbes
"Robbs Jewellers",-33.383788,148.0079918,forbes
"Painted Daisies Gift Shoppe**",-33.3833321,148.0077413,forbes
"News on Rankin",-33.3838772,148.0077475,forbes
"Midpro Engineering",-33.3690109,148.02182,forbes
"Mid West Pest Management",-33.3757114,148.0029945,forbes
"MD Steel Fabrication",-33.3667847,148.0207289,forbes
"Little Extras Lifestyle",-33.3841178,148.0071478,forbes
"Jessica's Essential Beauty",-33.3839128,148.0065703,forbes
"Helloworld**",-33.3841376,148.007811,forbes
"Hazel and Field Accountants",-33.3830336,148.0090688,forbes
"Graces Hair Design on Templar",-33.3844945,148.0075698,forbes
"Forbes Shire Council",-33.3855528,148.0079696,forbes
"Forbes Central Butchery",-33.3838167,148.0079229,forbes
"Forbes Business Chamber Inc.",-33.3838167,148.0079229,forbes
"Findex Pty Ltd (formally Crowe Howarth)",-33.3856691,148.0065259,forbes
"Chapter Two Boutique",-33.3835087,148.0071145,forbes
"BWR Accountants & Advisers",-33.3847219,148.0087983,forbes
"Blush Organic Beauty",-33.3841178,148.0071478,forbes
"Bernardi’s - Lachlan Street",-33.3858173,148.006015,forbes
"AgriWest Forbes",-33.3869725,148.0100212,forbes
"Acheson's Home Timber & Hardware",-33.393679,148.0044381,forbes
"Phillip Wells Optometrist",-33.3833119,148.0079696,forbes
"Gunn's Menswear & Embroidery",-33.3835388,148.0074217,forbes
"Flannery's Pharmacy",-33.3836579,148.0069546,forbes
"Life Pharmacy",-33.386532,148.0055182,forbes
"Rise Physiotherapy Group (online only)",-33.3837605,148.0068031,forbes
"Farmhouse Florae",-33.3841986,148.0080124,forbes
"Forbes Small Engines",-33.3768384,148.0093402,forbes
"Power Tools Plus",-33.3706073,148.0214523,forbes
"The Bakehouse",-33.3842862,148.0073921,forbes
"Allure on Main",-33.3832425,148.0076253,forbes
"Woolerina",-33.3844596,148.0080975,forbes
"Rick's Timber Works and Custom Cubbies",-33.3673161,148.0191683,forbes
"Black Ridge Restaurant Bar & Grill",-33.3710807,148.0179387,forbes
"Isabel's Place",-33.3843484,148.006602,forbes
"Walker's AGnVET Services",-33.3971888,147.9910276,forbes
"Club Forbes",-33.3857253,148.009294,forbes
"Euphoria Road (formally Gottaluvit)",-33.3838633,148.0078363,forbes
"Forbes Automotive Services",-33.3852201,148.0062722,forbes
"Loomzy's Fish n Fix",-33.3756025,148.0035053,forbes
"Cahills Footwear Pty Ltd",-33.3832537,148.0077987,forbes
"Blue Sky Outdoor Experts",-33.3757027,148.015385,forbes
