name,latitude,longitude,micrositeSlug
"Beyoung Massage",-41.1075824,146.8217668,george-town
"Cafe 1069",-41.1077144,146.8217748,george-town
"Delemere Vineyards",-41.0709823,147.1624749,george-town
"Dino's Takeaway & Milkbar",-41.1061686,146.8256387,george-town
"Don Marios Ristorante",-41.1077959,146.8213355,george-town
"George Town Art and Artisans",-41.105994,146.825367,george-town
"George Town Betta Home Living",-41.1072265,146.823071,george-town
"George Town Council",-41.1053134,146.823265,george-town
"George Town Football Club",-41.1241683,146.8290725,george-town
"George Town Motor Inn",-41.1073491,146.8354244,george-town
"George Town Post Office",-41.1066763,146.8243498,george-town
"George Town School Shop",-41.1002774,146.8305221,george-town
"George Town Seafoods",-41.1126179,146.8354459,george-town
"George Town Takeaway",-41.1058848,146.8254754,george-town
"Grays Hotel",-41.105975,146.8240491,george-town
"Hickey's Hardware (formerly ITS Timber & Hardware)",-41.1108904,146.8378586,george-town
"Hillwood Farmgate",-41.2449593,147.0057031,george-town
"IGA George Town",-41.0980727,146.823261,george-town
"Kaizen Hair",-41.1074793,146.8220591,george-town
"Kel's Cafe",-41.1286335,146.8681088,george-town
"Low Head Pilot Station Seafood Shack",-41.0645402,146.7954336,george-town
"Low Head Tourist Park",-41.0835712,146.8118133,george-town
"Main St Meats & Deli",-41.1063637,146.8240376,george-town
"N&T WHARF CAFE",-41.130242,146.8652517,george-town
"Neighbourhood House",-41.0982646,146.8285381,george-town
"NewsXpress George Town",-41.1059778,146.8251518,george-town
"Patchwork Plus",-41.106064,146.8235491,george-town
"Reel Game Boats and Trailers Pty Ltd",-41.1105787,146.8388479,george-town
"Sinapius Wine Company Pty Ltd",-41.0673318,147.1617928,george-town
"Tamar Cakes Bakery",-41.1072826,146.8229149,george-town
"Tasmanian Electrical Services",-41.1091262,146.8414369,george-town
"The Hair Parlor",-41.1077456,146.8216594,george-town
"The Hair Studio",-41.1062722,146.8258826,george-town
"The Oven Bakery",-41.1056876,146.8258571,george-town
"The Pier Hotel",-41.1088604,146.8214516,george-town
"The Signature Cafe",-41.10733159999999,146.822786,george-town
"The Wharf Cafe",-41.1308514,146.8669178,george-town
"TNT Fresh It Up",-41.10570269999999,146.8260596,george-town
"York Cove Hotel",-41.112005,146.823393,george-town
"Your Pharmacy",-41.10678009999999,146.8242128,george-town
