name,latitude,longitude,micrositeSlug
"Ag N Vet Services",-31.7109093,148.6602672,gilgandra
"Alfa Motel",-31.71776479999999,148.6577652,gilgandra
"Australia Post Gilgandra",-31.7119528,148.663216,gilgandra
"Bendigo Bank",-31.7106394,148.6692972,gilgandra
"BiRite & Furniture House Gilgandra",-31.7105173,148.6693642,gilgandra
"Bungalow Motel",-31.7157872,148.6592619,gilgandra
"Café 41",-31.7110866,148.6687216,gilgandra
"Carlo's Supa IGA Gilgandra",-31.7104964,148.6684494,gilgandra
"Central Stores",-31.71223639999999,148.668385,gilgandra
"Central West Machining & Engineering",-31.7101909,148.6461496,gilgandra
"Coo-ee Heritage & Visitor Information Centre",-31.6863508,148.7033809,gilgandra
"CRT",-31.7109549,148.6576911,gilgandra
"Diggs Butchery",-31.7115644,148.6683158,gilgandra
"Easman's Service Station",-31.7102482,148.6543131,gilgandra
"Gilgandra Ag & Auto",-31.711753,148.668495,gilgandra
"Gilgandra Mitre 10",-31.7108889,148.6700179,gilgandra
"Gilgandra Motors Sales and Service",-31.7183472,148.6574748,gilgandra
"Gilgandra Newsagency",-31.7119827,148.6687543,gilgandra
"Gilgandra Newspapers Pty Ltd",-31.71035239999999,148.6705812,gilgandra
"Gilgandra Pharmacy",-31.7108031,148.6691079,gilgandra
"Gilgandra Services Club",-31.7085589,148.6691586,gilgandra
"Gilgandra Toyota",-31.7116933,148.6664601,gilgandra
"Gilgandra Veterinary Clinic",-31.7202746,148.6536231,gilgandra
"Hair & Beauty for You",-31.7117451,148.6663921,gilgandra
"Inland Petroleum",-31.7089192,148.6716608,gilgandra
"Johnson's Family Store",-31.7113023,148.6635511,gilgandra
"Johnson’s Gourmet Butchery",-31.7114505,148.6635065,gilgandra
"Kingsway Chinese Restaurant",-31.7115303,148.6640203,gilgandra
"Let's Communicate - Speech Pathology Services",-31.71223639999999,148.668385,gilgandra
"Lummo's Auto Repairs",-31.7099505,148.6686001,gilgandra
"Mountain View Hotel/Motel",-31.44027269999999,148.9086381,gilgandra
"NRMA Gilgandra Insurance Services",-31.7110556,148.6696557,gilgandra
"Nutrien Ag Supplies Gilgandra",-31.7102568,148.6466857,gilgandra
"Orana Windmill Motel",-31.7114835,148.6657628,gilgandra
"Rohr's Home & Timber Hardware Pty Ltd",-31.7119452,148.667265,gilgandra
"Royal Hotel",-31.7102272,148.6697875,gilgandra
"Ryan & Rankmore",-31.71121,148.6686956,gilgandra
"Semmlers Sand & Gravel",-31.7117659,148.6472217,gilgandra
"Shelley Mae Antiques",-31.7117764,148.6681134,gilgandra
"Silver Oaks Motel",-31.7195276,148.6568047,gilgandra
"The Rustic Burrow Trading Co",-31.7111837,148.6697103,gilgandra
"This 'n' That",-31.7116241,148.6684884,gilgandra
"Tingles Massage & Beauty",-31.7109549,148.6576911,gilgandra
"Tooraweenah Motors & General Store",-31.4393417,148.9107454,gilgandra
"Tooraweenah Trading & Post Office",-31.439202,148.9096516,gilgandra
"Travelling Hair by Shalyn",-31.7092244,148.6663955,gilgandra
"Tyreright",-31.7098651,148.6710491,gilgandra
"Victory Lap Sports",-31.7109549,148.6576911,gilgandra
"Western Farm Machinery",-31.7100435,148.6521979,gilgandra
"I Luv Hair",-31.7113165,148.669483,gilgandra
"Railway Hotel",-31.7133193,148.655029,gilgandra
"Gilgandra Sporting Club",-31.7195276,148.6568047,gilgandra
"BP Gilgandra",-31.7109549,148.6576911,gilgandra
