name,latitude,longitude,micrositeSlug
"A Stroke Ahead Swimming",-34.7277106,149.7460679,goulburn
"Amy’s Flower Shop",-34.7528548,149.71724,goulburn
"Auto One Goulburn",-34.7518249,149.7225647,goulburn
"Baxter Boots & Shoes",-34.7535338,149.7188469,goulburn
"Blooms The Chemist Goulburn Marketplace",-34.757579,149.718132,goulburn
"Blooms The Chemist Goulburn Parkside",-34.7536418,149.7186774,goulburn
"Charnock Motors Goulburn",-34.7517743,149.7248179,goulburn
"Days Industrial",-34.73861110000001,149.7371438,goulburn
"Douglass Blinds & Security Screens",-34.7639114,149.6965876,goulburn
"First Inland City Newsagency",-34.7555622,149.7172658,goulburn
"Goulburn Organics",-34.7686077,149.6954838,goulburn
"Goulburn Sand & Soil",-34.7652389,149.7167856,goulburn
"Goulburn Soldiers Club",-34.7544479,149.7206726,goulburn
"Goulburn Visitor Information Centre",-34.755974,149.720672,goulburn
"Helloworld Travel Goulburn",-34.7526805,149.7198497,goulburn
"House of Smoke and Fire",-34.7564466,149.7118623,goulburn
"Hume Conservatorium",-34.7548021,149.7148814,goulburn
"Laterals Chartered Accountants",-34.7533209,149.7167064,goulburn
"Mechanika Motors",-34.7609805,149.7039994,goulburn
"Mum & Dad's Laundry & Car Spa",-34.7537299,149.7206672,goulburn
"Quantum Now",-34.7573106,149.7165262,goulburn
"Something Special",-34.7536122,149.7188469,goulburn
"Sportspower",-34.7534262,149.7198158,goulburn
"Studio 4 - Signs & Design",-34.7476187,149.746496,goulburn
"That Streetwear Shop",-34.7533342,149.7200116,goulburn
"The Ultimate Horse Shop",-34.7567489,149.713629,goulburn
"Trappers Bakery",-34.7734658,149.6908206,goulburn
"TTH Industries",-34.7314753,149.7446255,goulburn
"Wakefield Park Raceway Cafe",-34.778737,149.7085001,goulburn
"White's Tractors",-34.7636995,149.6999668,goulburn
"Worklocker",-34.7514932,149.7201776,goulburn
"Your Home Matters",-34.752485,149.7198158,goulburn
"Goulburn Western Wear",-34.7502036,149.7217986,goulburn
"Stay Sharp Barber Shop",-34.7524122,149.7198721,goulburn
"Goulburn Drive-In Dry Cleaners",-34.7499351,149.7238445,goulburn
"Goulburn Golf Club",-34.7572704,149.7224588,goulburn
"Blooms The Chemist Goulburn Northside",-34.7517567,149.7203791,goulburn
"Best Buys of Goulburn",-34.7546617,149.7178535,goulburn
"Goulburn Country Outfitters",-34.7516137,149.7212146,goulburn
"FISH N SHOOTS TACKLEWORLD GOULBURN",-34.7564466,149.7118623,goulburn
"The Masala Mill",-34.7515169,149.7208204,goulburn
"Goulburn Workers Club",-34.7532449,149.7193599,goulburn
"Beachless Beauty",-34.7567489,149.713629,goulburn
"Bi-Rite Electrical Goulburn",-34.7537701,149.7187304,goulburn
