name,latitude,longitude,micrositeSlug
"Australia's Oyster Coast",-35.7162174,150.1794566,gourmet-coast
"Arlo Restaurant",-35.821839,150.1693136,gourmet-coast
"Batemans Bay Nut Roasting Company",-35.7069064,150.177469,gourmet-coast
"Bermagui Beach Hotel",-36.4261271,150.0789376,gourmet-coast
"Bodalla Bakery",-36.0876128,150.0505422,gourmet-coast
"Bodalla Dairy",-36.0867598,150.0495483,gourmet-coast
"Beach Cabins Merimbula",-36.8858916,149.9302997,gourmet-coast
"Oaks Ranch",-35.821839,150.1693136,gourmet-coast
"Broadwater Oysters",-36.9292419,149.8748481,gourmet-coast
"Camel Rock Brewery",-36.3759054,150.0720586,gourmet-coast
"Cranky Café",-36.895841,149.9148899,gourmet-coast
"Crumb Café",-35.732596,150.2018795,gourmet-coast
"Deli on Perry",-35.7064142,150.1772504,gourmet-coast
"Eurolicious",-36.4269769,150.0773134,gourmet-coast
"Gelati Clinic",-36.4266414,150.0714385,gourmet-coast
"Grand Matriarch Distillery",-36.8815529,149.8903481,gourmet-coast
"Gundary Bakers",-35.9107506,150.0691781,gourmet-coast
"Hold Fast Distillery",-35.4407092,149.7999179,gourmet-coast
"Horseshoe Café",-36.4268583,150.0776725,gourmet-coast
"Il Passagio Milk Bar",-36.4268583,150.0776725,gourmet-coast
"Il Passaggio Restaurant",-36.4266414,150.0714385,gourmet-coast
"Octopii",-36.4217374,150.0647792,gourmet-coast
"Oyster Famers daughter",-36.2062733,150.0979289,gourmet-coast
"Pickled Octopus",-36.063679,150.1240633,gourmet-coast
"Salt of the Coast Café",-36.2219155,150.1244268,gourmet-coast
"Tathra Oysters",-36.7356457,149.9734679,gourmet-coast
"The Wharf Local",-36.7268538,149.9879098,gourmet-coast
"Three66 Espresso Bar",-35.78123040000001,150.2321642,gourmet-coast
"Tilba Dairy (Cecilia)",-36.3110436,150.0751736,gourmet-coast
"Waratah Chocolates",-36.9330851,149.8691879,gourmet-coast
"Harbourview House",-36.4274132,150.0732445,gourmet-coast
"Post and Telegraph B&B",-35.9116308,150.0782825,gourmet-coast
"Tanja Lagoon Camp",-36.6374986,150.0035123,gourmet-coast
"Top of the Lake Holiday Units",-37.8121776,144.8659799,gourmet-coast
"Mimosa Wines",-36.5461991,150.0300736,gourmet-coast
"Mr Bold Catering Co.",-36.2309097,150.12793,gourmet-coast
"The Bower at Broulee",-35.8424963,150.1635448,gourmet-coast
"Boneless",-36.426321,150.0665012,gourmet-coast
"Amaroon Oceanside Apartments & Motel",-36.2193833,150.1352853,gourmet-coast
"Mossy Café",-35.8370187,150.1794533,gourmet-coast
"Long Stocking Brewery",-36.9329288,149.8689662,gourmet-coast
"Innes Boat Shed",-35.7056498,150.1775066,gourmet-coast
"Four Winds",-36.5017305,150.0443395,gourmet-coast
"Bega Heritage Centre",-36.6695331,149.8381448,gourmet-coast
"Blue Wren Events and weddings",-36.3988775,149.9679685,gourmet-coast
