name,latitude,longitude,micrositeSlug
"Wonthella Supa IGA",-28.7652656,114.63051,greater-geraldton
"SportFirst Geraldton",-28.7738995,114.608828,greater-geraldton
"Rigters Supa IGA",-28.78141969999999,114.6177185,greater-geraldton
"Queens Supa IGA",-28.7737418,114.6139847,greater-geraldton
"Mitchell and Brown Retravision",-28.7604247,114.6158852,greater-geraldton
"Ivy Vibe",-28.7725327,114.610055,greater-geraldton
"Cellarbrations Wonthella",-28.7651887,114.630545,greater-geraldton
"Cellarbrations Central",-28.7718121,114.612122,greater-geraldton
"Cellarbrations at the Queens",-28.7744234,114.6139546,greater-geraldton
"Yamaji Art",-28.775123,114.6075753,greater-geraldton
"Willocks Surf",-28.7738523,114.609615,greater-geraldton
"Wicked Prints",-28.7723759,114.6136027,greater-geraldton
"Western Outdoor World",-28.7619198,114.6244541,greater-geraldton
"Western Independent Foods",-28.7483251,114.6314216,greater-geraldton
"Tint-a-Car Geraldton",-28.7727316,114.6144444,greater-geraldton
"The Snazzy Cafe and Kebabs",-28.7739614,114.611573,greater-geraldton
"Tarts & Co",-28.7750152,114.6070379,greater-geraldton
"Sun City Solar",-28.7492244,114.6274319,greater-geraldton
"Splash Batavia Coast Pools and Spa",-28.7588527,114.6290556,greater-geraldton
"Specsavers Geraldton",-28.7751038,114.6121177,greater-geraldton
"Spalding Park Golf Club",-28.7336714,114.6356163,greater-geraldton
"Soul Food Cafe & Teahouse",-28.7699673,114.6131719,greater-geraldton
"Smokin Grill and Burgery",-28.773689,114.6119302,greater-geraldton
"Skeetas Restaurant and Cafe",-28.7710273,114.6104207,greater-geraldton
"Shine Aviation Services",-28.790574,114.6983317,greater-geraldton
"Shampers at Three",-28.7789212,114.6166223,greater-geraldton
"Roma Gifts",-28.7744416,114.6081171,greater-geraldton
"Rogue Pony",-28.773324,114.6259234,greater-geraldton
"Rip Curl Geraldton",-28.7738523,114.609615,greater-geraldton
"Read A Lot Books",-28.7726422,114.6133382,greater-geraldton
"Pollinators - CityHive",-28.7747232,114.6074362,greater-geraldton
"Outback feral control - pet meat supplies",-28.7703512,114.6264367,greater-geraldton
"O'Brien 4WD Centre",-28.7477138,114.6338108,greater-geraldton
"Novus Autoglass",-28.7727316,114.6144444,greater-geraldton
"Nature's Choice Health Products",-28.7718572,114.6109061,greater-geraldton
"Midwest Mowers & Can-Am",-28.7696509,114.6241844,greater-geraldton
"Midwest Massage",-28.7760931,114.6106142,greater-geraldton
"Localworks",-28.7700454,114.6139778,greater-geraldton
"Kidz Korner Home Learning Resources",-28.7588459,114.6288701,greater-geraldton
"KICK solutions",-28.7728632,114.6246357,greater-geraldton
"Karl Monaghan Photography",-28.7697614,114.614233,greater-geraldton
"Janeen Horne Artist",-28.72208639999999,114.6205657,greater-geraldton
"Jaffle Shack Geraldton",-28.7747325,114.6075142,greater-geraldton
"Intersport Geraldton",-28.7750887,114.6098545,greater-geraldton
"Inner Temple Co",-28.77446,114.60962,greater-geraldton
"HOT Cleaning Services",-28.7474697,114.6326565,greater-geraldton
"Hippy Haven (formally 2Haven Clothing and Gifts)",-28.7748483,114.6086656,greater-geraldton
"Hazard Clothing and Shoes",-28.77416119999999,114.6091296,greater-geraldton
"Getaway Outdoors Geraldton",-28.7576891,114.6269619,greater-geraldton
"Geraldton ProShop",-28.7723097,114.6362464,greater-geraldton
"Geraldton Floral Studio",-28.7737811,114.6097995,greater-geraldton
"Geraldton Ceramics",-28.7641638,114.6251504,greater-geraldton
"Geraldton Bikes",-28.7616783,114.6162047,greater-geraldton
"Gearing Butchers",-28.7975253,114.6206169,greater-geraldton
"Fiori Fashions",-28.7717896,114.6109642,greater-geraldton
"Finity Concept",-28.7746545,114.6083989,greater-geraldton
"Fifth Street Furniture",-28.76426279999999,114.6254602,greater-geraldton
"Corner Surf Shop",-28.7730795,114.61002,greater-geraldton
"Chimere Pearls",-28.7682102,114.6130963,greater-geraldton
"Central  Shoe Store",-28.772677,114.6099509,greater-geraldton
"Cafe Fleur",-28.7747325,114.6075142,greater-geraldton
"Blooms the Chemist Geraldton Fountains",-28.7732293,114.6094755,greater-geraldton
"Bell Hearing",-28.78490799999999,114.6169934,greater-geraldton
"Batavia Furniture and Bedding",-28.7619198,114.6244541,greater-geraldton
"Batavia Coast Dive",-28.76896,114.62521,greater-geraldton
"Batavia Coast Butchery",-28.7839442,114.6305824,greater-geraldton
"Ascential Float",-28.7623374,114.6159959,greater-geraldton
"All Decor",-28.77329,114.62479,greater-geraldton
"Geraldton Fruit and Vegetable Supply",-28.7784269,114.6056035,greater-geraldton
"The Plant Life WA (Digital Only)",-28.771987,114.610999,greater-geraldton
"Knot Just Pretzels (Digital Only)",-28.7809654,114.6176362,greater-geraldton
"Papercraft Palace (Digital Only)",-28.7708027,114.613021,greater-geraldton
"Indah health and beauty spa",-28.7700345,114.6154006,greater-geraldton
"Cavania Geraldton",-28.7744932,114.6080343,greater-geraldton
"Pure Skin & Beauty Geraldton",-28.7657809,114.6163463,greater-geraldton
"30 Knots Spirits",-28.76148959999999,114.6161857,greater-geraldton
"Salt Boutique",-28.7743024,114.6080697,greater-geraldton
"Geraldton Mower & Repair Specialists",-28.7509563,114.6284061,greater-geraldton
"Pink Petticoat",-28.7743024,114.6080697,greater-geraldton
"Leon Baker Jewellers",-28.7728546,114.6101503,greater-geraldton
"The Gerald Apartment Hotel",-28.77446459999999,114.6095471,greater-geraldton
