name,latitude,longitude,micrositeSlug
"Autopro Gunnedah",-30.9796192,150.2572377,gunnedah
"Bitter Suite Café",-30.9781798,150.254116,gunnedah
"Carroll Store",-30.9857917,150.4460488,gunnedah
"Cellarbrations",-30.97787169999999,150.25346,gunnedah
"Chan Supa Thai Massage & Day Spa",-30.9785142,150.253098,gunnedah
"Civic Theatre",-30.97609779999999,150.2519218,gunnedah
"Cobb's Exhaust & 4x4 Centre",-30.97541,150.2468344,gunnedah
"Crazy Sam's Gunnedah",-30.9767369,150.2533243,gunnedah
"Curlewis Store",-31.1168003,150.2680791,gunnedah
"Delta Agribusiness - Gunnedah",-30.9789883,150.2370335,gunnedah
"Eats On Main",-30.9804897,150.2589117,gunnedah
"Elders Gunnedah",-31.0961726,149.9141529,gunnedah
"Elkie & Co",-30.9778879,150.2548172,gunnedah
"Fogarty Fotos",-30.9770501,150.2513336,gunnedah
"Gordon Barry & Co",-30.9784899,150.2504967,gunnedah
"Gunnedah Ag Ware",-30.9745492,150.2473978,gunnedah
"Gunnedah Chip Inn",-30.9767363,150.2525222,gunnedah
"Gunnedah Discount Drug Store",-30.9769717,150.2528789,gunnedah
"Gunnedah Locksmiths",-30.9747245,150.2464364,gunnedah
"Gunnedah Newsagency",-30.97759229999999,150.2544168,gunnedah
"H&M Refrigeration",-30.9794191,150.2520543,gunnedah
"Marval Designs",-30.977262,150.2520123,gunnedah
"Mrs Haths Forest Nursery",-30.9799911,150.2328332,gunnedah
"Petrie's Mitre 10",-30.9766324,150.2543648,gunnedah
"Plants For You",-30.97720009999999,150.2510396,gunnedah
"Pursegloves Clothing",-30.9777701,150.2528257,gunnedah
"Salvation Army Family Store",-30.9778955,150.250788,gunnedah
"Streater Family Butchers",-30.9759276,150.2524378,gunnedah
"Subway Gunnedah",-30.9767679,150.2523968,gunnedah
"The Verdict Café",-30.976948,150.251227,gunnedah
"Tim Duffy Optometrist",-30.9768281,150.2527269,gunnedah
"Club Gunnedah",-30.9794203,150.2564901,gunnedah
"PK Podiatry",-30.9800371,150.2541246,gunnedah
"Bill Syphers Footwear",-30.9767655,150.2525898,gunnedah
"Club Gunnedah",-30.9798117,150.2566269,gunnedah
"Regency Jewellers",-30.9776044,150.252804,gunnedah
"Plains of Plenty",-30.9791839,150.2559815,gunnedah
"Goodness & Gracious",-30.9794203,150.2564901,gunnedah
"The Skin Studio by Emma James",-30.9779252,150.2528506,gunnedah
"Sign Print Stitch",-30.9747547,150.2465156,gunnedah
"Imperial Hotel Gunnedah",-30.9781231,150.2499312,gunnedah
"Harvey Norman",-30.9750034,150.2485137,gunnedah
"Karen Carter Chemist",-30.9794203,150.2564901,gunnedah
"Gunnedah Golf Hub",-30.9919092,150.2425423,gunnedah
"Gunnedah Tyrepower",-30.97943189999999,150.2565037,gunnedah
"Railway Hotel",-30.9794191,150.2520543,gunnedah
"Pursehouse Rural",-31.0961726,149.9141529,gunnedah
"Gunnedah Memorial Swimming Pool",-30.9838899,150.252219,gunnedah
"The Courthouse Hotel",-30.97943189999999,150.2565037,gunnedah
"Hair Delight",-30.9785767,150.2532005,gunnedah
