name,latitude,longitude,micrositeSlug
"Coco Tuhua",-26.1902534,152.66376,gympie
"Gympie Musicland",-26.1903127,152.6643178,gympie
"Melt Me Chocolate Shop",-26.1899686,152.6632308,gympie
"Karinya Florist",-26.1899374,152.6614001,gympie
"PC Place",-26.1900546,152.6615094,gympie
"Toyworld Gympie",-26.1895963,152.661467,gympie
"Twiga Books",-26.1894418,152.6613311,gympie
"Play Back Gympie",-26.1899312,152.6625239,gympie
"The Dolly & Oats",-26.190244,152.6619835,gympie
"liberty monkland",-26.2197929,152.6862558,gympie
"Liberty Imbil",-26.459154,152.6809111,gympie
"Liberty Goomboorian",-26.0908497,152.767135,gympie
"Liberty Kilkivan",-26.0854323,152.2423105,gympie
"Shell Truckstop Goomeri",-26.1850572,152.0685213,gympie
