name,latitude,longitude,micrositeSlug
"Harrison's IGA",-34.5071194,144.8436455,hay
"Hay Visitor Centre",-34.50833739999999,144.842864,hay
"Bishops Lodge Motor Inn",-34.5192656,144.8485717,hay
"Crightons Engineering",-34.5203303,144.8433855,hay
"Les's Small Engine Repairs",-34.5127193,144.8425558,hay
"The Riverine Grazier***",-34.5105095,144.843624,hay
"New Crown Hotel",-34.5099803,144.8436884,hay
"Centrespot Flowers",-34.5081444,144.8441248,hay
"Hay Veterinary Clinic",-34.5004603,144.8479846,hay
"Mackers Meats",-34.5073409,144.844204,hay
"Commercial Hotel (share terminal  Seven Spice)",-34.5068586,144.844282,hay
"Chris McClelland Gallery - Wildprints",-34.5107783,144.8431319,hay
"Hay Shire Council",-34.5090799,144.8432588,hay
"Purple Petal Florist (share terminal Hay Pizza)",-34.5077086,144.8442254,hay
"Secret Beauty**",-34.51789480000001,144.8450781,hay
"Redneck Shootin' Supplies",-34.5179341,144.8476194,hay
"Booligal Hotel",-33.8702547,144.8847693,hay
"Maude Store",-34.4701904,144.3025498,hay
"Maude Post-office Hotel",-34.4701904,144.3025498,hay
"Ampol Roadhouse South Hay",-34.520003,144.8382307,hay
"South Hay Hotel",-34.519219,144.8431352,hay
"Shell Servicestation Hay",-34.5201219,144.8475626,hay
"Elders Rural Services Ltd",-34.5101004,144.8430045,hay
"Hay Betta Home Living & Furniture Zone",-34.5087507,144.8439891,hay
"Nutrien Ag Solutions",-34.5025905,144.8274507,hay
"Chic Nails & Hair by Katerina P ",-34.5039571,144.8425838,hay
"Hay Tyre and Battery Service",-34.5197305,144.8454069,hay
"Motormatics",-34.5004992,144.8476409,hay
"D G Harrison and Sons",-34.5062145,144.843087,hay
"Jen's Healthy Junk",-34.5127193,144.8425558,hay
"Hay Pizza Bar (share terminal Purple Petal)",-34.5077086,144.8442254,hay
"The Black Sheep Coffee Shop",-34.5123722,144.8425775,hay
"Murphys Clothing Company",-34.5082996,144.844118,hay
"Lugsdin Toyota",-34.51943869999999,144.8436846,hay
"Hay Bowling Club Bistro",-34.500992,144.8442899,hay
"Hay Post Office",-34.5095071,144.8431729,hay
"Hills Corner Store",-34.5019119,144.8445476,hay
"Kinfolk & Co Coffee",-34.5078386,144.8442174,hay
"Hay Jewellers",-34.5092062,144.8439891,hay
"Boys on Lachlan",-34.5103881,144.8437743,hay
"Shear Outback",-34.5062354,144.8478701,hay
"Fatal Attraction",-34.5095613,144.841433,hay
"Engine Hub",-34.5118701,144.8427434,hay
"Tantrum Hair & Beauty",-34.5068879,144.8437206,hay
"Foodworks Hay",-34.5100862,144.843087,hay
"Hyde's Plumbing",-34.5058078,144.8515234,hay
"Riverina Hotel",-34.5084661,144.8433882,hay
"Japps Pharmacy",-34.5094714,144.8436853,hay
"Hay Newsagency",-34.5085508,144.8432642,hay
"Hay Services Club & Fitness Centre",-34.5004216,144.8491581,hay
"Hay War Memorial High School",-34.5041247,144.8411857,hay
"Hay Services Club Bistro",-34.5004216,144.8491581,hay
"Antonakas Hardware",-34.5090782,144.8439462,hay
"Ag N Vet Services",-34.5058683,144.8441713,hay
"Robertsons Hotbread Kitchen",-34.5087008,144.8440106,hay
"Hay Bowling and Golf Club",-34.500992,144.8442899,hay
