name,latitude,longitude,micrositeSlug
"The Clip Joint",-31.9711007,116.0581508,kalamunda
"Bellucci Hair & Beauty",-31.9867346,116.0091661,kalamunda
"Nervana Chiropractic",-31.9704335,116.0580815,kalamunda
"Ebbe Collective",-31.958046,116.0517895,kalamunda
"Central Beauty & Day Spa",-31.9722087,116.0568984,kalamunda
"Little Loads Garden Supplies",-31.9587023,115.9924937,kalamunda
"Noodlers Noodle Bar Kalamunda",-31.9843489,116.0649987,kalamunda
"Hartfield Park Rec Centre (City of Kalamunda)",-31.9929729,115.9978844,kalamunda
"Kalamunda Veterinary Hospital",-31.9805786,116.0610367,kalamunda
"Kalamunda Toyworld",-31.9723296,116.0571935,kalamunda
"MeWish Brow & Beauty",-31.9873787,116.0101709,kalamunda
"Forrestfield Marketplace Newspower",-31.9867346,116.0091661,kalamunda
"Clover Lane Boutique",-31.971153,116.0591136,kalamunda
"The Haynes St Esthetic Clinic",-31.9712063,116.0592313,kalamunda
"Mead Physio Group",-31.9735074,116.0587741,kalamunda
"IGA High Wycombe",-31.9390912,116.0030124,kalamunda
"Patisserie 1900",-31.9869952,116.0110715,kalamunda
"HUSHkids",-31.972436,116.059078,kalamunda
"Mia Lingerie",-31.9711803,116.0580026,kalamunda
"Spill the Beans",-31.9351036,116.0042132,kalamunda
"Priceline Pharmacy Kalamunda",-31.972436,116.059078,kalamunda
"Community Bank Forrestfield Bendigo Bank",-31.98682,116.00977,kalamunda
"Lilli & Bloom Boutique",-31.9711007,116.0581508,kalamunda
"Nextra Paper Place",-31.9870861,116.0099194,kalamunda
"Car Care (WA) Kalamunda",-31.948118,116.0041208,kalamunda
"Kalamunda Optical",-31.9733275,116.0604722,kalamunda
"Bird and Fish Place",-32.0032879,116.0097192,kalamunda
"Forrestfield Cobblery",-31.9867346,116.0091661,kalamunda
"Forrestfield Eyecare",-31.9867346,116.0091661,kalamunda
"He Brew Espresso",-31.9462764,116.0229209,kalamunda
"Kalamunda Performing Arts Centre",-31.97659,116.05695,kalamunda
"First Avenue",-31.9722087,116.0568984,kalamunda
"Dreams Jewellery & Gifts",-31.97154,116.05944,kalamunda
"Elevated Grounds Coffeehouse",-31.9711007,116.0581508,kalamunda
"Boyce Western Glass",-31.938621,115.9919279,kalamunda
"Kalamunda Glass",-31.9387037,115.9919279,kalamunda
"Perth Hills Visitor Centre",-31.9707559,116.0597207,kalamunda
"Kalamunda Cycles",-31.9730047,116.0583475,kalamunda
"Kalamunda Hotel",-31.9721621,116.0597207,kalamunda
"Hills Massage",-31.9711112,116.058052,kalamunda
"Desborough Accountants",-31.9727612,116.0578397,kalamunda
"Wild Seasons Flowers",-31.9723296,116.0571935,kalamunda
"Pierrot’s Hair Studio",-32.0058253,116.0454229,kalamunda
"Foothills Beauty",-31.996811,116.0138424,kalamunda
"Zanthorrea Nursery",-31.9440552,116.0324764,kalamunda
"Jack and Jill",-31.9711491,116.0585895,kalamunda
"Matteos Gourmet Pizza",-31.9369487,116.008265,kalamunda
"Williams Meats",-31.9867346,116.0091661,kalamunda
"ROLLERRAMA Kalamunda",-31.9792202,116.0620852,kalamunda
"Kalamunda Water Park",-31.9800579,116.0609585,kalamunda
"Chelsea Decor",-31.9710066,116.0562502,kalamunda
"Village Pizza Kitchen",-32.0057119,116.0453601,kalamunda
"Sanderson Road IGA",-32.0057119,116.0453601,kalamunda
"The Vault Restaurant",-31.9716189,116.0584278,kalamunda
"Nightingales Pharmacy & Newsagency Kalamunda",-31.9842643,116.0646524,kalamunda
"Wally Deli",-32.0009014,116.0682859,kalamunda
"Magic Garden Supplies",-32.0099368,115.9986849,kalamunda
"Myattsfield Vineyard and Winery",-32.0181915,116.1001316,kalamunda
"Replenish",-31.9722087,116.0568984,kalamunda
"The Best Drop Tavern",-31.9711491,116.0585895,kalamunda
"Herb Circle",-31.9711266,116.0586879,kalamunda
