name,latitude,longitude,micrositeSlug
"Dessie O'Dowds",-20.7323541,116.8444205,karratha
"Pilbara Plants and Pets",-20.7755657,116.867709,karratha
"Keyspot Services",-20.735478,116.8462812,karratha
"Hello Little Co",-20.7343458,116.8483556,karratha
"Jolly Good Auto Electrics",-20.73211,116.84348,karratha
"Scott Cycles",-20.7356727,116.8420039,karratha
"Karratha Adventure Sports (Pegs Creek)",-20.7351443,116.8415446,karratha
"Karratha Eyecare",-20.7336087,116.842396,karratha
"Auto One Karratha",-20.7334556,116.8431302,karratha
"Pilbara Bakehouse",-20.7346462,116.8484896,karratha
"Ashkarnah Adult Shop",-20.735905,116.8486091,karratha
"Pharmacy 777 Karratha",-20.7346307,116.8447437,karratha
"Cool Change Boutique",-20.7350067,116.8457028,karratha
"Dunnart Picture Framing & Homewares",-20.7335237,116.842389,karratha
"Pharmacy Help Karratha",-20.7356015,116.8462206,karratha
"House Proud Living",-20.735478,116.8462812,karratha
"Altra Fine Foods",-20.735478,116.8462812,karratha
"Northwest Accountancy Pty Ltd",-20.73473,116.841,karratha
"Karratha Adventure Sports (Karratha)",-20.7332419,116.8435688,karratha
"Karratha Lottery and Newsagency",-20.7350706,116.8463707,karratha
"Unwind Pilbara",-20.6840299,117.1401722,karratha
"Pilbara Fish Truck",-20.7423833,116.8215241,karratha
"XS Energy Pilates Studio",-20.7277424,116.8628569,karratha
"Wild Bohemian",-20.7355744,116.8457555,karratha
"Troy's Tyres 2 You",-20.73441,116.84075,karratha
"Water2water Pty Ltd",-20.7348995,116.8418447,karratha
"Helloworld Travel Karratha",-20.7347355,116.8461954,karratha
"NW Mechanical Solutions",-20.772414,116.8597218,karratha
"The Bra Bar",-20.7355744,116.8457555,karratha
"Studio 6714",-20.7351015,116.841449,karratha
"West Shore Collective",-20.7343458,116.8483556,karratha
"Xtreme Sports",-20.7355744,116.8457555,karratha
"Karratha Community House",-20.7524085,116.800981,karratha
"Karratha International Hotel, Luce Bar e Cibo",-20.737695,116.8497031,karratha
"Karratha Quality Meats",-20.7336955,116.8447057,karratha
"Pilbara Dive and Tours",-20.7354162,116.8341457,karratha
"Karratha Chinese Garden Restaurant",-20.7355744,116.8457555,karratha
"Mindbright",-20.7376151,116.8486443,karratha
"Thorny Devil Access + Industries",-20.7311897,116.842659,karratha
"Mitre10 Karratha",-20.7669565,116.8662045,karratha
"Asset Protect WA",-20.7709195,116.8631596,karratha
"Enterprise Hub Karratha",-20.7343355,116.8482531,karratha
"Aligned Health & Lifestyle",-20.7390081,116.806016,karratha
"Handy Hands",-20.7313455,116.8437536,karratha
"Hunter Mechanical and 4x4 Karratha",-20.7313435,116.8420281,karratha
"Sleepy Smalls Co",-20.6621692,116.7063787,karratha
"Nor West Jockey Club",-20.7668372,117.1453244,karratha
"Hullabaloo Cafe",-20.6625638,116.7063857,karratha
"Signswest",-20.7689329,116.863462,karratha
"Karratha Signs",-20.7704268,116.8598052,karratha
"North West Brewing Co.",-20.7660726,116.8624235,karratha
"Truslove Flora and Fauna",-20.7386178,116.8328767,karratha
"Ibis Styles Karratha",-20.7332037,116.8469877,karratha
"TJM Karratha",-20.7678884,116.8694234,karratha
"The Tav SportsBar Karratha",-20.739005,116.8291337,karratha
"Parry's Merchants",-20.7731127,116.8727789,karratha
"Hula Bar",-20.7356451,116.8449501,karratha
"Three Birds Creative",-20.7342867,116.8482485,karratha
"Burger Bus",-20.6637808,116.7084649,karratha
"Pharmacy 777 Tambrey",-20.7470852,116.8075024,karratha
"Stadium 26",-20.732057,116.8451342,karratha
"Soak in Dampier",-20.6645185,116.7038688,karratha
