name,latitude,longitude,micrositeSlug
"Rain Bridalwear",-33.8134395,151.1705761,lane-cove
"Spotted Orchid",-33.8146444,151.1684111,lane-cove
"Xara Skin Clinic",-33.8135538,151.1697998,lane-cove
"Bridget Kennedy Contemporary Jewellery",-33.8134377,151.1699621,lane-cove
"Be. U Natural",-33.8142805,151.1695336,lane-cove
"Bella Cove Lingerie",-33.8140528,151.1697636,lane-cove
"Birdwood Café",-33.8137932,151.1696559,lane-cove
"Centro",-33.8207318,151.1506691,lane-cove
"Chargrill Charlies",-33.8143208,151.1689618,lane-cove
"Chatime Lane Cove",-33.8144654,151.1697194,lane-cove
"Curry Lane",-33.8139647,151.17024,lane-cove
"Elan Hair",-33.8140918,151.1697163,lane-cove
"Elizabeth's Beauty Clinic",-33.814061,151.1695147,lane-cove
"Encasa Lane Cove",-33.8143478,151.1702038,lane-cove
"Eyes 4 You Pty Ltd",-33.8152123,151.1691272,lane-cove
"Eyes on Lane Cove",-33.814288,151.169704,lane-cove
"Feet First - Acupuncture & Remedial Massage",-33.814061,151.1695147,lane-cove
"Flair for Beauty",-33.814061,151.1695147,lane-cove
"Found Gifts and Homewares",-33.8143156,151.1695029,lane-cove
"Go Vita",-33.8143634,151.1692421,lane-cove
"Grill'd Lane Cove",-33.8144714,151.168219,lane-cove
"Ground Caffe",-33.8152511,151.1691375,lane-cove
"Herringbone Hair Design",-33.814061,151.1695147,lane-cove
"Hot Dollar Lane Cove",-33.8148898,151.1688593,lane-cove
"JBS Physio Lane Cove",-33.8134377,151.1699621,lane-cove
"La Provence Espresso Bar",-33.8146915,151.1680118,lane-cove
"Lane Cove Advantage Pharmacy",-33.8143834,151.1695629,lane-cove
"Lane Cove Aquatic & Leisure Centre",-33.8135344,151.1715451,lane-cove
"Lane Cove Bowling & Recreation Club",-33.8139833,151.1590952,lane-cove
"Lane Cove Newsagency",-33.8143518,151.1690895,lane-cove
"Lane Cove Sushi Bar",-33.8141315,151.1699829,lane-cove
"Lane Cove Tennis and Golf",-33.8244432,151.1748228,lane-cove
"Len Wallis Audio",-33.8148493,151.1671295,lane-cove
"Masala Kitchen",-33.814024,151.1692663,lane-cove
"Miss V Boutique",-33.814061,151.1695147,lane-cove
"My Hair House by Jen",-33.8142091,151.1678316,lane-cove
"Old Quarter",-33.8140232,151.1694757,lane-cove
"Porter's Liquor Northwood",-33.8239971,151.1724113,lane-cove
"Prohealth Physio",-33.8135548,151.1704953,lane-cove
"Puppy Tail Cafe",-33.814032,151.1463601,lane-cove
"Pure Flowers",-33.814346,151.1689975,lane-cove
"Rebalance Your Centre of Health",-33.814061,151.1695147,lane-cove
"Riverview Deli",-33.8202764,151.1646867,lane-cove
"Soulful Fitness Yoga and Pilates",-33.8142091,151.1678316,lane-cove
"Sugarlane Restaurant",-33.8139363,151.1692984,lane-cove
"Sunset Diner",-33.8135027,151.1694135,lane-cove
"Sushimaru Lanecove",-33.8144654,151.1697194,lane-cove
"Sydney Community Services",-33.8139887,151.1708168,lane-cove
"Sydney Speech Clinic",-33.8139887,151.1708168,lane-cove
"The Alcott Lane Cove",-33.8127302,151.1702705,lane-cove
"The Burns Bay Bookery",-33.81496,151.1677213,lane-cove
"The Cake Man",-33.8143463,151.1689968,lane-cove
"The Darlene Hair Lounge",-33.8150349,151.1702933,lane-cove
"The Fair Trade Cove",-33.8142434,151.1701967,lane-cove
"The Foot Group",-33.8148806,151.1702685,lane-cove
"The Hunted Co",-33.8147222,151.1693822,lane-cove
"The Junction Coffee Co",-33.8145246,151.1694122,lane-cove
"Triple A Dry Cleaners",-33.814043,151.1694813,lane-cove
"Two Brothers Café",-33.8148051,151.1695821,lane-cove
"Unwined Espresso Bar",-33.8142338,151.1688189,lane-cove
"Wok Passion",-33.8141668,151.1695549,lane-cove
"Zjoosh",-33.8149362,151.1690414,lane-cove
"Simply Brows & Lashes",-33.8148806,151.1702685,lane-cove
"Sloans",-33.8143772,151.1694956,lane-cove
"La Piazza Lane Cove",-33.8145342,151.1695619,lane-cove
"Vision Personal Training",-33.8143772,151.1694956,lane-cove
"Proven Beauty",-33.8149127,151.1689,lane-cove
"Health Space Clinics",-33.8149187,151.1692806,lane-cove
"Sayulita Lane Cove",-33.8139363,151.1692984,lane-cove
"San Antonio Sourdough.",-33.8152511,151.1691375,lane-cove
"Bakers Delight",-33.8144645,151.1685966,lane-cove
"New York Nails",-33.814043,151.1694813,lane-cove
"Lillah",-33.8171489,151.1702295,lane-cove
"Kasina Korean Eatery",-33.8134078,151.1698799,lane-cove
"I Love Pizza Lane Cove",-33.8149126,151.1702322,lane-cove
"Well Spine Chiropractice",-33.8134758,151.1699541,lane-cove
"Roller Skating, Stars On Ice",-33.8127091,151.1711616,lane-cove
"S'Bread House",-33.8143649,151.1691517,lane-cove
"The Beautician",-33.8153661,151.1516952,lane-cove
"The Longueville Hotel",-33.8132383,151.1706601,lane-cove
"Yochi",-33.8149362,151.1690414,lane-cove
"One Seed Patisseries",-33.8150672,151.1702036,lane-cove
"Iris & Lin",-33.8132488,151.1699518,lane-cove
"Salt&Touch",-33.8140361,151.1695625,lane-cove
"Infinity Hair",-33.8154437,151.1517874,lane-cove
"Tres Jolie Hair Face Body",-33.8151083,151.1698722,lane-cove
"Lane Cove Council",-33.8127736,151.1712265,lane-cove
"Garcon",-33.8135613,151.1694463,lane-cove
"Fourth Fish Restaurant",-33.8148979,151.1690755,lane-cove
"Hummerston's Gourmet Meats",-33.8153661,151.1516952,lane-cove
"Zapparellis Pizza",-33.8149045,151.1580027,lane-cove
"Brewmance Lane Cove",-33.8143755,151.1678113,lane-cove
"Thimble Cafe",-33.8142842,151.1695322,lane-cove
"Via Napoli Pizzeria",-33.8136437,151.1715448,lane-cove
