name,latitude,longitude,micrositeSlug
"Allways Angling",-38.1963684,146.5351035,latrobe-city
"Angus & Coote",-38.1942374,146.5395759,latrobe-city
"Aussie Disposals Traralgon",-38.195902,146.5383827,latrobe-city
"Autobarn Traralgon",-38.1990302,146.5361854,latrobe-city
"Bean N Gone Espresso Bar",-38.23736760000001,146.4297358,latrobe-city
"Beds R Us",-38.1756335,146.2607678,latrobe-city
"BJ Fashion",-38.23736760000001,146.4297358,latrobe-city
"Bobber Daves Custom Cycles",-38.1886321,146.5603787,latrobe-city
"Cafe Evviva",-38.1945336,146.5383264,latrobe-city
"Case Planet",-38.1945176,146.5389127,latrobe-city
"Changing Seasons Gifts",-38.17543550000001,146.2608218,latrobe-city
"Chopstix",-38.1944259,146.5384242,latrobe-city
"Chris Humphrey Office National",-38.19774750000001,146.5348749,latrobe-city
"Claudia's Café",-38.2382101,146.3958567,latrobe-city
"Commando Skydivers",-38.21388400000001,146.469632,latrobe-city
"Cool Aqua (inside HIP POCKET)",-38.2358452,146.4329486,latrobe-city
"Creighton's 4WD Megastore",-38.190452,146.559939,latrobe-city
"Cutting Edge Keys",-38.23736760000001,146.4297358,latrobe-city
"Dear Delilah Florist",-38.237239,146.3959099,latrobe-city
"Dusk",-38.1945722,146.5392269,latrobe-city
"East West Auto's",-38.1681138,146.2602266,latrobe-city
"Edge Clothing",-38.194513,146.539444,latrobe-city
"Electel Pty Ltd",-38.1917721,146.5580995,latrobe-city
"ENZED Latrobe Valley",-38.1906463,146.5587127,latrobe-city
"Findlay & Weymouth Pharmacy",-38.1964345,146.536467,latrobe-city
"Firmins Lane Garden Supplies",-38.2497381,146.4492424,latrobe-city
"Firmins Lane Garden Supplies Pop Up Shop",-38.23736760000001,146.4297358,latrobe-city
"Furniture Factory Clearance Centre",-38.1758816,146.262193,latrobe-city
"Games and More Traralgon",-38.1963533,146.5371097,latrobe-city
"Ghanda Clothing",-38.194781,146.5388096,latrobe-city
"Gippsland Cosmetic Laser Clinic",-38.1963633,146.5372267,latrobe-city
"Gippsland Regional Indoor Sports Stadium",-38.1997249,146.5187193,latrobe-city
"Gippsprint Office Choice",-38.1895493,146.5653698,latrobe-city
"GMS Rehabilitation",-38.198341,146.5391575,latrobe-city
"Goldmark Traralgon",-38.1910411,146.5387208,latrobe-city
"Green Olive - eat, drink, relax",-38.1961928,146.5408312,latrobe-city
"Greenleaf Hydroponics & Homebrew",-38.1982949,146.5347749,latrobe-city
"Grow Master Traralgon",-38.19301189999999,146.545725,latrobe-city
"Hairhouse Warehouse Traralgon",-38.194513,146.539444,latrobe-city
"Hairworld",-38.1945336,146.5383264,latrobe-city
"Harris Scarfe Traralgon",-38.1956554,146.5359854,latrobe-city
"Hip Pocket Workwear and Safety Latrobe Valley",-38.2358474,146.4330291,latrobe-city
"Hogs Breath Cafe Traralgon",-38.1916291,146.5538261,latrobe-city
"Hot Fx Photography & Custom Framing",-38.175886,146.262984,latrobe-city
"J&C Motorcycles",-38.1632851,146.2630269,latrobe-city
"Jessica Rose Floral Design**",-38.3054914,146.5436095,latrobe-city
"Kay Street Eyecare Traralgon",-38.1940837,146.536467,latrobe-city
"Latrobe City Council Headquarters",-38.2366442,146.395123,latrobe-city
"Latrobe City Council Library Moe",-38.17656110000001,146.2606865,latrobe-city
"Latrobe City Council Library Morwell",-38.2396383,146.3990308,latrobe-city
"Latrobe Leisure - Churchill",-38.3116847,146.41921,latrobe-city
"Latrobe Leisure - Morwell",-38.2333692,146.4053322,latrobe-city
"Latrobe Regional Gallery",-38.2367187,146.3943235,latrobe-city
"Latrobe Valley Computers",-38.2350921,146.3960769,latrobe-city
"Latrobe Valley Pools",-38.1861582,146.2908964,latrobe-city
"Lekeyah Skin Rejuvenation Centre",-38.1946302,146.533956,latrobe-city
"Light and Shade",-38.1974277,146.5357264,latrobe-city
"Lilly Pilly Flower Boutique",-38.1761185,146.2606741,latrobe-city
"Mel’s Cutting and Beauty Room",-38.1964337,146.5370362,latrobe-city
"Merchant Family Butchers",-38.186296,146.2911011,latrobe-city
"Moe Betta Home Living",-38.1741567,146.2615082,latrobe-city
"Moe Garden Supplies",-38.1618734,146.2642712,latrobe-city
"Moe Optical",-38.1761716,146.261859,latrobe-city
"Moe Parklands Motel",-38.1830462,146.2783307,latrobe-city
"Morwell Bowling Club",-38.241985,146.3931773,latrobe-city
"Morwell Golf Club",-38.2175719,146.427451,latrobe-city
"Morwell Newsagency",-38.2372129,146.3961959,latrobe-city
"Muffin Break Traralgon",-38.1945336,146.5383264,latrobe-city
"Naomi Seccombe Photography**",-38.1850806,146.2897501,latrobe-city
"Newborough Newsagency",-38.1858012,146.2911871,latrobe-city
"Odlums Pharmacy Newborough",-38.1857327,146.291224,latrobe-city
"OPSM  Morwell",-38.23736760000001,146.4297358,latrobe-city
"OPSM Traralgon",-38.194513,146.539444,latrobe-city
"Oriental Jade",-38.1973954,146.5358879,latrobe-city
"Panthers Menswear - Moe",-38.1744035,146.2605644,latrobe-city
"Panthers Menswear - Traralgon",-38.1963666,146.5377015,latrobe-city
"Pika Sushi Morwell",-38.2370091,146.3954089,latrobe-city
"Pika Sushi Traralgon",-38.1969998,146.5375529,latrobe-city
"Pink Petals",-38.1748134,146.2604762,latrobe-city
"Podicare",-38.2388394,146.3985706,latrobe-city
"Priceline Pharmacy Traralgon",-38.1945336,146.5383264,latrobe-city
"Prouds the Jewellers",-38.1910411,146.5387208,latrobe-city
"QBD Books Traralgon",-38.194513,146.539444,latrobe-city
"Raue’s Leather & Travelgoods",-38.1964337,146.5370362,latrobe-city
"Reader's Emporium",-38.1964337,146.5370362,latrobe-city
"Red Annex/ Miss Frou Frou",-38.1968749,146.538913,latrobe-city
"Regal Jewellers Traralgon",-38.1966793,146.5376578,latrobe-city
"Sam and Frank Unisex Hairstylists",-38.1974526,146.5360187,latrobe-city
"Second Story Salon",-38.197549,146.53725,latrobe-city
"Smick Health & Fitness",-38.1679843,146.2587485,latrobe-city
"SNJ Kitchen & Homewares",-38.2366327,146.3987801,latrobe-city
"Soul Pattinson Chemist Moe",-38.1751068,146.2608658,latrobe-city
"Spiders Cafe",-38.1747588,146.2600455,latrobe-city
"Stadium 34",-38.1718754,146.2577444,latrobe-city
"Static Ink",-38.1960956,146.5389705,latrobe-city
"Strandbags (Centre Plaza)",-38.1947357,146.5388972,latrobe-city
"Strandbags Morwell",-38.23736760000001,146.4297358,latrobe-city
"Sugar Babies",-38.1963202,146.5367265,latrobe-city
"Sussan Traralgon",-38.194513,146.539444,latrobe-city
"Sweet Lullabies",-38.1930561,146.5506546,latrobe-city
"Tandara Caravan Park",-38.2201683,146.4707343,latrobe-city
"That Supps Store",-38.1980806,146.5377361,latrobe-city
"The Benjamin on Franklin",-38.1969413,146.5381522,latrobe-city
"The Coffee Pod",-38.1753989,146.2600145,latrobe-city
"The Feminine Touch",-38.1962374,146.5357873,latrobe-city
