name,latitude,longitude,micrositeSlug
"36 Chambers Skateshop",-28.8077633,153.2763024,lismore
"A Cummings & Co",-28.8068851,153.2759087,lismore
"Adornments",-28.80845369999999,153.2784143,lismore
"Asian Feast",-28.8101752,153.2853762,lismore
"Aussie Digger Camping & Workwear",-28.8037765,153.2751858,lismore
"Barbeques Galore Northern Rivers - Lismore",-28.8126657,153.2791111,lismore
"Be Seen Eyewear Lismore",-28.8074828,153.2773046,lismore
"Blooms The Chemist Lismore",-28.808113,153.2786778,lismore
"Boost Juice",-28.8101752,153.2853762,lismore
"Bright Way Lighting",-28.8080577,153.2794997,lismore
"Bunyips Great Outdoors Centre",-28.8064694,153.2805763,lismore
"Cafe Saffron",-28.8089787,153.2765811,lismore
"Coffee Club",-28.8101752,153.2853762,lismore
"Coffee Time GBah",-28.8224135,153.3278877,lismore
"Compu-K Computers",-28.80877929999999,153.2696097,lismore
"Cones & Cream Nimbin",-28.5961282,153.223542,lismore
"Crema Espresso",-28.81061,153.2864218,lismore
"CTC Lismore Square",-28.81061,153.2864218,lismore
"Curious Craft",-28.8083523,153.2773091,lismore
"Cut Loose Hair & Beauty",-28.8090238,153.2783199,lismore
"Daleys Homewares",-28.808113,153.2786778,lismore
"Dalley Street Butchers",-28.821143,153.291714,lismore
"Dark Horse",-28.8073959,153.277221,lismore
"Diamond Service Centre",-28.8112598,153.2766386,lismore
"Diamonds Plus",-28.807021,153.2773473,lismore
"Dominos Goonellabah",-28.8224135,153.3278877,lismore
"F-Fitness Lismore",-28.8162888,153.2830478,lismore
"Gadget Hospital",-28.8101752,153.2853762,lismore
"George Gooley Menswear",-28.8079499,153.2768526,lismore
"Gooleys Workwear & Embroidery",-28.8073805,153.2778426,lismore
"Goonellabah Pharmacy",-28.8226835,153.3272237,lismore
"Goonellabah Sports & Aquatic Centre",-28.8216425,153.3287245,lismore
"Hanging Rock Flowers",-28.806522,153.2776931,lismore
"Hortons Fashion",-28.8072537,153.2775433,lismore
"Hotel Metropole",-28.8084363,153.2793391,lismore
"Incy Wincy Kids",-28.81061,153.2864218,lismore
"Instyle Sleepcentre",-28.808146,153.279598,lismore
"Intersport",-28.8092709,153.2773904,lismore
"Jessi's Corner",-28.8101752,153.2853762,lismore
"Just Cuts Lismore",-28.8103156,153.2859007,lismore
"Kebab King",-28.8080181,153.2790095,lismore
"Kidsnest",-28.8085559,153.2764177,lismore
"Kol's Kebabs",-28.807021,153.2773473,lismore
"La Nova Massage",-28.8093117,153.2779709,lismore
"Laubman & Pank Lismore",-28.8086602,153.276356,lismore
"Lismore Embroidery & Apparel",-28.8085292,153.2784872,lismore
"Lismore Garden Centre",-28.8085709,153.2703139,lismore
"Lismore Jewel Centre",-28.8078162,153.2771255,lismore
"Lismore Regional Gallery",-28.8097171,153.279316,lismore
"Lismore Square Newsagancy",-28.81061,153.2864218,lismore
"Little Polli & The Blackbird",-28.8090259,153.2766379,lismore
"M & T TYRES",-28.8086786,153.2804799,lismore
"Ma Ma Moi",-28.8091623,153.2772526,lismore
"Makoda Boutique",-28.8226835,153.3272237,lismore
"Masala Fusion",-28.8101044,153.2774998,lismore
"Mayumi's Kitchen",-28.8101752,153.2853762,lismore
"Mel's Melting Moments Gift Shop",-28.8095205,153.2778836,lismore
"Mister Minit",-28.8101752,153.2853762,lismore
"Music Bizarre",-28.8089673,153.2767584,lismore
"NORPA",-28.806522,153.2776931,lismore
"Northern Rivers Health",-28.8173491,153.3239603,lismore
"Online Coins",-28.8135811,153.2785563,lismore
"Paradise Massage",-28.8101752,153.2853762,lismore
"Pets and Saddles",-28.8096558,153.2685059,lismore
"Phone Pal",-28.8101752,153.2853762,lismore
"Planet Music",-28.8080577,153.2787195,lismore
"Pomstar",-28.809591,153.277836,lismore
"PowerMax Computers",-28.8199818,153.2852232,lismore
"Priceline Pharmacy",-28.8101752,153.2853762,lismore
"Rainbow Roos",-28.8107721,153.345563,lismore
"Rollerworld",-28.8047527,153.2767835,lismore
"Scoops & Candy",-28.8088976,153.2781631,lismore
"Serpentine Community Gallery",-28.8141238,153.2822268,lismore
"SG Asian Supermarket",-28.8101752,153.2853762,lismore
"Shoppe One",-28.8088077,153.2782109,lismore
"South Lismore Post Office",-28.80861,153.2700658,lismore
"Southside Chempro Chemist",-28.80882519999999,153.2691781,lismore
"Southside hot bread",-28.8088977,153.2695855,lismore
"Specsavers Lismore Square",-28.8101752,153.2853762,lismore
"Success Martial Arts",-28.8084664,153.2701234,lismore
