name,latitude,longitude,micrositeSlug
"Natural Alternative",-27.5591841,152.2769203,lockyer-valley
"Lockyer Tourist Information Centre (Lockyer Cultural Centre)",-27.5570725,152.2769644,lockyer-valley
"NewsXpress Laidley",-27.6307241,152.3941576,lockyer-valley
"R & F Steel Buildings",-27.5578819,152.2823642,lockyer-valley
"Gatton Auto",-27.5585003,152.2759774,lockyer-valley
"Superior Irrigation Services",-27.5546124,152.2878398,lockyer-valley
"Shoe Collections",-27.5561376,152.2770706,lockyer-valley
"IGA Laidley",-27.6306939,152.3949319,lockyer-valley
"Bridgestone Select",-27.5617371,152.4258543,lockyer-valley
"Gatton Auto Electrical",-27.5699308,152.2661244,lockyer-valley
"Blue Dog Sports",-27.6295694,152.3938802,lockyer-valley
"Café 4342",-27.59015,152.3568365,lockyer-valley
"Lockyer Valley Ford",-27.5560603,152.2807605,lockyer-valley
"Emmerson Legal & Accounting",-27.5579246,152.2794318,lockyer-valley
"Gatton Bus Service",-27.5616389,152.2765037,lockyer-valley
"Spanos Supa IGA Gatton",-27.5562371,152.2775461,lockyer-valley
"Gatton Meat Centre",-27.5579034,152.2727707,lockyer-valley
"Andersens Carpet Gatton",-27.5691873,152.2675192,lockyer-valley
"Coast to Country Chiropractic",-27.5669001,152.4239785,lockyer-valley
"Forest Hill Post Office",-27.5890425,152.3574645,lockyer-valley
"Laidley Shoez",-27.6314637,152.3938748,lockyer-valley
"Kelli's Diner",-27.6304602,152.3939021,lockyer-valley
"Gatton Auto Pro (Gatton Spare Parts)",-27.5577851,152.276339,lockyer-valley
"Toy Wiz",-27.6301541,152.3944021,lockyer-valley
"Gatton Florist",-27.5565834,152.2772941,lockyer-valley
"Birdhouse Laidley",-27.6321441,152.3935335,lockyer-valley
"Love and Karma",-27.5580745,152.2766847,lockyer-valley
"Baked By Brooke",-27.6329444,152.4300772,lockyer-valley
"Colonial Cafe",-27.5697908,152.2695351,lockyer-valley
"Schultes Meat Tavern",-27.5644013,152.422855,lockyer-valley
"IGA Hatton Vale",-27.5537491,152.4817612,lockyer-valley
"Plainland Hotel",-27.5647678,152.4185876,lockyer-valley
"Tins & Trays",-27.5617506,152.2747812,lockyer-valley
"Ultra Tune Gatton",-27.5543958,152.2765108,lockyer-valley
"Cahill Park Sports Complex",-27.5493804,152.2871869,lockyer-valley
"Lockyer Hotel",-27.5893942,152.3569511,lockyer-valley
"Gatton Pharmacy",-27.5562371,152.2775461,lockyer-valley
