name,latitude,longitude,micrositeSlug
"Alleycat Cafe",-37.8247988,145.0812941,maling-road
"Reflections on Maling",-37.8251476,145.0814496,maling-road
"Canterbury Eyecare",-37.8244337,145.0829051,maling-road
"Maling Road Pharmacy",-37.8247992,145.0815869,maling-road
"Cuscini",-37.8250823,145.0811587,maling-road
"Chicken or the Egg Cafe",-37.8251971,145.0810722,maling-road
"Chapter Three Espresso and Bar",-37.82459559999999,145.08194,maling-road
"Canterbury Kids",-37.8246584,145.0825075,maling-road
"Pops Postie Roll",-37.8247889,145.0822251,maling-road
"Maison in Maling",-37.826185,145.0786927,maling-road
"Canterbury Newsagency",-37.824234,145.0828276,maling-road
"BetweenUs Coffee Food Wine",-37.824467,145.0821117,maling-road
"Portobello Jewellery Canterbury",-37.8247988,145.0812941,maling-road
"Flowers of Canterbury",-37.8245109,145.0820387,maling-road
"Bakers Delight Canterbury",-37.825446,145.0806547,maling-road
"The Framers Workshop",-37.824685,145.0822589,maling-road
"Outwears",-37.8249391,145.0819372,maling-road
"Timeless Nails and Beauty",-37.825107,145.0808275,maling-road
"allidocious",-37.8247855,145.0821395,maling-road
"My Playroom",-37.8245637,145.0826923,maling-road
"Westminster Home Canterbury",-37.8247371,145.0821448,maling-road
"Complete Skincare and Electrolysis",-37.8253487,145.080571,maling-road
"Beurre",-37.8245936,145.0818017,maling-road
