name,latitude,longitude,micrositeSlug
"Wayne Smith Automotive",-32.1389193,150.3561278,merriwa
"Cassilis Post Office",-32.0053187,149.9812162,merriwa
"Di's Clothing Patch",-32.1395065,150.3549507,merriwa
"Elders Rural Services Australia",-32.1385387,150.3554046,merriwa
"Merriwa Hardware",-32.1394977,150.3548375,merriwa
"Merriwa Café & Bakery",-32.1393352,150.3542037,merriwa
"Merriwa Pharmacy",-32.1389464,150.3548149,merriwa
"Merriwa RSL & Bistro",-32.1389426,150.3541342,merriwa
"Merriwa Tyre & Service Centre",-32.1395349,150.3545885,merriwa
"NewsXpress Merriwa",-32.1393608,150.3539094,merriwa
"R M Property & Livestock",-32.1393788,150.3544527,merriwa
"St Joseph’s Catholic School",-32.1396974,150.3581679,merriwa
"Royal Hotel Cassilis",-32.0051111,149.9809856,merriwa
"Merriwa Petroleum & Ag Supplies Pty Ltd",-32.1383884,150.3564384,merriwa
"Nutrien Ag Supplies (formerly Landmark Townsend Merriwa)",-32.1396974,150.3581679,merriwa
"Merriwa Central School",-32.1470886,150.3524728,merriwa
"Merriwa Farm Fresh Meats",-32.1394433,150.3551771,merriwa
"Welderup MWA Pty Ltd",-32.137609,150.3519626,merriwa
"Royal Hotel Merriwa",-32.1390582,150.3554829,merriwa
"Merriwa Sports Club",-32.139681,150.3626708,merriwa
"IGA Merriwa",-32.1389496,150.3550639,merriwa
"Cross Country Merriwa",-32.1393703,150.3530376,merriwa
"Merriwa Tourist Welcoming Centre",-32.1387034,150.3544184,merriwa
"Merriwa Post Office",-32.1391823,150.3566546,merriwa
"Eat @ 153",-32.1393032,150.3539999,merriwa
