name,latitude,longitude,micrositeSlug
"2 Chefs and a Cupcake",-27.2930584,152.9525071,moreton-bay
"57 Wash Pty Ltd",-27.3172396,152.9672697,moreton-bay
"Abbey Museum of Art and Archaeology",-27.0707785,153.0230515,moreton-bay
"Absolutelyou Hair Styling",-27.2659368,152.9675257,moreton-bay
"Action Body Massage",-27.1285174,153.0522804,moreton-bay
"Ageing Gracefully Leah",-27.238783,153.1036747,moreton-bay
"Allure Artistry",-27.2324518,153.1164744,moreton-bay
"Amcal Pharmacy - Kippa-ring",-27.2253649,153.0861593,moreton-bay
"Angelico Jarvis Photography",-27.2284944,153.1002011,moreton-bay
"Annie Lane",-27.0844407,153.159268,moreton-bay
"ArtsMedia Consultants",-27.1380681,152.8143654,moreton-bay
"ASAPFlowers",-27.3271237,152.9801749,moreton-bay
"Auntie Bees Designs",-27.2272204,153.114188,moreton-bay
"Australian Steak Co",-27.2273492,153.1142977,moreton-bay
"Bakers Delight Margate",-27.2444291,153.1077007,moreton-bay
"Barbell Palace",-27.316654,152.987817,moreton-bay
"Bazil and Co",-27.2004539,153.1143951,moreton-bay
"Beachmere Bakery (James Rd)",-27.1287316,153.049149,moreton-bay
"Beachmere Bakery (Lower King St)",-27.0866296,152.966198,moreton-bay
"Beachmere Bakery (Pettigrew St)",-27.0785166,152.9649548,moreton-bay
"Beachmere Butchery",-27.1287583,153.0521289,moreton-bay
"Beachmere Palms Motel",-27.1320631,153.0524957,moreton-bay
"Beachmere Takeaway",-27.1287583,153.0521289,moreton-bay
"Beam Entertainment Pty Ltd",-27.2291486,153.1148578,moreton-bay
"Beautiful Bambino",-27.2212906,153.0355692,moreton-bay
"Beauty and Skincare with Ange",-27.2227013,153.0730489,moreton-bay
"Beautyphix Studio",-27.252408,152.9935345,moreton-bay
"Bee Australian",-27.2195805,153.0623682,moreton-bay
"Belles and Brides",-27.2428708,153.1077533,moreton-bay
"Below H2O Pool Safety Inspections",-27.2280413,153.023703,moreton-bay
"Belvedere Hotel",-27.2562689,153.1045496,moreton-bay
"Beyond Dental Care Burpengary",-27.1604133,152.9587395,moreton-bay
"Beyond Dental Care Sandstone Pt",-27.0799469,153.1261088,moreton-bay
"Beyond the Maze",-27.1964853,153.0196319,moreton-bay
"Blacks Betta Home Living Woodford",-26.9539899,152.7772409,moreton-bay
"Blue Dog Farm",-27.1195497,152.7760006,moreton-bay
"Blue Dragon Embroidery",-27.2330958,153.1131971,moreton-bay
"Body Bliss Medi Spa & Skin Clinic",-27.2303154,153.1162762,moreton-bay
"Botanique Skin Wellness Spa",-27.1445057,152.9471751,moreton-bay
"Bottlemart Redcliffe",-27.2356823,153.1004771,moreton-bay
"Bramble Bay Bowls Club",-27.2592484,153.1017198,moreton-bay
"Bramble Bay Co",-27.1956929,153.0126828,moreton-bay
"Bramble Bay General",-27.2564703,153.0893783,moreton-bay
"Brand Hero",-27.325134,152.987968,moreton-bay
"Bribie Bait Tackle & Bikes",-27.0835584,153.1586956,moreton-bay
"Bribie Island Seaside Musuem",-27.085937,153.159445,moreton-bay
"Bridgestone Woody Point",-27.2601006,153.1030076,moreton-bay
"Bright Suds Laundromat",-27.2845881,152.9582439,moreton-bay
"Brisbane Digital Co",-27.3122563,152.9878895,moreton-bay
"Buddy Brewing",-27.1533751,152.9747735,moreton-bay
"Bunya Waste Management Facility",-27.3809472,152.9423087,moreton-bay
"Burpengary Market",-27.160928,152.941942,moreton-bay
"Burrito Bar Burpengary",-27.1543736,152.9742632,moreton-bay
"Buzz Stop Espresso Bar",-27.369755,152.8869911,moreton-bay
"C and D Cruise n Travel",-27.0978385,152.9414513,moreton-bay
"Caboolture Bowl and Mini Golf",-27.1062561,152.9488441,moreton-bay
"Caboolture Physical Therapy Centre",-27.082704,152.94984,moreton-bay
"Caboolture Regional Art Gallery",-27.0837124,152.9504103,moreton-bay
"Caboolture Screenprinters",-27.0767857,152.9494838,moreton-bay
"Caboolture Sports Club",-27.1090284,152.9508645,moreton-bay
"Caboolture Steering Specialists",-27.0835643,152.9802318,moreton-bay
"Caboolture Steering Specialists",-27.0835643,152.9802318,moreton-bay
"Caboolture Waste Management Facility",-27.0732315,152.9897179,moreton-bay
"Cafe Bella Bribie Island",-27.0637374,153.1569899,moreton-bay
"Cafe da Cruize",-27.08452,152.95245,moreton-bay
"Cafe Diversity",-27.2285456,153.1153118,moreton-bay
"Cafe Lagarto",-27.3729922,152.8665161,moreton-bay
"Caldera Caking",-27.4016486,152.9567007,moreton-bay
"Calming Cocoon",-27.2253734,153.0219381,moreton-bay
"Camellia Home",-27.2280675,153.1141109,moreton-bay
"Candice Epthorp Photography",-27.2025595,153.1132599,moreton-bay
"Capital Blue",-27.2274274,153.1144464,moreton-bay
"Capulet  Expresso",-27.2500872,153.103492,moreton-bay
"Chilli Coffee",-27.1615373,152.958072,moreton-bay
"City Cave North Lakes",-27.2268873,153.0034906,moreton-bay
"Clip Socks",-27.3739134,152.8824639,moreton-bay
"Clontarf Beach State High School",-27.24825,153.0895297,moreton-bay
"Clontarf Discount Drug Stores",-27.2606504,153.0796886,moreton-bay
"Club Pine Rivers",-27.2878998,152.9779839,moreton-bay
"Coast to Country Locksmiths",-27.0526363,152.9470947,moreton-bay
"Coastal Flowers",-27.1286872,153.0522546,moreton-bay
"Coffee Club - Strathpine Centre",-27.3071578,152.9911067,moreton-bay
"Coffee Cups on Victoria",-27.2358391,153.1004656,moreton-bay
"Colour Consultants Brisbane",-27.2089663,153.1091779,moreton-bay
"Cookie Lane",-27.2306256,153.0038058,moreton-bay
"Copylink Office National",-27.325134,152.987968,moreton-bay
"Core Computers",-27.346076,152.9675843,moreton-bay
"Cosy Couch Yarn Store",-27.2282172,153.1145446,moreton-bay
"Country to City Junktiques",-27.3212937,152.9916262,moreton-bay
"Cowgirl Essence",-27.0816884,152.9087375,moreton-bay
"Crafted with Love",-27.2285674,153.0206277,moreton-bay
"Crafty Gardener",-27.083002,152.9507957,moreton-bay
"Creek to Coast Plumbing",-27.1151376,152.9200631,moreton-bay
"Crew Legal",-27.2263557,153.0859928,moreton-bay
"Cubby House Coffee",-27.3172405,152.9771436,moreton-bay
"D-Sol Cafe",-27.3967034,152.9482942,moreton-bay
