name,latitude,longitude,micrositeSlug
"Alpinwood Collection",-37.0226019,147.2399708,mt-hotham
"Cafe Play/Alpine Babysitting",-37.0247598,147.2439937,mt-hotham
"Dinner Plain Accommodation",-37.0226019,147.2399708,mt-hotham
"Hotham Central Supermarket",-36.9817541,147.1425007,mt-hotham
"Hoys Skis Pty Ltd (Dinner Plain)",-37.0223385,147.239651,mt-hotham
"Hoys Skis Pty Ltd (Hotham Heights)",-36.9822818,147.1418719,mt-hotham
"Last Run Bar",-36.9838475,147.1420628,mt-hotham
"Miss Mary's Bar & Eats",-36.974981,147.1347529,mt-hotham
"Omeo Ski Hire & Service Station",-37.1004902,147.5904628,mt-hotham
"Ramada Resort by Wyndham Dinner Plain",-37.0226745,147.2405551,mt-hotham
"Snow Monkey",-36.9940851,147.1509608,mt-hotham
"Hot Doggies",-36.974981,147.1347529,mt-hotham
"Snow Stuff Park",-37.0092306,147.0803019,mt-hotham
"Tirol Sports",-36.9844559,147.1450971,mt-hotham
"Hoys Skis Pty Ltd (Jack Frost)",-36.9940851,147.1509608,mt-hotham
"Hoys Skis Pty Ltd (Harrietville)",-36.8895633,147.0641979,mt-hotham
"Chill Bar and Cafe",-36.9817541,147.1425007,mt-hotham
"The General",-36.9935485,147.1535097,mt-hotham
"Hotel High Plains",-37.0224886,147.2415914,mt-hotham
