name,latitude,longitude,micrositeSlug
"Alby & Esthers",-32.5910815,149.5881558,mudgee-money
"Aquarius Car Wash",-32.6050391,149.5990005,mudgee-money
"Baker Williams Distillery",-32.5621444,149.6048644,mudgee-money
"Beauty Reclaimed",-32.5910099,149.5897824,mudgee-money
"Blowes Clothing",-32.5914243,149.5882084,mudgee-money
"Byrnes Jewellers",-32.5913894,149.5874031,mudgee-money
"Byron Perry",-32.5918933,149.5862235,mudgee-money
"Byron Place Butchery",-32.5913353,149.5873964,mudgee-money
"Cedar Cicada",-32.5915512,149.5882067,mudgee-money
"Cloth & Feather",-32.5921512,149.5862378,mudgee-money
"Club Mudgee",-32.5929589,149.5863369,mudgee-money
"Edited and Co",-32.5915792,149.5881617,mudgee-money
"Florence May Intimates",-32.5913089,149.5871816,mudgee-money
"Forget Me Not Mudgee",-32.5910686,149.5870078,mudgee-money
"Hi Tech IT Worx",-32.6130743,149.6036196,mudgee-money
"Intersport Mudgee",-32.5920404,149.5880238,mudgee-money
"Kelly's Irish Pub",-32.5928526,149.588622,mudgee-money
"Krysties Boutique",-32.5955635,149.587358,mudgee-money
"LadyBeetle",-32.5910814,149.5881523,mudgee-money
"Laneway Boutique",-32.5910674,149.5865411,mudgee-money
"Lizzie Lulu Designs",-32.5912367,149.588017,mudgee-money
"Mudgee Brewing Company",-32.590246,149.5884895,mudgee-money
"Mudgee Camping & 4WD",-32.6062493,149.5985779,mudgee-money
"Mudgee Home Décor",-32.590932,149.5903818,mudgee-money
"Mudgee Newsagency",-32.5912625,149.5873971,mudgee-money
"Mudgee Nursery",-32.5874203,149.5879627,mudgee-money
"Mudgee Region Tourism",-32.5903346,149.5853953,mudgee-money
"Mudgee Travel & Cruise",-32.5925572,149.5881471,mudgee-money
"Oriental Hotel",-32.5935706,149.5904153,mudgee-money
"Petries Mitre 10",-32.5963476,149.5874053,mudgee-money
"Power Tools Plus",-32.6090216,149.599668,mudgee-money
"Robert Stein Winery",-32.5416636,149.6641369,mudgee-money
"S&S Meats",-32.5925659,149.5862129,mudgee-money
"SportsPower Mudgee",-32.593349,149.5889051,mudgee-money
"Stripes Industrial Supplies Mudgee",-32.6059253,149.5993241,mudgee-money
"The Book Nest Mudgee",-32.5932959,149.5878632,mudgee-money
"The Inside Shop",-32.5927325,149.588482,mudgee-money
"Whatever Mudgee",-32.590893,149.5895129,mudgee-money
"Willow Collective",-32.59105100000001,149.5875315,mudgee-money
"Winning Post Motor Inn",-32.5968978,149.5878482,mudgee-money
"Woolpack Hotel",-32.5910665,149.5878763,mudgee-money
"Work'in beans",-32.6058735,149.5993619,mudgee-money
"Therapy by Krystal",-32.5910126,149.5872162,mudgee-money
"Ice Box Liquor Mudgee",-32.6082031,149.582107,mudgee-money
"Mainly Mudgee Gifts",-32.5926972,149.5879652,mudgee-money
