name,latitude,longitude,micrositeSlug
"MURGON BETTA HOME LIVING",-26.242091,151.940401,murgon
"MURGON MITRE 10",-26.2405436,151.9389915,murgon
"ROBINSONS NEWS & GIFTS-MURGON",-26.2421058,151.9402629,murgon
"MURGON HOME DÉCOR & GIFTS / P&P ELECTRICAL",-26.2410942,151.940721,murgon
"MURGON OUTDOOR EQUIPMENT",-26.2405161,151.9394988,murgon
"MURGON TYRES  & MORE",-26.2425529,151.9429932,murgon
"ALICIA’S SPA & HAIRWORX",-26.2411212,151.9383262,murgon
"MURGON FRUIT MART",-26.2438898,151.9417127,murgon
"CLIFTON MOTORS-MURGON MITSUBUSHI",-26.2444569,151.9412238,murgon
"MURGON GOLF CLUB",-26.2385249,151.9323947,murgon
"SOUTH BURNETT PCYC",-26.246086,151.9398246,murgon
"J A CARROLL-SOLICITORS",-26.2417227,151.9400663,murgon
"MURGON AMCAL+ PHARMACY",-26.2416097,151.9396318,murgon
"CENTRAL BALANCE MURGON",-26.242258,151.9423987,murgon
"NORCO RURAL AGRI - MURGON",-26.2456598,151.9443722,murgon
"ACKINCLOSE PLUMBING & IRRIGATION",-26.235569,151.9284515,murgon
"MURGON SAND & GRAVEL",-26.2264241,151.9310341,murgon
"MURGON FURNITURE ZONE",-26.241742,151.9401577,murgon
"PRATT AGENCIES",-26.2414047,151.9411639,murgon
"LIGHTNING TREE WINES",-26.3066783,152.0154193,murgon
"CHESHIRE MACHINERY",-26.2352231,151.927833,murgon
"MURGON GARDEN CENTRE",-26.2321532,151.9301195,murgon
"MURGON SPORTS POWER",-26.241896,151.9402067,murgon
"Murgon Post Office",-26.242258,151.9423987,murgon
"COLLARDS FUEL SUPPLIES",-26.2360131,151.9422258,murgon
"PURSERS COACHES / PURSERS TRAVEL & CRUISE",-26.2454514,151.9386943,murgon
"MOFFATDALE RIDGE WINES",-26.2934073,152.0063004,murgon
"CLOVELY ESTATE",-26.2938775,152.014905,murgon
"BARAMBAH MACHINERY",-26.2365284,151.9292049,murgon
"CAFÉ MURGON",-26.2410875,151.9403635,murgon
"MURGON PIZZA PERFECTION",-26.2412212,151.9408419,murgon
"WILEY'S BUTCHERY",-26.242253,151.94081,murgon
"MURGON BAKERY",-26.2411926,151.9408819,murgon
"ROYAL HOTEL - Murgon",-26.2415391,151.9415662,murgon
"MURGON SERVICES CLUB",-26.2426357,151.9411012,murgon
"MARK SMITH'S MENSWEAR",-26.2420583,151.940211,murgon
"CARNEY'S FEED STORE",-26.2411172,151.9386028,murgon
"THE COFFEE BAR 4605",-26.2419559,151.9405693,murgon
