name,latitude,longitude,micrositeSlug
"JA Smith Solutions",-30.31371099999999,149.776775,narrabri
"SportsPower Narrabri",-30.3262045,149.783238,narrabri
"Narrabri Shire Visitor Information Centre",-30.3266417,149.7829223,narrabri
"Hassab's Fashions",-30.7038015,150.0443999,narrabri
"Thomas' Corner Store",-30.32758,149.7880045,narrabri
"Wee Waa Newsagency & Gift Shop",-30.3205203,149.7819951,narrabri
"C & D Electronics",-30.3247669,149.7820969,narrabri
"Professional Clinic Of Skin & Hair",-30.3205203,149.7819951,narrabri
"Ranbuild",-30.3205203,149.7819951,narrabri
"Sprayer Barn Narrabri",-30.3146171,149.7768402,narrabri
"Jojoba Natural",-30.3205203,149.7819951,narrabri
"Narrabri West Post Office",-30.3205203,149.7819951,narrabri
"Boggabri Meats",-30.7033453,150.0445392,narrabri
"The Grayhound",-30.3263237,149.7832671,narrabri
"North Western Courier",-30.3263087,149.7837181,narrabri
"NuYu Day Spa & Beauty",-30.3243667,149.7822283,narrabri
"Imagine Nails & Beauty",-30.3301391,149.787796,narrabri
"Boggabri Pharmacy",-30.7043991,150.0437611,narrabri
"The Pilliga Hotel",-30.3524028,148.8925145,narrabri
"Imperial Hotel",-30.22513769999999,149.4442596,narrabri
"Paradise Fresh",-30.329362,149.776168,narrabri
"Toyworld",-30.3262352,149.7833535,narrabri
"Palmers Market Wee Waa",-30.2248212,149.4436579,narrabri
"Specialised Civil Services",-30.3424758,149.8041534,narrabri
"Turners Signs",-30.3141314,149.7757063,narrabri
"Blooms on Maitland",-30.326074,149.7830657,narrabri
"Pilliga Café",-30.3517626,148.8885619,narrabri
"Mitre 10 Wee Waa",-30.225238,149.4441595,narrabri
"Kellys Car Sales",-30.3305313,149.7760792,narrabri
"Ultra Lubricants Wee Waa",-30.223855,149.435669,narrabri
"MJ's Newsagency",-30.3263087,149.7837181,narrabri
"The Vault Restaurant Boggabri",-30.7043568,150.0443307,narrabri
"Agies Rural Retail",-30.22790609999999,149.4345224,narrabri
"Nutrien Ag Supplies (formerly Landmark Narrabri)",-30.3130917,149.7789298,narrabri
"Monterey Cafe",-30.3270824,149.7839739,narrabri
"Carlos Supa IGA Wee Waa",-30.2253882,149.4437804,narrabri
"Redette's Hair Studio",-30.7042427,150.043629,narrabri
"Lisa Dees",-30.3263087,149.7837181,narrabri
"Namoi Dry Cleaners",-30.3295896,149.7851987,narrabri
"Carve Up Auto",-30.3336091,149.7549253,narrabri
"Visage Beauty & Medi Spa",-30.3242167,149.7827845,narrabri
"Clipjoint Hairdressing",-30.3252188,149.7835099,narrabri
"Bellata Golf Club",-29.9193706,149.7996978,narrabri
"Narrabri 4WD Centre",-30.3282823,149.7851289,narrabri
"Coogle Café",-30.3239418,149.7843502,narrabri
"Wee Waa Pharmacy",-30.2249866,149.4436733,narrabri
"Tapscott Services",-30.3228118,149.7814319,narrabri
"Coogle Cottage",-30.3239416,149.7843502,narrabri
"Boggabri Hardware",-30.7047163,150.0425655,narrabri
"Narrabri Ag Bearing & Spares",-30.3131367,149.7757289,narrabri
"Marinda Café",-30.2258,149.4355846,narrabri
"Craddock and Sons",-30.3241422,149.7829124,narrabri
"Westlands Supermarket",-30.3382519,149.7530993,narrabri
"Tatts Bistro",-30.3273023,149.7845654,narrabri
"Marval Designs",-30.325925,149.7829505,narrabri
"Narrabri Sporties (formerly Bowling Club)",-30.3216762,149.7814178,narrabri
"The Bluebird Café Boggabri",-30.7044008,150.0436576,narrabri
"Crossing Theatre",-30.3224582,149.7801513,narrabri
