name,latitude,longitude,micrositeSlug
"Numurkah Caravan Park",-36.0948734,145.4419046,numurkah
"Dubuque Bed & Breakfast",-36.0989466,145.4425643,numurkah
"Murray Valley Rural & Plumbing",-36.0931859,145.4407499,numurkah
"Peter Hill Power",-36.0882085,145.4322247,numurkah
"R & B Butchers",-36.0911987,145.4424839,numurkah
"Vinnies",-36.0918156,145.4420866,numurkah
"El Toro Motel",-36.0933831,145.4420882,numurkah
"Numurkah Leader",-36.0915452,145.4420344,numurkah
"Meat on Melville",-36.08897109999999,145.4419803,numurkah
"Sportfirst Numurkah",-36.0926608,145.442467,numurkah
"Black Dragon Seats**",-36.0939581,145.4354586,numurkah
"Numurkah Furniture Bedding & Removals",-36.0917039,145.4420861,numurkah
"Hair Societe",-36.0911391,145.4424198,numurkah
"Flowers on Melville",-36.0911391,145.4424198,numurkah
"Monichino Wines",-37.6757145,144.9149865,numurkah
"Foodworks Numurkah",-36.0916658,145.4426017,numurkah
"Brennans Veterinary Service",-36.089513,145.442699,numurkah
"Numurkah Alliance Pharmacy",-36.08926659999999,145.4425103,numurkah
"Numurkah Golf and Bowls Club",-36.0952473,145.4517496,numurkah
"Numurkah Self Contained Apartments",-36.088525,145.4404769,numurkah
"Adventure Awaits",-36.0908997,145.4420828,numurkah
"Brereton's Bakery Numurkah",-36.0917643,145.4403038,numurkah
"Capri Pizza",-36.0920928,145.4419911,numurkah
"Wunghnu Cafe",-36.1515217,145.4320498,numurkah
"Agnew’s Plumbing Plus",-36.0924954,145.442705,numurkah
"Casual Step",-36.0896061,145.4424682,numurkah
"JSI Automotive",-36.0914412,145.4326923,numurkah
"Jung Sarn Harbour Chinese Restaurant",-36.0919483,145.4420872,numurkah
"Shamrock Hotel",-36.0888255,145.442718,numurkah
"Numurkah Leader Newspaper",-36.0915452,145.4420344,numurkah
"How Now Ethical Dairy",-36.0930872,145.4411449,numurkah
"Numurkah Community Learning Centre",-36.0919871,145.4424754,numurkah
"Numurkah Bottle-O",-36.0916958,145.4425091,numurkah
"Numurkah Bakery Cafe",-36.0912479,145.4424841,numurkah
"Takeaway On Melville",-36.0892326,145.4425093,numurkah
"Numurkah Chemist Discount Centre",-36.09134969999999,145.4420847,numurkah
"Numurkah Hardware",-36.090985,145.4427815,numurkah
"Rush Food & Grazing",-36.0910359,145.4420834,numurkah
"Ultimate Auto Repairs",-36.0927339,145.440902,numurkah
"Numurkah Newsagency",-36.0911939,145.4419911,numurkah
"Telegraph Hotel",-36.0914503,145.4424849,numurkah
"Providing All Living Support (PALS)",-36.0918851,145.4425095,numurkah
"Vive Hair And Beauty",-36.0896937,145.4420795,numurkah
