name,latitude,longitude,micrositeSlug
"AA Blatch",-33.138621,148.1755332,parkes
"Aastro Dish Motor Inn",-33.1402553,148.1715606,parkes
"Ag N Vet Trundle",-32.9229441,147.7106427,parkes
"Agriwest Parkes",-33.1427342,148.1874678,parkes
"Agriwest Peak Hill",-32.7260966,148.1914501,parkes
"Andrews Auto Electrics",-33.1412097,148.1707666,parkes
"Arnolds",-33.1359809,148.1747281,parkes
"Body Express",-33.1376103,148.1751828,parkes
"Broadway Hotel",-33.13459700000001,148.1746543,parkes
"Casho's - Tullamore",-32.6322423,147.5645308,parkes
"Choices Flooring",-33.1492471,148.1668621,parkes
"Colouby Creations",-33.1359219,148.1749435,parkes
"Country Roads Peak Hill",-32.7211497,148.1892911,parkes
"Craft Corner",-33.1352527,148.1747897,parkes
"Cunninghams IGA",-33.1327943,148.1735866,parkes
"Deli Fresh - Peak Hill",-32.7246538,148.1906733,parkes
"Discount Daves",-33.1367894,148.1742209,parkes
"Frank Spice Parkes",-33.1540449,148.1620202,parkes
"Grand Hotel",-33.140711,148.17721,parkes
"Griffins Leading Edge",-33.13745600000001,148.175132,parkes
"Hamilton’s Henry Parkes Motor Inn",-33.1389139,148.1743651,parkes
"Harvey Norman Electrics Parkes",-33.1550818,148.1643961,parkes
"Janice Cassidy Hair Salon",-33.1381033,148.1745287,parkes
"Kindred Beauty Lounge",-33.1369558,148.1750659,parkes
"Kinsela's Motorcycles",-33.1385721,148.1743655,parkes
"La Bella MediSpa",-33.1357438,148.1755663,parkes
"Leading Edge Computers",-33.1358197,148.1746877,parkes
"Little Black Dress",-33.1343765,148.1738344,parkes
"Mapperson Mechanical",-33.1313027,148.1612428,parkes
"Medlyns Auto Service",-33.1415292,148.1779465,parkes
"Nangar Gems",-33.1365919,148.1750102,parkes
"Nicky-May’s",-33.136789,148.174221,parkes
"OPSM Parkes",-33.1342404,148.1746415,parkes
"Parkes Aquatic Centre",-33.1378682,148.1721722,parkes
"Parkes Betta Home Living",-33.1547354,148.1637551,parkes
"Parkes Brick Paver & Tiles Supplies",-33.1513843,148.1667962,parkes
"Parkes Central Butchery",-33.1358714,148.1747655,parkes
"Parkes Coffee Pot",-33.1367515,148.1750093,parkes
"Parkes Décor Shoppe",-33.1385973,148.1747431,parkes
"Parkes Healing Massage Clinic",-33.13867949999999,148.1761728,parkes
"Parkes Optical Services",-33.1367515,148.1750093,parkes
"Parkes Shire Council",-33.1341434,148.1727654,parkes
"Parkes Tyrepower & Mechanical",-33.1368049,148.1724966,parkes
"Parkes Visitor Information Centre",-33.1203433,148.1766717,parkes
"Peak Hill Boomerange Café",-32.7237372,148.1912022,parkes
"Peak Hill Newsagency",-32.7249479,148.1907881,parkes
"Peak Hill Pharmacy",-32.7245437,148.1906256,parkes
"Peak Hill Post Office",-32.7235646,148.1903377,parkes
"Power Tools Plus",-33.1524891,148.1662586,parkes
"Prouds The Jewellers",-33.1354039,148.1739937,parkes
"Regional Business Supplies",-33.1392588,148.1757226,parkes
"Roasted Kombi Café",-33.13539950000001,148.1746321,parkes
"Ron Dunford Chemist",-33.1361277,148.1742094,parkes
"Smeaton’s Bakehouse",-33.1391702,148.1749546,parkes
"Sportspower",-33.1372337,148.1745255,parkes
"Styles Hair & Clothing",-33.1356614,148.1744534,parkes
"Switch Signs (Formally TTT Signs)",-33.1427734,148.1868561,parkes
"Telescope Tyre & Batteries",-33.1489273,148.1676388,parkes
"Temple Lions Antiques, Lolly Shop & Patisserie",-32.7251678,148.1909016,parkes
"Terry Bros Carpet Court",-33.1360296,148.1735866,parkes
"The Railway Hotel Parkes",-33.1417061,148.1763936,parkes
"Totally Workwear Parkes",-33.1361033,148.175404,parkes
"Trundle Hotel",-32.922874,147.7095795,parkes
"Trundle Pharmacy",-32.922093,147.710117,parkes
"Trundle True Value",-32.9173489,147.7076014,parkes
"Tullamore Rural Trading",-32.631536,147.5649614,parkes
"Wholesome Blend",-33.13325500000001,148.1743621,parkes
"Butterbeef Butchery",-33.1358192,148.1745122,parkes
"Red Spot Express",-32.7271614,148.1926546,parkes
"Westside Petroleum Peak Hill",-32.7265526,148.1914795,parkes
"Hansen Optometrists",-33.1349993,148.1747345,parkes
"Hay's Hardware",-33.1533898,148.1640609,parkes
"Parkes Pharmacy",-33.13395,148.1749518,parkes
"Trundle Foodstore",-32.9219114,147.7096509,parkes
"Parkes TSG & Giftware",-33.1361415,148.1747767,parkes
"Friendly Grocer - Peak Hill",-32.7242158,148.1914067,parkes
"Parkes Leagues Club",-33.1390461,148.1749399,parkes
"Cambridge Hotel",-33.138953,148.1755441,parkes
"Cahills Footwear",-33.1351981,148.1747807,parkes
"Parkes News and Gifts",-33.1359691,148.1742761,parkes
"Worklocker",-33.1359809,148.1747281,parkes
"Parkes Services & Citizens Club",-33.1413775,148.1740685,parkes
