name,latitude,longitude,micrositeSlug
"Ashton's Butchery Pty Ltd",-27.7160498,151.6350638,pittsworth
"Beauaraba Living Aged Care Facility",-27.720549,151.641,pittsworth
"Betta Home Living",-27.7151904,151.6356344,pittsworth
"Cain's Pharmacy",-27.715385,151.6350155,pittsworth
"Clover Country Flowers & Gifts",-27.7159804,151.6352236,pittsworth
"Condamine Clothing",-27.7164572,151.6332149,pittsworth
"Down Under Cellars (Yandilla Cellars)",-27.7173784,151.6312463,pittsworth
"Hollis Rural Trading",-27.7203617,151.6217109,pittsworth
"Lilly Pilly Style",-27.7153611,151.6352122,pittsworth
"Matt's Computers",-27.715197,151.635777,pittsworth
"McKinlay's Nursery & Garden Supplies",-27.7187868,151.6324616,pittsworth
"Pittsworth Bottlemart",-27.7173784,151.6312463,pittsworth
"Pittsworth Golf Club",-27.7201129,151.6242987,pittsworth
"Pittsworth Hotel Motel",-27.7167781,151.6323931,pittsworth
"Pittsworth Metals",-27.7179178,151.6349885,pittsworth
"Pittsworth News",-27.7153196,151.6352768,pittsworth
"Pittsworth Tyre & Battery Supplies",-27.7201885,151.6224413,pittsworth
"RAFF Group",-27.7171159,151.6318243,pittsworth
"Rhythm of Indulgence",-27.7161088,151.6341964,pittsworth
"IGA Pittsworth",-27.7160298,151.6356344,pittsworth
"The Bottlebrush Cafe",-27.7153769,151.6351534,pittsworth
"Harvest New Life Church Incorporated",-27.7179178,151.6349885,pittsworth
