name,latitude,longitude,micrositeSlug
"Intimate Apparell",-38.347103,141.6040819,portland
"Portland Golf Club",-38.36891689999999,141.628913,portland
"South Portland Pharmacy",-38.3593097,141.6157471,portland
"Sportspower Portland",-38.347103,141.6040819,portland
"Alex Cancian Menswear",-38.34648019999999,141.6034524,portland
"Allwood & Ryan, Accountants",-38.3481737,141.603155,portland
"Barkly Street Store",-38.3594475,141.615839,portland
"Bedazzled Portland",-38.347869,141.6038898,portland
"Budj Bim Cultural Landscape Tourism",-38.055847,141.8147058,portland
"Fyfe & Co",-38.3486715,141.6054963,portland
"Gardenlife Centre",-38.3372788,141.5961849,portland
"Gordon Hotel",-38.34958719999999,141.6059411,portland
"Gunnas Surf and Sport",-38.3467428,141.6036744,portland
"Icon Investments",-38.33907749999999,141.6037525,portland
"KnS Precious Products",-38.3460942,141.6040016,portland
"Mens Gear & Beer",-38.3477901,141.6031764,portland
"Moynes Fashions",-38.3464924,141.6039877,portland
"Neart Tide Distillery",-38.3582079,141.6087898,portland
"Planet Kaos",-38.34779839999999,141.6031849,portland
"Portland Disposals Camping & Hardware",-38.34864450000001,141.6052536,portland
"Portland Newsagency (VIC) Pty Ltd",-38.34793,141.6033704,portland
"Portland Snap Fitness",-38.3464457,141.6014933,portland
"Portland Studios",-38.3486681,141.605385,portland
"Prestige Promotions",-38.3487259,141.6044475,portland
"The Shoe Cove",-38.3457964,141.6040163,portland
"Tim Campbell Motorcycles",-38.339819,141.6030994,portland
"Welcome Home Giftware",-38.3448902,141.6031189,portland
"Portland Community Pharmacy",-38.3466824,141.6034425,portland
"The Portland Phone Shop",-38.3457832,141.6041213,portland
"A Little Decorum",-38.3467673,141.603974,portland
"Squidlydids For Kids",-38.3476862,141.6039287,portland
"Macs Hotel Portland",-38.3507397,141.605647,portland
"Whiteheads Timber Sales Portland",-38.3218055,141.5967497,portland
"The UpperCut Butchers",-38.3454332,141.6039667,portland
"Compleat Angler Portland**",-38.3498102,141.6057799,portland
"Ivie & Eve Boutique",-38.3490919,141.6059103,portland
"Bedzzz of Portland",-38.3381841,141.6043936,portland
"Julia St Creative Space",-38.3486546,141.6049408,portland
"Animal Stuff",-38.3392822,141.6043056,portland
"Main Street Cafe",-38.3476081,141.6040453,portland
"Smiths Showcase Jewellers",-38.3459602,141.6034789,portland
"Portland Amcal Pharmacy",-38.34583569999999,141.6034194,portland
"Matt's Lotto, Cards & Gifts",-38.345313,141.6040116,portland
"Portland Betta Home Living",-38.3433277,141.6034399,portland
"Pauline's Absolutely Fabulous Accessories",-38.3491034,141.6059843,portland
"Admellas Fruit n Veg",-38.3454216,141.6040086,portland
"Royal Hotel Portland",-38.34453999999999,141.6035487,portland
