name,latitude,longitude,micrositeSlug
"Quilpie Shire Council",-26.6140267,144.2680833,quilpie
"Quilpie Hardware and Tyre Service",-26.6190438,144.2651556,quilpie
"Outback Hair Studio",-26.6143036,144.2695477,quilpie
"Elles Newsagency",-26.613249,144.2694635,quilpie
"Imperial Hotel Motel Quilpie",-26.6137884,144.2690802,quilpie
"Gilby & Tonkin",-26.6141223,144.271654,quilpie
"Adavale Hotel",-25.909405,144.5992574,quilpie
"All About Aquatics",-26.6134014,144.2723529,quilpie
"Elegant Emu",-25.9013142,144.600521,quilpie
"Quilpie Home Appliances",-26.6136966,144.2694563,quilpie
"Quilpie Licensed Post Office",-26.6139198,144.268552,quilpie
"The Old Empire Cafe",-26.6136168,144.2707013,quilpie
"Eromanga Natural History Museum",-26.6988072,143.2747275,quilpie
"Paulsen Bros Friendly Grocer - Quilpie",-26.6171007,144.2693937,quilpie
"Re-store",-26.6133031,144.2690163,quilpie
"Quilpie Butchery",-26.6139196,144.2664772,quilpie
"Nutrien Ag Solutions",-26.6133878,144.2686223,quilpie
"The Lake",-26.6097046,144.1734111,quilpie
"Elders Rural Services Limited",-26.6140138,144.2675431,quilpie
"Lowes BP Depot",-26.6158947,144.2612817,quilpie
"Unstable Coffee",-26.6201727,144.2657778,quilpie
"Quilpie General Store",-26.6168483,144.2690437,quilpie
"Foodworks Quilpie",-26.6141992,144.2709328,quilpie
"Quilpie Country Collections",-26.6132193,144.2697157,quilpie
"Royal Hotel Eromanga",-26.6686398,143.2667191,quilpie
"Toompine South Western Hotel",-27.2250982,144.3621865,quilpie
