name,latitude,longitude,micrositeSlug
"Alert First Aid and Training**",-34.0523649,139.7784001,riverland-west
"BVMS Chartered Accountants",-34.1792066,139.9872925,riverland-west
"Cadell Club Inc",-34.0367393,139.7642875,riverland-west
"Cafe on McCoy",-34.180084,139.9857494,riverland-west
"Hansen Electric",-34.1893062,139.9801783,riverland-west
"Illalangi Gourmet Foods Gorman",-34.1881739,140.0048514,riverland-west
"Nippy's Sales Kiosk",-34.1815717,139.9889484,riverland-west
"Viewpoint Cafe",-34.1881482,140.00427,riverland-west
"Waikerie Holiday Park",-34.1749812,139.9834848,riverland-west
"WAIKERIE MITRE 10",-34.1805393,139.9869759,riverland-west
"Waikerie Pharmacy",-34.1807416,139.9856091,riverland-west
"Waikerie RSL Sub-Branch",-34.1805757,139.982563,riverland-west
"Woodys Variety Store",-34.1881303,140.00594,riverland-west
"Rollbusch Quality Meats",-34.1808449,139.9853092,riverland-west
"Big River Foodland Waikerie",-34.1797815,139.9852083,riverland-west
"No.1 Home & Gifts",-34.1795547,139.9857199,riverland-west
