name,latitude,longitude,micrositeSlug
"Alfa Bakehouse",-37.805345,144.892229,seddon-village
"Charles Street Butcher",-37.8069011,144.8921411,seddon-village
"Clover Flower Co",-37.8043574,144.8923284,seddon-village
"Eka Wholefoods",-37.803529,144.892497,seddon-village
"Enrich Interiors",-37.8040621,144.8920415,seddon-village
"Far Fetched Designs",-37.8064336,144.8910101,seddon-village
"Foodworks Seddon",-37.8068272,144.8912814,seddon-village
"Happy Apple",-37.8060283,144.8916523,seddon-village
"Inner West Health Clinic",-37.8051722,144.892313,seddon-village
"Kith and Kin",-37.8050277,144.8919154,seddon-village
"Le Spa De Jour",-37.8035486,144.8919906,seddon-village
"Little Man Cafe",-37.8052021,144.8919215,seddon-village
"Lola Cafe",-37.8068277,144.8917112,seddon-village
"Luxsmith",-37.8067218,144.8905273,seddon-village
"Master Dry Cleaner",-37.8068,144.891438,seddon-village
"McManos Chicken Bar",-37.806715,144.8907606,seddon-village
"Miss An'am",-37.8064028,144.8908823,seddon-village
"Mozzarella Bar",-37.8060399,144.8921109,seddon-village
"Offshoot Botanica",-37.806402,144.890882,seddon-village
"Once More with Feeling",-37.8068133,144.8918832,seddon-village
"Pompello",-37.8054271,144.8918832,seddon-village
"Restaurant Navi",-37.8103516,144.8898858,seddon-village
"Seddon Book Alley",-37.8061788,144.8920551,seddon-village
"Sedonia",-37.8083291,144.8903357,seddon-village
"Simple Form",-37.8068268,144.8908515,seddon-village
"Stags Barbershop",-37.8063413,144.8904963,seddon-village
"Superchido",-37.806424,144.891086,seddon-village
"The Brotherhood Yiros & Grill",-37.8037164,144.8938498,seddon-village
"Two Faces Eyewear",-37.8064786,144.8915797,seddon-village
