name,latitude,longitude,micrositeSlug
"242Ate (Club Forster)",-32.1866077,152.5230045,shop-midcoast
"The Junction",-31.9340892,152.4653805,shop-midcoast
"Addictive Imports Taree",-31.9129195,152.4612236,shop-midcoast
"Admire Skincare and Beauty",-31.9136669,152.4597253,shop-midcoast
"Ambyance Hair & Beauty (Club Forster)",-32.1866077,152.5230045,shop-midcoast
"Ashlea Road Boutique",-31.868779,152.3737136,shop-midcoast
"Baker's Choice Taree",-31.9094444,152.4605556,shop-midcoast
"Bass'n' Blues Music Megastore",-31.9122594,152.459496,shop-midcoast
"BBQs Galore Forster",-32.19991,152.5235327,shop-midcoast
"Beach Bums Cafe",-32.1789393,152.5144562,shop-midcoast
"Beaches International Holiday Accommodation",-32.1791995,152.51143,shop-midcoast
"Bent On Food",-31.8686929,152.3733468,shop-midcoast
"Bent On Life",-31.8687662,152.3734843,shop-midcoast
"BIG 4 Colonial Holiday Park",-31.874876,152.6451118,shop-midcoast
"Big 4 Great Lakes",-32.183843,152.491878,shop-midcoast
"Big 4 River Myall",-32.4111256,152.2074866,shop-midcoast
"Blueys Bakehouse",-32.3477716,152.5358501,shop-midcoast
"Boathouse Resort",-32.6623212,152.1561584,shop-midcoast
"Bonzas Cafe",-32.4040933,151.9675221,shop-midcoast
"Boomerang Beach Surf Co",-32.3477307,152.5359775,shop-midcoast
"Boydies Camping Fishing & Hunting",-31.8688671,152.3738765,shop-midcoast
"Breakers Restaurant (Sporties Tuncurry)",-32.1656935,152.5014593,shop-midcoast
"BTs For Fashion",-32.6595552,152.1516527,shop-midcoast
"Bucketts Way Neighbourhood Group",-32.0090156,151.965696,shop-midcoast
"Bulahdelah Pharmacy",-32.4120698,152.2074272,shop-midcoast
"Cafe On Main",-32.4121065,152.2069828,shop-midcoast
"Cafe Toscana",-32.1805763,152.5118478,shop-midcoast
"Centrepoint Gourmet Meat & Chicken",-31.913059,152.460869,shop-midcoast
"Chang Thai Spa & Massage",-32.1813616,152.5126661,shop-midcoast
"Chapman and Wood Chemist",-31.8684809,152.3727201,shop-midcoast
"Circle Of Friends Gloucester",-32.00732130000001,151.9585753,shop-midcoast
"Circle Of Friends Nabiac",-32.0995709,152.3777438,shop-midcoast
"Circle Of Friends Taree",-31.9134524,152.4603737,shop-midcoast
"Circle Of Friends Tea Gardens",-32.6675817,152.1603745,shop-midcoast
"Circle Of Friends Wingham",-31.8687437,152.3746141,shop-midcoast
"Cleavers Tyres",-31.9108015,152.4658023,shop-midcoast
"Cleavers Tyres Wingham (Bridgestone Service Centre)",-31.8694064,152.3720174,shop-midcoast
"Club Taree",-31.89381209999999,152.4453134,shop-midcoast
"Club Taree (DineOn19)",-31.89381209999999,152.4453134,shop-midcoast
"Club Taree (Hive)",-31.89381209999999,152.4453134,shop-midcoast
