name,latitude,longitude,micrositeSlug
"Auto One Singleton (Mikes Auto Parts)",-32.5609334,151.1730914,singleton
"It's Endless (formerly Endless Engraving @ The Blue Shed)",-32.5618314,151.1708623,singleton
"Beyond Broke Mechanical & Automotive Services",-32.7844736,151.0941073,singleton
"Club Singleton",-32.5651168,151.1744586,singleton
"Club Singleton - Thai Family Restaurant",-32.5651168,151.1744586,singleton
"Singleton Golf Club",-32.5616576,151.1815149,singleton
"Singleton Outdoors",-32.5618314,151.1708623,singleton
"Singleton Tyre and Battery Centre",-32.5610859,151.1727766,singleton
"Singleton Active",-32.5568389,151.1781205,singleton
"T & A Ward Highway Services",-32.573131,151.1829088,singleton
"Ascella Organic Wine",-32.6952578,151.0064145,singleton
"Singleton Mazda",-32.56191570000001,151.1754146,singleton
"Thomas Wines",-32.7283074,151.256436,singleton
"Monkey Place Catering",-32.5682823,151.1795485,singleton
"So Young Nail & Beauty",-32.5652111,151.1668278,singleton
"Yellow Billy Restaurant",-32.7100785,151.2615807,singleton
"Singleton Visitor Information Centre",-32.5729765,151.18148,singleton
"Singleton PCYC",-32.5682823,151.1795485,singleton
"Molly's Singleton",-32.56763310000001,151.1646159,singleton
"Singleton Heights Bakery John Street",-32.5661125,151.166697,singleton
"Singleton Heights Bakery Blaxland Ave",-32.5528646,151.1554855,singleton
"Hunter Pet Motel",-32.5824952,151.3628277,singleton
"Innate Style",-32.561142,151.1717753,singleton
"Evidence Board Co",-32.5660092,151.1668374,singleton
"FlatOut Massage",-32.5413613,151.1793297,singleton
"Singleton Physiotherapy and Allied Health",-32.566977,151.1790612,singleton
"Telaynee Hair & Beauty",-32.56763310000001,151.1646159,singleton
"Hunter Jewellers Pty Ltd",-32.5666963,151.166037,singleton
"Helloworld Travel Singleton",-32.565846,151.1669736,singleton
"Alroy Park Pty Ltd",-32.5491609,151.1619536,singleton
"The Horse and Jockey Hotel",-32.5627343,151.1752097,singleton
"Hunter Osteopathy",-32.563924,151.1768941,singleton
"Wombat Crossing Vineyard",-32.6963407,151.2560085,singleton
"Indulgence Salon and Spa",-32.5652909,151.1682902,singleton
"All Seasons Hunter Pools and Woodfires",-32.5690515,151.162203,singleton
"Assertive Health",-32.563924,151.1768941,singleton
"Cervoz Cafe and Catering Homewares",-32.5647043,151.1670263,singleton
"Leconfield House",-32.6514612,151.4009293,singleton
"Nightingale Wines",-32.7488265,151.0941439,singleton
"The Eye Place",-32.5655179,151.1665203,singleton
"Thistle Hill Guesthouse",-32.7011897,151.2634047,singleton
"Tintilla Estate Wines",-32.713323,151.2580698,singleton
"Two Fat Blokes",-32.7094939,151.2575745,singleton
"Busy Needles",-32.5598688,151.1721597,singleton
"Inspired Embroidery and Sewing",-32.5598688,151.1721597,singleton
"Kermodes Rural & Dairy",-32.5491471,151.1408203,singleton
"Hunter Valley Elite Window Tinting",-32.57027890000001,151.1647155,singleton
"Jones Carpet Court",-32.5629405,151.1692292,singleton
"Jos Remedial Massage",-32.5660253,151.1868332,singleton
"Kerri Garvie Bookkeeping",-32.5676452,151.1638101,singleton
"Keida Hair Stylist",-32.5633145,151.168667,singleton
"Margan Wines & Restaurant",-32.7531892,151.0940391,singleton
"Any Type Pumps & Irrigation",-32.5697235,151.1630098,singleton
"Singleton Pump and Water Systems",-32.56823930000001,151.1622982,singleton
"Coates",-32.6221253,151.1042759,singleton
"That Little Art Place",-32.567298,151.165483,singleton
"Little Secrets Boutique",-32.5663255,151.1657904,singleton
"Worn Out Wares",-32.5615659,151.1747226,singleton
"Joosh Hair and Makeup",-32.5650603,151.166472,singleton
"Johnstons Shoes",-32.56763310000001,151.1646159,singleton
"Quest Singleton",-32.5578537,151.1788611,singleton
"Mid City Motor Inn Singleton",-32.56239130000001,151.1695035,singleton
"Lancaster Motor Group",-32.5769968,151.1843603,singleton
"Hollydene Estate Wines & Vines Restaurant",-32.4483139,150.8314993,singleton
"Dolly's Charity Shop",-32.5612935,151.1745446,singleton
"Meyn Street Meats",-32.565622,151.1665149,singleton
"Club Dorsman",-32.5491609,151.1619536,singleton
"Rita's Bistro",-32.5616793,151.1814969,singleton
"Eatons Mitre 10",-32.5734814,151.168543,singleton
"Krinklewood Estate",-32.7955194,151.074316,singleton
"Park View Cafe",-32.5760029,151.1825614,singleton
"Pure Essence Skin Body & Tanning",-32.56600900000001,151.166837,singleton
"Valley Blockout Blinds",-32.5631263,151.1694339,singleton
"Rafas Food Truck",-32.5887993,151.192759,singleton
"Redbournberry Clothing Co.",-32.5646927,151.167239,singleton
"Tuscany The Wine Resort P/L",-32.7290635,151.2591116,singleton
"Robert's Meats",-32.5663112,151.1638251,singleton
