name,latitude,longitude,micrositeSlug
"Hot Copper",-28.6552957,151.9337299,stanthorpe
"Bendigo Community Bank Stanthorpe",-28.6551105,151.9350814,stanthorpe
"Gleesons Mercery",-28.6552957,151.9337299,stanthorpe
"Gracious Giving",-28.6560666,151.9334944,stanthorpe
"Stanthorpe Print & Copy",-28.6559889,151.9342513,stanthorpe
"Granite Belt Guardian Pharmacy",-28.6554378,151.9337568,stanthorpe
"Stanthorpe Health & Rehabilitation Centre",-28.6585616,151.9337754,stanthorpe
"John Vichie Firearms",-28.6576938,151.9352186,stanthorpe
"Mal Jackson Physiotherapy",-28.6567486,151.933523,stanthorpe
"Chilli in Stanthorpe",-28.7748371,151.8515163,stanthorpe
"Stanthorpe Workwear & Embroidery",-28.6545206,151.9337111,stanthorpe
"Stanthorpe Amcal Pharmacy",-28.6569525,151.9336866,stanthorpe
"Jester Hill Wines",-28.7279803,151.8534,stanthorpe
"Indigo Hair Design",-28.6559971,151.9346454,stanthorpe
"M & M Timber & Building Supplies",-28.6759228,151.9540841,stanthorpe
"Lilys Cafe",-28.6546548,151.9348753,stanthorpe
"Lifestyle Footwear",-28.6552957,151.9337299,stanthorpe
"Stanthorpe & District Tyre Service",-28.6614108,151.9320174,stanthorpe
"Pure Heaven",-28.6569762,151.9341376,stanthorpe
"Twisted Gum Wines",-28.8059291,151.8773174,stanthorpe
"Sancerre Estate",-28.7988793,151.8334712,stanthorpe
"Granite Belt Medical Services",-28.6547072,151.9347586,stanthorpe
"Stanthorpe Therapeutic Centre",-28.655915,151.9353101,stanthorpe
"Castle Glen Liqueurs Australia P/L",-28.5510054,151.9271013,stanthorpe
"Pure Inca",-28.6562273,151.9343683,stanthorpe
"Stanthorpe Glass & Aluminium",-28.6503287,151.9184357,stanthorpe
"Luxury Home Living",-28.6537291,151.9351889,stanthorpe
"Studs n Stuff Piercing and Beauty",-28.653936,151.935083,stanthorpe
"Masquerade Hair Studio",-28.6552368,151.9348985,stanthorpe
"Crystal Ridge Lavenders",-28.655498,151.9174324,stanthorpe
"Smails Swim School",-28.652172,151.9320014,stanthorpe
"Mega Movie Sale",-28.653936,151.935083,stanthorpe
"Mick's Four Seasons Nursery",-28.6177856,151.9535467,stanthorpe
"The Eclectic Pallet",-28.656322,151.9333994,stanthorpe
"Sam's Farm Fresh Fruit & Veges",-28.5198272,151.9500136,stanthorpe
"Central Hotel Bottle-O",-28.6547465,151.9357902,stanthorpe
"Top Beat Entertainment",-28.6536781,151.9372765,stanthorpe
"Elite Torque Mechanical",-28.6521662,151.9143202,stanthorpe
"Howard Trade Centre",-28.6683205,151.9367211,stanthorpe
"Stanthorpe Golf Club",-28.6448105,151.9513857,stanthorpe
"Stanthorpe Sports & Camping",-28.6558752,151.9350948,stanthorpe
"Stanthorpe Salvation Army Family Store",-28.657825,151.9338983,stanthorpe
"MWF Plumbing",-28.6579539,151.9333994,stanthorpe
"Burton & Sons Bi-Rite",-28.653679,151.9358817,stanthorpe
"Stanthorpe Quality Meats",-28.65389,151.935857,stanthorpe
"Pink Poppies Living Creatively",-28.6552795,151.9347155,stanthorpe
"Mansara Hair",-28.6554124,151.9339042,stanthorpe
"Stanthorpe Post Office",-28.6555944,151.9338905,stanthorpe
"Orso Thai Restaurant",-28.6550574,151.9354475,stanthorpe
"Ballandean General Store",-28.799583,151.842224,stanthorpe
"Kent Saddlery",-28.6549476,151.9176216,stanthorpe
"Brinx Deli & Cafe",-28.6559616,151.9340717,stanthorpe
"Zenik Hippy Shop",-28.6549469,151.9341591,stanthorpe
"TyrePower",-28.6583802,151.932782,stanthorpe
"High Street Motel & Steakhouse",-28.6432413,151.9490531,stanthorpe
"Stanthorpe Mitre 10",-28.6577562,151.9340982,stanthorpe
"Pierpoint Motors",-28.6584316,151.9331977,stanthorpe
"Slaps Coffee House Cafe",-28.653936,151.935083,stanthorpe
"Jamworks Gourmet Foods",-28.7465343,151.8731596,stanthorpe
"Go Vita Stanthorpe",-28.6567167,151.936457,stanthorpe
"O'Mara's Hotel",-28.65751169999999,151.9340397,stanthorpe
"Sabos On Severn",-28.740487,151.8669738,stanthorpe
"Stanthorpe Cheese",-28.5441787,151.9223226,stanthorpe
"Diamondvale Estate",-28.66568119999999,151.9493453,stanthorpe
"Andersens Carpets Stanthorpe",-28.6551515,151.9344707,stanthorpe
"Hidden Creek Winery & Café",-28.805715,151.875356,stanthorpe
"Vintage Roads",-28.6286524,151.9541756,stanthorpe
"JSI Motorcycles & Small Engines",-28.6520502,151.9145489,stanthorpe
"Anna's Candles",-28.8016841,151.8417212,stanthorpe
"Granite Belt Cleaning & Hospitality Supplies",-28.6554167,151.9345308,stanthorpe
"Stanthorpe RSL Services Club Inc",-28.65223,151.9337272,stanthorpe
"The Granite Belt Maze",-28.5898138,151.9650614,stanthorpe
"Ballandean Estate Wines",-28.8138923,151.8143216,stanthorpe
"Varias Restaurant@ Queensland College Of Wine Tourism",-28.6551515,151.9344707,stanthorpe
"Vincenzo’s - The Big Apple",-28.5502546,151.9502194,stanthorpe
"Country Club Hotel Motel",-28.6562812,151.9337717,stanthorpe
"Granite Belt Christmas Farm",-28.6230673,151.9743755,stanthorpe
"Ridgemill Estate",-28.6966009,151.9001949,stanthorpe
"Stanthorpe Thai Restaurant",-28.6549843,151.9354859,stanthorpe
"Central Hotel Stanthorpe",-28.6547465,151.9357902,stanthorpe
"Cuts & Curls",-28.6560471,151.9343204,stanthorpe
