name,latitude,longitude,micrositeSlug
"Anchorage Motel & Villas",-38.5368534,143.9738066,surf-coast
"Beachouse Gifts",-38.5422011,143.975157,surf-coast
"Cumberland River Holiday Park",-38.5368534,143.9738066,surf-coast
"Cumberland Lorne",-38.5422011,143.975157,surf-coast
"Flying Fishes",-38.535976,143.973124,surf-coast
"Ipsos Restaurant",-38.5379587,143.9749967,surf-coast
"Grand Pacific Hotel",-38.5477199,143.9852222,surf-coast
"Lorne Central",-38.5381838,143.9749978,surf-coast
"La Sirena",-38.5360921,143.972941,surf-coast
"Tacos N Tequilas",-38.5379155,143.9747111,surf-coast
"The Riverbank cafe",-38.535976,143.973124,surf-coast
"Vic and Bert",-38.5368534,143.9738066,surf-coast
"Lorne Theatre & Uncle Donut",-38.5392166,143.9750656,surf-coast
"Louttit Bay Bakery",-38.5368534,143.9738066,surf-coast
"Moons cafe",-38.5368534,143.9738066,surf-coast
"The Salty Dog Fish n Chippery",-38.541687,143.9750519,surf-coast
"Gentle Threads",-38.5385591,143.9748956,surf-coast
"Gazman Lorne",-38.5421485,143.9750564,surf-coast
"Ozmosis - Lorne Surf Shop",-38.54148110000001,143.9750715,surf-coast
"Mantra Lorne",-38.5368534,143.9738066,surf-coast
"Lorne Books",-38.5368534,143.9738066,surf-coast
"Pholklore",-38.5393252,143.9750597,surf-coast
"La Perouse Lorne",-38.5368534,143.9738066,surf-coast
"Fruits of the Forest",-38.5368534,143.9738066,surf-coast
"Lorne Crêpes",-38.5422011,143.975157,surf-coast
"Live Wire Park",-38.5368534,143.9738066,surf-coast
"TerryWhite Chemmart Lorne",-38.5413301,143.9749989,surf-coast
"Shell Lorne",-38.538803,143.9750294,surf-coast
"Wolf Whistle",-38.5377963,143.9747426,surf-coast
"HAH Lornebeach",-38.5391859,143.9764167,surf-coast
"Raas Leela",-38.5405342,143.9752171,surf-coast
"Precious Creatures",-38.5406638,143.9752254,surf-coast
"FoodWorks Lorne",-38.5368534,143.9738066,surf-coast
"Lorne Hotel",-38.5436635,143.978213,surf-coast
"Lorne Milkbar",-38.5436635,143.978213,surf-coast
"Brunch Box Cafe Lorne",-38.5368534,143.9738066,surf-coast
"Tastes Lifestyle",-38.5374982,143.9744047,surf-coast
"Lorne Fish and Chips",-38.5377505,143.9746968,surf-coast
"Lorne Home Hardware",-38.542187,143.9772262,surf-coast
"Lorne Corner Store",-38.542187,143.9772262,surf-coast
"Surfside Kathmandu Kitchen",-38.5368534,143.9738066,surf-coast
"Deluxe  Lorne",-38.5403282,143.9746789,surf-coast
"Almyra Restaurant & Bar",-38.53946699999999,143.9764633,surf-coast
"In the Skies Restaurant & Bar",-38.5367751,143.9751349,surf-coast
"Andrew's Chicken Joint",-38.541208,143.9750532,surf-coast
