name,latitude,longitude,micrositeSlug
"218 Degrees",-35.3402452,143.5596318,swan-hill
"Academy Graphics",-35.3444418,143.5613552,swan-hill
"Ag Warehouse (formerly Murray Goulburn Trading)",-35.3272503,143.5500531,swan-hill
"Aspire Jewellery",-35.3391237,143.5586355,swan-hill
"At Forty One",-35.339076,143.5588854,swan-hill
"Aura Beauty",-35.3377048,143.5587151,swan-hill
"Autobarn Swan Hill",-35.3351883,143.5581969,swan-hill
"Bakker & Glen",-35.3346045,143.5585557,swan-hill
"Battery Tec",-35.3324058,143.5557645,swan-hill
"BJ's Gifts & Flowers",-35.34133,143.559799,swan-hill
"Blue Sky Swan Hill",-35.3598518,143.5612945,swan-hill
"Cellarbrations (formerly Swan Hill Liquor Mart)",-35.3348632,143.5577545,swan-hill
"Choices Flooring by Swintons",-35.3374053,143.5586812,swan-hill
"Clarks Home Living",-35.3395235,143.5600524,swan-hill
"Cruz Menswear",-35.337467,143.559366,swan-hill
"Doey's Meats",-35.347016,143.552835,swan-hill
"Duguid Industrial Supplies",-35.3333894,143.5574382,swan-hill
"Elegance Tiles by Conidi Tiles & Lighting",-35.335985,143.5583535,swan-hill
"Forty Winks Swan Hill",-35.3351585,143.5588353,swan-hill
"Francis Florist",-35.3346852,143.5597996,swan-hill
"From Little Things Flower Shop",-35.3452163,143.5615652,swan-hill
"Goodyear Auto Care",-35.3368287,143.5585755,swan-hill
"Gorg Lifestyle",-35.3459374,143.561427,swan-hill
"H Homewares",-35.3403891,143.5596727,swan-hill
"Handmade by Kara Jade",-35.3273954,143.5508403,swan-hill
"Helloworld Travel Swan Hill",-35.3404684,143.5596953,swan-hill
"Holt's Auto Service",-35.3361718,143.5590387,swan-hill
"Home Life Children’s Boutique",-35.3404323,143.559685,swan-hill
"House + Bean",-35.34205240000001,143.5638885,swan-hill
"Jackie-Lee's Beauty Salon",-35.3402847,143.5586832,swan-hill
"Jane Eliza Motor Inn",-35.3418972,143.5606223,swan-hill
"JC's Bait & Tackle",-35.3578183,143.5616614,swan-hill
"Jilarty Gelato Bar & Cafe",-35.3411721,143.5604164,swan-hill
"Kennedy's Showcase Jewellers",-35.3399773,143.5602135,swan-hill
"Lake Boga Marine & Automotive",-35.4536903,143.6264354,swan-hill
"Lake Boga Newsagency",-35.4610913,143.6303301,swan-hill
"Lake Boga Pharmacy",-35.4605736,143.6302522,swan-hill
"Laneway Music Swan Hill",-35.3401505,143.5610869,swan-hill
"Linen House Outlet",-35.3405296,143.5597127,swan-hill
"Marraboor Pharmacy",-35.3408484,143.5591123,swan-hill
"Murray Downs Golf and Country Club",-35.3490263,143.6092334,swan-hill
"Murray Mallee Machinery",-35.3274337,143.5398549,swan-hill
"Optus Swan Hill",-35.3400371,143.5601713,swan-hill
"Paint Rattle n Roll",-35.3286513,143.5533763,swan-hill
"Pizza Kitchen Swan Hill",-35.3393979,143.5593907,swan-hill
"Premix King Swan Hill",-35.3404416,143.5607501,swan-hill
"Priceline Pharmacy Swan Hill",-35.3399481,143.5595428,swan-hill
"Rivett's Bakery (Safeway Plaza)",-35.3402728,143.5441334,swan-hill
"Sait Family Butchers",-35.3346153,143.5395136,swan-hill
"Savhoo/Fix2U Swan Hill",-35.34138,143.5588688,swan-hill
"Swan Hill Beauty Salon",-35.341692,143.560763,swan-hill
"Swan Hill Betta Home Living",-35.3312716,143.5568158,swan-hill
"Swan Hill Bikes & Trikes",-35.3394213,143.557458,swan-hill
"Swan Hill Disposals & Outdoor Store",-35.3410392,143.5604566,swan-hill
"Swan Hill Fishing & Shooting Supplies",-35.335187,143.558789,swan-hill
"Swan Hill Hire",-35.3608493,143.5612809,swan-hill
"Swan Hill Information Centre",-35.3361707,143.5601982,swan-hill
"Swan Hill Kia",-35.3605446,143.5611541,swan-hill
"Swan Hill Newsagency",-35.3401871,143.5593998,swan-hill
"Swan Hill Off Road",-35.3281897,143.5538707,swan-hill
"Swan Hill Pool & Spa Centre",-35.337481,143.5602875,swan-hill
"Swan Hill Power Products",-35.3301077,143.5541371,swan-hill
"Swan Hill Town Hall",-35.3391601,143.5584449,swan-hill
"Swan Hill Toyota",-35.3600986,143.5629718,swan-hill
"Syd Wilson Auto Electrics",-35.3373795,143.5593412,swan-hill
"The Port Swan Hill",-35.3323738,143.5486213,swan-hill
"The Rustic Ivy",-35.3323226,143.5483677,swan-hill
"The Swan Hill Club",-35.3387673,143.5604985,swan-hill
"Think Water",-35.329509,143.5538091,swan-hill
"Toyworld Swan Hill",-35.341258,143.5598979,swan-hill
"Tyrepower Swan Hill",-35.33086979999999,143.5552831,swan-hill
"Ultimate Fashion",-35.34029870000001,143.5601685,swan-hill
"Worklocker Swan Hill",-35.33573519999999,143.5603853,swan-hill
"Your Regional Butcher",-35.3409941,143.5581581,swan-hill
"Auriel Moon",-35.3403675,143.5608793,swan-hill
"Chasney Estate",-35.4877762,143.6606114,swan-hill
"Mint Soda",-35.3391616,143.5592513,swan-hill
"One28Doors",-35.3397687,143.5609702,swan-hill
"my2girls",-35.3405843,143.5602291,swan-hill
"The Dandy Lion Studio",-35.3428367,143.5615557,swan-hill
"Sun Centre Carpet Court Swan Hill",-35.3423697,143.560055,swan-hill
"Quo Vadis Restaurant & Pizza",-35.3415465,143.5604778,swan-hill
"Collins Booksellers",-35.34002419999999,143.5595689,swan-hill
"Voyage Fitness",-35.3376096,143.5594063,swan-hill
"Rivett's Bakery (Chapman St)",-35.3323156,143.5480533,swan-hill
"Spoons Riverside",-35.347632,143.5642976,swan-hill
"byelliepaige",-35.3375198,143.5588698,swan-hill
"Murray Valley Home Timber & Hardware",-35.3409224,143.5608159,swan-hill
"Central Mallee Osteopathy",-35.3487519,143.5631566,swan-hill
"Swan Hill Fresh - Produce Collective",-35.3344701,143.5572017,swan-hill
"Clarks Gift Salon",-35.3397538,143.5601792,swan-hill
"SportsPower Swan Hill",-35.339897,143.5593153,swan-hill
"Hunter Marine",-35.3287728,143.5541253,swan-hill
"Swan Hill Bakehouse",-35.3413706,143.5599339,swan-hill
