name,latitude,longitude,micrositeSlug
"Good Games Modbury",-34.8330921,138.687684,tea-tree-gully
"The Coffee Barun",-34.8295828,138.7063205,tea-tree-gully
"Bake & Brew Cafe",-34.8284102,138.6900773,tea-tree-gully
"Gallery 1855",-34.821061,138.7315405,tea-tree-gully
"Gloria Jeans Coffee Tea Tree Plaza",-34.8314769,138.69073,tea-tree-gully
"Health First Centre",-34.8285287,138.6717516,tea-tree-gully
"Modbury Physio",-34.8313349,138.6859766,tea-tree-gully
"My Local Physio Plus - Golden Grove",-34.7732343,138.7290715,tea-tree-gully
"My Local Physio Plus - Ridgehaven",-34.8270202,138.6940709,tea-tree-gully
"Ari & Me Doggy Daycare & Training Facility",-34.7893089,138.7091273,tea-tree-gully
"Floors-2-Go SA",-34.8284427,138.7071237,tea-tree-gully
"Puppy Partners",-34.8250682,138.6977074,tea-tree-gully
"Tails Pet Centre",-34.8205053,138.7183358,tea-tree-gully
"Glatisse",-34.8154031,138.6991897,tea-tree-gully
"Cafe Verde Pizzeria",-34.8022418,138.7179263,tea-tree-gully
"Temper Strength & Conditioning",-34.8295828,138.7063205,tea-tree-gully
"SixTwelve Brewing",-34.8295828,138.7063205,tea-tree-gully
"Pizza Bite",-34.8154055,138.6991928,tea-tree-gully
"Benefitness & Health Centre",-34.8012642,138.7179542,tea-tree-gully
"My Local Physio Plus - Fairview Park",-34.8012908,138.717809,tea-tree-gully
"Birds of a Feather Hair Studio",-34.7694017,138.7084035,tea-tree-gully
"Jem Designs",-34.7695635,138.7102311,tea-tree-gully
"Dial A Digger & Son Pty Ltd",-34.8298524,138.7057128,tea-tree-gully
"Smith Partners Real Estate",-34.7902634,138.6933042,tea-tree-gully
"Little Learners Adelaide (Online Only)",-34.7691913,138.7126205,tea-tree-gully
"Little Loves Music (Online Only)",-34.8204074,138.7178699,tea-tree-gully
"Golden Grove Recreation & Arts Centre",-34.7929737,138.6946513,tea-tree-gully
"Turramurra Recreation Centre",-34.85339829999999,138.70056,tea-tree-gully
"Waterworld Aquatic Centre",-34.8212895,138.6965288,tea-tree-gully
"Afterglow Aesthetics",-34.8153641,138.6992802,tea-tree-gully
"Interior Motif",-34.7902634,138.6933042,tea-tree-gully
"Modbury Fruit Hub",-34.829273,138.6744915,tea-tree-gully
"The Munich Cafe",-34.79077230000001,138.6941893,tea-tree-gully
"Bonez petfood & treatz",-34.8154083,138.6991463,tea-tree-gully
"Tony and Marks",-34.7902634,138.6933042,tea-tree-gully
"Pizza Reggina",-34.8600682,138.6847109,tea-tree-gully
"Garden Grove Supplies Pty Ltd",-34.7883099,138.713582,tea-tree-gully
"YARNARAMA",-34.8415329,138.6697909,tea-tree-gully
"Action Indoor Sports and Inflatable World Modbury",-34.8221344,138.6831398,tea-tree-gully
"Personalize it",-34.8514866,138.7078184,tea-tree-gully
"Fairview Park Cellars",-34.8020475,138.7177306,tea-tree-gully
"Clovercrest Hotel Motel",-34.8284567,138.6737499,tea-tree-gully
"The Pickled Duck",-34.8307292,138.6889158,tea-tree-gully
"Modbury Hotel",-34.8309746,138.68828,tea-tree-gully
"Tea Tree Gully Toy Library",-34.8284102,138.6900773,tea-tree-gully
"The Glamour Station",-34.8153641,138.6992802,tea-tree-gully
"Thats Amore Pizzeria Ristorante",-34.8530979,138.6983721,tea-tree-gully
"S&B Brow Bar",-34.8327627,138.6851533,tea-tree-gully
"Tea Tree Gully Early Learning Supplies",-34.8080035,138.7244931,tea-tree-gully
"Gluten Free Creations",-34.8204683,138.7250048,tea-tree-gully
"Tea Tree Gully Gymsports",-34.8105039,138.7255384,tea-tree-gully
"Quench Cafe",-34.8185558,138.6815356,tea-tree-gully
"Holden Hill Community Centre",-34.853841,138.6714161,tea-tree-gully
"Surrey Downs Community Centre",-34.8010087,138.7108144,tea-tree-gully
