name,latitude,longitude,micrositeSlug
"A Little Rae of Sunshine",-34.4475927,147.533855,temora
"BWS Temora",-34.443531,147.5318602,temora
"Catalyst Accountants",-34.4490345,147.5271422,temora
"Cla Chique",-34.4476206,147.5338659,temora
"Fritsch Bros",-34.4447364,147.5324444,temora
"Gazza's",-34.4478911,147.5337156,temora
"Granleese & Co",-34.447316,147.5342798,temora
"Harvest Pharmacy Temora",-34.4439984,147.5321127,temora
"Hutcheon and Pearce",-34.4385889,147.5305923,temora
"Intersales",-34.4418351,147.5308966,temora
"KaMarley and Me Homewares and Gifts",-34.447453,147.5344581,temora
"McGuirks Discount Tyre Service",-34.4424968,147.5314936,temora
"Miller and James Real Estate",-34.4477599,147.533653,temora
"Paisley Robertson",-34.445384,147.5327982,temora
"Rick Firman's Menswear",-34.4480511,147.5340144,temora
"Sadie Michael Fashions",-34.44708019999999,147.5335832,temora
"Shamrock Chinese Restaurant",-34.4503038,147.5350095,temora
"Shamrock Hotel Motel",-34.4503236,147.5349407,temora
"Sugar & Spice Temora",-34.4092788,147.5167062,temora
"Teez Cakes & Bakes",-34.447453,147.5344581,temora
"Temora Capital Chemist",-34.4473902,147.5335027,temora
"Temora Ex-Services Memorial Club",-34.44693000000001,147.5318733,temora
"Temora Floorcoverings",-34.4463086,147.5330463,temora
"Temora Shire Council",-34.4463809,147.5348173,temora
"Temora Taxi Service",-34.4532405,147.5356797,temora
"Temora's Own Arts and Craft",-34.4465226,147.533141,temora
"Woolworths Temora",-34.4438531,147.5314273,temora
"Wylies Newsagency",-34.4480297,147.5337665,temora
"Temora Aviation Museum",-34.4273715,147.5152355,temora
"The Fed and Bed Temora",-34.447453,147.5344581,temora
"Tanza's Fashion & Accessories",-34.4471206,147.533684,temora
"Diamonds & Dust (formerly Debs Jewellery)",-34.4485166,147.5340807,temora
"Whites Shoex",-34.4464142,147.5330979,temora
"Furniture One Temora",-34.4457976,147.5328203,temora
