name,latitude,longitude,micrositeSlug
"Potters Petroleum Pty Ltd",-28.8524586,151.163417,texas
"Texas Butchery",-28.8551877,151.166496,texas
"Texas Treats",-28.8551939,151.1684974,texas
"MacIntyre Gazette",-28.8547109,151.1663288,texas
"Goat Rock",-28.9373329,151.1076286,texas
"Fords Family Store",-28.8492254,151.1640568,texas
"Texas Tyre Service",-28.8479837,151.1643698,texas
"Texas Show Society",-28.8457091,151.1686089,texas
"Rustic On High",-28.8552545,151.1670041,texas
"Young's Variety",-28.855095,151.167653,texas
"Texas News & Lotto",-28.8546367,151.1674709,texas
"Wilshire And Co Texas",-28.8544664,151.170225,texas
"Metro Petroleum Texas",-28.8506649,151.1635265,texas
"Stockman Hotel",-28.8544101,151.1667653,texas
"Texas & District Memorial Bowls Club",-28.8530641,151.168131,texas
"Ashford Memorial Bowling Club",-29.3227792,151.0968224,texas
"Texas Pumping and Irrigation",-28.8548188,151.1699518,texas
"Mitre 10 Texas",-28.8551729,151.169112,texas
"Foodworks Texas",-28.8552317,151.1691111,texas
"Texas Rural Agencies",-28.855042,151.1674254,texas
"Olive Figg & Co",-28.8547347,151.166524,texas
